gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884274|ref|WP_005651559.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884277|ref|WP_005651561.1|	membrane protein [Bacteroides stercoris] 
gi|491884279|ref|WP_005651562.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884282|ref|WP_005651564.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884284|ref|WP_005651565.1|	membrane protein [Bacteroides stercoris] 
gi|491884287|ref|WP_005651567.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491884290|ref|WP_005651569.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884294|ref|WP_005651571.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884298|ref|WP_005651573.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884326|ref|WP_005651585.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884330|ref|WP_005651587.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884335|ref|WP_005651590.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884339|ref|WP_005651592.1|	transposase [Bacteroides stercoris] 
gi|491884342|ref|WP_005651594.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884345|ref|WP_005651596.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491884348|ref|WP_005651598.1|	topoisomerase [Bacteroides stercoris] 
gi|491869968|ref|WP_005643639.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|491884351|ref|WP_005651600.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884354|ref|WP_005651602.1|	type II restriction endonuclease BsuBI [Bacteroides stercoris] 
gi|491884358|ref|WP_005651604.1|	DNA methylase [Bacteroides stercoris] 
gi|491884361|ref|WP_005651606.1|	ATPase [Bacteroides stercoris] 
gi|491884364|ref|WP_005651608.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491884367|ref|WP_005651610.1|	membrane protein [Bacteroides stercoris] 
gi|491884370|ref|WP_005651612.1|	MULTISPECIES: conjugal transfer protein [Bacteroides] 
gi|491884373|ref|WP_005651614.1|	MULTISPECIES: conjugal transfer protein [Bacteroides] 
gi|491884376|ref|WP_005651616.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884380|ref|WP_005651618.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884382|ref|WP_005651620.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884384|ref|WP_005651621.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884387|ref|WP_005651623.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884390|ref|WP_005651625.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491884394|ref|WP_005651627.1|	conjugal transfer protein [Bacteroides stercoris] 
gi|491884397|ref|WP_005651629.1|	MULTISPECIES: conjugal transfer protein TraA [Bacteroides] 
gi|491884400|ref|WP_005651631.1|	hypothetical protein [Bacteroides stercoris] 
gi|491869821|ref|WP_005643552.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491884403|ref|WP_005651633.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884406|ref|WP_005651635.1|	hypothetical protein [Bacteroides stercoris] 
