gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986842|ref|WP_004848575.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986843|ref|WP_004848576.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986845|ref|WP_004848578.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986847|ref|WP_004848580.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490986850|ref|WP_004848583.1|	S-adenosylmethionine tRNA ribosyltransferase [Coprococcus eutactus] 
gi|490986853|ref|WP_004848586.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986855|ref|WP_004848588.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986856|ref|WP_004848589.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986858|ref|WP_004848591.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986860|ref|WP_004848593.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986861|ref|WP_004848594.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986862|ref|WP_004848595.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986864|ref|WP_004848597.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986866|ref|WP_004848599.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986868|ref|WP_004848601.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986869|ref|WP_004848602.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Coprococcus eutactus] 
gi|490986872|ref|WP_004848605.1|	prephenate dehydrogenase [Coprococcus eutactus] 
gi|490986874|ref|WP_004848607.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986876|ref|WP_004848609.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986878|ref|WP_004848611.1|	RNA pseudouridine synthase [Coprococcus eutactus] 
gi|490986879|ref|WP_004848612.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986880|ref|WP_004848613.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986881|ref|WP_004848614.1|	LuxR family transcriptional regulator [Coprococcus eutactus] 
gi|490986883|ref|WP_004848616.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986885|ref|WP_004848618.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986886|ref|WP_004848619.1|	ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490986887|ref|WP_004848620.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986889|ref|WP_004848622.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986891|ref|WP_004848624.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986892|ref|WP_004848625.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986894|ref|WP_004848627.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986895|ref|WP_004848628.1|	dTDP-glucose 4,6-dehydratase [Coprococcus eutactus] 
gi|490986896|ref|WP_004848629.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986900|ref|WP_004848633.1|	MULTISPECIES: argininosuccinate synthase [Coprococcus] 
gi|490986902|ref|WP_004848635.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986903|ref|WP_004848636.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Coprococcus eutactus] 
gi|490986905|ref|WP_004848638.1|	ornithine acetyltransferase [Coprococcus eutactus] 
gi|490986908|ref|WP_004848641.1|	acetylglutamate kinase [Coprococcus eutactus] 
gi|490986911|ref|WP_004848644.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986912|ref|WP_004848645.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986914|ref|WP_004848647.1|	PhoP family transcriptional regulator [Coprococcus eutactus] 
gi|490986915|ref|WP_004848648.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986917|ref|WP_004848650.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986919|ref|WP_004848652.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986922|ref|WP_004848655.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986923|ref|WP_004848656.1|	glutamine amidotransferase [Coprococcus eutactus] 
gi|490986925|ref|WP_004848658.1|	MULTISPECIES: pyridoxal biosynthesis lyase [Coprococcus] 
gi|490986928|ref|WP_004848661.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986930|ref|WP_004848663.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986931|ref|WP_004848664.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986933|ref|WP_004848666.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986935|ref|WP_004848668.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986937|ref|WP_004848670.1|	30S ribosomal protein S20 [Coprococcus eutactus] 
gi|490986939|ref|WP_004848672.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986940|ref|WP_004848673.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986942|ref|WP_004848675.1|	glycogen branching protein [Coprococcus eutactus] 
gi|490986943|ref|WP_004848676.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986945|ref|WP_004848678.1|	MULTISPECIES: cold-shock protein [Coprococcus] 
gi|490986947|ref|WP_004848680.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986948|ref|WP_004848681.1|	sugar kinase [Coprococcus eutactus] 
gi|490986950|ref|WP_004848683.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986953|ref|WP_004848686.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986954|ref|WP_004848687.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986956|ref|WP_004848689.1|	PhoB family transcriptional regulator [Coprococcus eutactus] 
gi|490986958|ref|WP_004848691.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986959|ref|WP_004848692.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986962|ref|WP_004848695.1|	hypothetical protein [Coprococcus eutactus] 
