gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677627|ref|WP_005920073.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677630|ref|WP_005920076.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677629|ref|WP_005920075.1|	hypothetical protein partial [Faecalibacterium prausnitzii] 
gi|492677635|ref|WP_005920081.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677637|ref|WP_005920083.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677639|ref|WP_005920085.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677641|ref|WP_005920087.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492677643|ref|WP_005920089.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492677646|ref|WP_005920092.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492677645|ref|WP_005920091.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677648|ref|WP_005920094.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492677650|ref|WP_005920096.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677652|ref|WP_005920098.1|	primase [Faecalibacterium prausnitzii] 
gi|492677654|ref|WP_005920100.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677656|ref|WP_005920102.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492677658|ref|WP_005920104.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677660|ref|WP_005920106.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677662|ref|WP_005920108.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677673|ref|WP_005920119.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677675|ref|WP_005920121.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677678|ref|WP_005920124.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677680|ref|WP_005920126.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677682|ref|WP_005920128.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677684|ref|WP_005920130.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677686|ref|WP_005920132.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677687|ref|WP_005920133.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677689|ref|WP_005920135.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677691|ref|WP_005920137.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677693|ref|WP_005920139.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677696|ref|WP_005920142.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492677697|ref|WP_005920143.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677699|ref|WP_005920145.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677701|ref|WP_005920147.1|	carbohydrate-binding protein [Faecalibacterium prausnitzii] 
gi|492677704|ref|WP_005920150.1|	heparinase [Faecalibacterium prausnitzii] 
gi|492677706|ref|WP_005920152.1|	hisitidine kinase [Faecalibacterium prausnitzii] 
gi|492677708|ref|WP_005920154.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492677712|ref|WP_005920158.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677716|ref|WP_005920162.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677714|ref|WP_005920160.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492677719|ref|WP_005920165.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492677721|ref|WP_005920167.1|	sugar ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492677723|ref|WP_005920169.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677725|ref|WP_005920171.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677726|ref|WP_005920172.1|	glucoronyl hydrolase [Faecalibacterium prausnitzii] 
gi|492677728|ref|WP_005920174.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677730|ref|WP_005920176.1|	beta-galactosidase [Faecalibacterium prausnitzii] 
gi|492677732|ref|WP_005920178.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677733|ref|WP_005920179.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677734|ref|WP_005920180.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677735|ref|WP_005920181.1|	hypothetical protein [Faecalibacterium prausnitzii] 
