gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490134339|ref|WP_004034700.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134341|ref|WP_004034702.1|	pyridoxal-5'-phosphate-dependent protein [Methanobrevibacter smithii] 
gi|490134214|ref|WP_004034575.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134343|ref|WP_004034704.1|	GMP synthase [Methanobrevibacter smithii] 
gi|490134344|ref|WP_004034705.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134345|ref|WP_004034706.1|	GMP synthase [Methanobrevibacter smithii] 
gi|490134347|ref|WP_004034708.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134195|ref|WP_004034556.1|	MULTISPECIES: thioredoxin reductase [Methanobrevibacter] 
gi|490134351|ref|WP_004034712.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134352|ref|WP_004034713.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134353|ref|WP_004034714.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134355|ref|WP_004034716.1|	glutamyl-tRNA(Gln) amidotransferase [Methanobrevibacter smithii] 
gi|490134357|ref|WP_004034718.1|	glutamyl-tRNA(Gln) amidotransferase [Methanobrevibacter smithii] 
gi|490134359|ref|WP_004034720.1|	ketoisovalerate oxidoreductase subunit vorA [Methanobrevibacter smithii] 
gi|490134173|ref|WP_004034534.1|	MULTISPECIES: 2-ketoisovalerate ferredoxin reductase [Methanobrevibacter] 
gi|490134171|ref|WP_004034532.1|	MULTISPECIES: ketoisovalerate oxidoreductase subunit vorC [Methanobrevibacter] 
gi|490134361|ref|WP_004034722.1|	acetyl-CoA synthetase [Methanobrevibacter smithii] 
gi|490134364|ref|WP_004034725.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490134165|ref|WP_004034526.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134365|ref|WP_004034726.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134156|ref|WP_004034517.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134366|ref|WP_004034727.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134152|ref|WP_004034513.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134150|ref|WP_004034511.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134148|ref|WP_004034509.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490134146|ref|WP_004034507.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134143|ref|WP_004034504.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134141|ref|WP_004034502.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134140|ref|WP_004034501.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134138|ref|WP_004034499.1|	NADH-ubiquinone oxidoreductase [Methanobrevibacter smithii] 
gi|490134132|ref|WP_004034493.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134367|ref|WP_004034728.1|	NiFe hydrogenase [Methanobrevibacter smithii] 
gi|490134368|ref|WP_004034729.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134128|ref|WP_004034489.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134127|ref|WP_004034488.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134371|ref|WP_004034732.1|	polyferredoxin [Methanobrevibacter smithii] 
gi|490134125|ref|WP_004034486.1|	MULTISPECIES: polyferredoxin [Methanobrevibacter] 
gi|490134373|ref|WP_004034734.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134375|ref|WP_004034736.1|	MULTISPECIES: formylmethanofuran--tetrahydromethanopterin formyltransferase [Methanobrevibacter] 
gi|490134376|ref|WP_004034737.1|	ribokinase [Methanobrevibacter smithii] 
gi|490134377|ref|WP_004034738.1|	polyferredoxin [Methanobrevibacter smithii] 
gi|490134117|ref|WP_004034478.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134115|ref|WP_004034476.1|	MULTISPECIES: nickel ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490134113|ref|WP_004034474.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490134111|ref|WP_004034472.1|	MULTISPECIES: peptide ABC transporter permease [Methanobrevibacter] 
gi|490134378|ref|WP_004034739.1|	ABC transporter permease [Methanobrevibacter smithii] 
gi|490134379|ref|WP_004034740.1|	ABC transporter substrate-binding protein [Methanobrevibacter smithii] 
gi|490134380|ref|WP_004034741.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134381|ref|WP_004034742.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134103|ref|WP_004034464.1|	MULTISPECIES: 50S ribosomal protein L15 [Methanobrevibacter] 
gi|490134096|ref|WP_004034457.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134382|ref|WP_004034743.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134384|ref|WP_004034745.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134385|ref|WP_004034746.1|	DNA methyltransferase [Methanobrevibacter smithii] 
gi|490134386|ref|WP_004034747.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134387|ref|WP_004034748.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134388|ref|WP_004034749.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134389|ref|WP_004034750.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134390|ref|WP_004034751.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134392|ref|WP_004034753.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134394|ref|WP_004034755.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134396|ref|WP_004034757.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134398|ref|WP_004034759.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134407|ref|WP_004034768.1|	integrase [Methanobrevibacter smithii] 
gi|490134408|ref|WP_004034769.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134409|ref|WP_004034770.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134410|ref|WP_004034771.1|	formate dehydrogenase accessory protein FdhD [Methanobrevibacter smithii] 
gi|490134049|ref|WP_004034410.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134411|ref|WP_004034772.1|	ATPase P [Methanobrevibacter smithii] 
gi|490134412|ref|WP_004034773.1|	peptidase [Methanobrevibacter smithii] 
gi|490134046|ref|WP_004034407.1|	MULTISPECIES: ABC transporter permease [Methanobrevibacter] 
gi|490134045|ref|WP_004034406.1|	nitrate ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490134044|ref|WP_004034405.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490134042|ref|WP_004034403.1|	MULTISPECIES: 2-phospho-L-lactate guanylyltransferase [Methanobrevibacter] 
gi|490134413|ref|WP_004034774.1|	MULTISPECIES: prolyl-tRNA synthetase [Methanobrevibacter] 
gi|490134414|ref|WP_004034775.1|	glycerol-1-phosphate dehydrogenase [Methanobrevibacter smithii] 
gi|490134035|ref|WP_004034396.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134417|ref|WP_004034778.1|	MULTISPECIES: ribose 5-phosphate isomerase [Methanobrevibacter] 
gi|490134032|ref|WP_004034393.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134419|ref|WP_004034780.1|	adhesin [Methanobrevibacter smithii] 
gi|490134422|ref|WP_004034783.1|	adhesin [Methanobrevibacter smithii] 
gi|490134423|ref|WP_004034784.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134425|ref|WP_004034786.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134427|ref|WP_004034788.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134429|ref|WP_004034790.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134431|ref|WP_004034792.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134433|ref|WP_004034794.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134434|ref|WP_004034795.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134436|ref|WP_004034797.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134438|ref|WP_004034799.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134441|ref|WP_004034802.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134443|ref|WP_004034804.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134023|ref|WP_004034384.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134445|ref|WP_004034806.1|	phenylalanyl-tRNA synthetase subunit beta [Methanobrevibacter smithii] 
gi|490134447|ref|WP_004034808.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134448|ref|WP_004034809.1|	valyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490134449|ref|WP_004034810.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Methanobrevibacter smithii] 
gi|490134015|ref|WP_004034376.1|	MULTISPECIES: endonuclease III [Methanobrevibacter] 
gi|490134014|ref|WP_004034375.1|	MULTISPECIES: cysteine synthase [Methanobrevibacter] 
gi|490134013|ref|WP_004034374.1|	MULTISPECIES: serine O-acetyltransferase [Methanobrevibacter] 
gi|490134012|ref|WP_004034373.1|	MULTISPECIES: XRE family transcriptional regulator [Methanobrevibacter] 
gi|490134451|ref|WP_004034812.1|	MULTISPECIES: cysteinyl-tRNA synthetase [Methanobrevibacter] 
gi|490134453|ref|WP_004034814.1|	MULTISPECIES: flavodoxin [Methanobrevibacter] 
gi|490134454|ref|WP_004034815.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134007|ref|WP_004034368.1|	MULTISPECIES: O-acetylhomoserine aminocarboxypropyltransferase [Methanobrevibacter] 
gi|490134005|ref|WP_004034366.1|	cysteine desulfurase [Methanobrevibacter smithii] 
gi|490134002|ref|WP_004034363.1|	MULTISPECIES: FeS cluster assembly scaffold IscU [Methanobrevibacter] 
gi|490134000|ref|WP_004034361.1|	MULTISPECIES: desulfoferrodoxin [Methanobrevibacter] 
gi|490134455|ref|WP_004034816.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134456|ref|WP_004034817.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133995|ref|WP_004034356.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133994|ref|WP_004034355.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134457|ref|WP_004034818.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133990|ref|WP_004034351.1|	MULTISPECIES: transcriptional regulator [Methanobrevibacter] 
gi|490134458|ref|WP_004034819.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134462|ref|WP_004034823.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134464|ref|WP_004034825.1|	multidrug transporter MatE [Methanobrevibacter smithii] 
gi|490134465|ref|WP_004034826.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134466|ref|WP_004034827.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134467|ref|WP_004034828.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134468|ref|WP_004034829.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134470|ref|WP_004034831.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134472|ref|WP_004034833.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134475|ref|WP_004034836.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134477|ref|WP_004034838.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134478|ref|WP_004034839.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134481|ref|WP_004034842.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134483|ref|WP_004034844.1|	pseudomurein-binding protein [Methanobrevibacter smithii] 
gi|490134484|ref|WP_004034845.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134486|ref|WP_004034847.1|	ribonuclease P [Methanobrevibacter smithii] 
gi|490133968|ref|WP_004034329.1|	ribonuclease P [Methanobrevibacter smithii] 
gi|490134488|ref|WP_004034849.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133964|ref|WP_004034325.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133962|ref|WP_004034323.1|	MULTISPECIES: proteasome subunit alpha [Methanobrevibacter] 
gi|490133960|ref|WP_004034321.1|	MULTISPECIES: ribosome maturation protein SDO1-like protein [Methanobrevibacter] 
gi|490133952|ref|WP_004034313.1|	MULTISPECIES: RNA-binding protein [Methanobrevibacter] 
gi|490134490|ref|WP_004034851.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134492|ref|WP_004034853.1|	RNA-binding protein [Methanobrevibacter smithii] 
gi|490134494|ref|WP_004034855.1|	molybdopterin-guanine dinucleotide biosynthesis protein MobA [Methanobrevibacter smithii] 
gi|490134495|ref|WP_004034856.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133944|ref|WP_004034305.1|	MULTISPECIES: SAM-dependent methyltransferase [Methanobrevibacter] 
gi|490133942|ref|WP_004034303.1|	MULTISPECIES: aromatic acid decarboxylase [Methanobrevibacter] 
gi|490134498|ref|WP_004034859.1|	phosphodiesterase [Methanobrevibacter smithii] 
gi|490133938|ref|WP_004034299.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134500|ref|WP_004034861.1|	ammonia channel protein [Methanobrevibacter smithii] 
gi|490133933|ref|WP_004034294.1|	MULTISPECIES: nitrogen regulatory protein P-II [Methanobrevibacter] 
gi|490134502|ref|WP_004034863.1|	peptidase S24 [Methanobrevibacter smithii] 
gi|490133929|ref|WP_004034290.1|	MULTISPECIES: 3-dehydroquinate dehydratase [Methanobrevibacter] 
gi|490133927|ref|WP_004034288.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134505|ref|WP_004034866.1|	succinyl-CoA synthetase subunit alpha [Methanobrevibacter smithii] 
gi|490133923|ref|WP_004034284.1|	3-hydroxy-3-methylglutaryl-CoA reductase [Methanobrevibacter smithii] 
gi|490133921|ref|WP_004034282.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133920|ref|WP_004034281.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490134508|ref|WP_004034869.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133916|ref|WP_004034277.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134510|ref|WP_004034871.1|	lactamase [Methanobrevibacter smithii] 
gi|490134513|ref|WP_004034874.1|	adhesin [Methanobrevibacter smithii] 
gi|490134515|ref|WP_004034876.1|	thermosome subunit [Methanobrevibacter smithii] 
gi|490134517|ref|WP_004034878.1|	cysteine protease [Methanobrevibacter smithii] 
gi|490133905|ref|WP_004034266.1|	iron repressor [Methanobrevibacter smithii] 
gi|490134519|ref|WP_004034880.1|	MULTISPECIES: tRNA-splicing endonuclease [Methanobrevibacter] 
gi|490134520|ref|WP_004034881.1|	tryptophanyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490134521|ref|WP_004034882.1|	membrane protein [Methanobrevibacter smithii] 
gi|490133897|ref|WP_004034258.1|	threonine synthase [Methanobrevibacter smithii] 
gi|490133895|ref|WP_004034256.1|	MULTISPECIES: histone [Methanobrevibacter] 
gi|490134523|ref|WP_004034884.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134524|ref|WP_004034885.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133887|ref|WP_004034248.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490133883|ref|WP_004034244.1|	DNA-binding protein [Methanobrevibacter smithii] 
gi|490133882|ref|WP_004034243.1|	MULTISPECIES: DNA-binding protein [Methanobrevibacter] 
gi|490133881|ref|WP_004034242.1|	50S ribosomal protein L7/L12 [Methanobrevibacter smithii] 
gi|490133880|ref|WP_004034241.1|	MULTISPECIES: 30S ribosomal protein S28 [Methanobrevibacter] 
gi|490133879|ref|WP_004034240.1|	MULTISPECIES: 50S ribosomal protein L24 [Methanobrevibacter] 
gi|490134525|ref|WP_004034886.1|	MULTISPECIES: nucleoside diphosphate kinase [Methanobrevibacter] 
gi|490134526|ref|WP_004034887.1|	translation initiation factor IF-2 [Methanobrevibacter smithii] 
gi|490133872|ref|WP_004034233.1|	MULTISPECIES: 30S ribosomal protein S6 [Methanobrevibacter] 
gi|490133869|ref|WP_004034230.1|	translation initiation factor IF-2 subunit gamma [Methanobrevibacter smithii] 
gi|490134527|ref|WP_004034888.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133867|ref|WP_004034228.1|	MULTISPECIES: inorganic pyrophosphatase [Methanobrevibacter] 
gi|490133864|ref|WP_004034225.1|	DNA-directed RNA polymerase subunit E' [Methanobrevibacter smithii] 
gi|490133862|ref|WP_004034223.1|	MULTISPECIES: DNA-directed RNA polymerase subunit E'' [Methanobrevibacter] 
gi|490133861|ref|WP_004034222.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133859|ref|WP_004034220.1|	30S ribosomal protein S24 [Methanobrevibacter smithii] 
gi|490134532|ref|WP_004034893.1|	30S ribosomal protein S27 [Methanobrevibacter smithii] 
gi|490133856|ref|WP_004034217.1|	MULTISPECIES: argininosuccinate lyase [Methanobrevibacter] 
gi|490134540|ref|WP_004034901.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134542|ref|WP_004034903.1|	MULTISPECIES: ATPase [Methanobrevibacter] 
gi|490133853|ref|WP_004034214.1|	MULTISPECIES: acyltransferase [Methanobrevibacter] 
gi|490133852|ref|WP_004034213.1|	MULTISPECIES: rubredoxin [Methanobrevibacter] 
gi|490133845|ref|WP_004034206.1|	MULTISPECIES: rubredoxin [Methanobrevibacter] 
gi|490134545|ref|WP_004034906.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133843|ref|WP_004034204.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134548|ref|WP_004034909.1|	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase [Methanobrevibacter smithii] 
gi|490134550|ref|WP_004034911.1|	RNA-binding protein [Methanobrevibacter smithii] 
gi|490134552|ref|WP_004034913.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133836|ref|WP_004034197.1|	MULTISPECIES: like-Sm ribonucleoprotein core [Methanobrevibacter] 
gi|490133834|ref|WP_004034195.1|	50S ribosomal protein L37 [Methanobrevibacter smithii] 
gi|490134554|ref|WP_004034915.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134555|ref|WP_004034916.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134556|ref|WP_004034917.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134557|ref|WP_004034918.1|	(4Fe-4S)-binding protein [Methanobrevibacter smithii] 
gi|490133828|ref|WP_004034189.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133824|ref|WP_004034185.1|	ribonuclease III [Methanobrevibacter smithii] 
gi|490133822|ref|WP_004034183.1|	homoserine O-acetyltransferase [Methanobrevibacter smithii] 
gi|490134558|ref|WP_004034919.1|	O-acetylhomoserine aminocarboxypropyltransferase [Methanobrevibacter smithii] 
gi|490134559|ref|WP_004034920.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134561|ref|WP_004034922.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490134563|ref|WP_004034924.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490134565|ref|WP_004034926.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134567|ref|WP_004034928.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134569|ref|WP_004034930.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134570|ref|WP_004034931.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134572|ref|WP_004034933.1|	asparagine synthetase [Methanobrevibacter smithii] 
gi|490134573|ref|WP_004034934.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133800|ref|WP_004034161.1|	MULTISPECIES: asparaginyl/glutamyl-tRNA amidotransferase subunit C [Methanobrevibacter] 
gi|490133799|ref|WP_004034160.1|	MULTISPECIES: amino acid-binding protein [Methanobrevibacter] 
gi|490133798|ref|WP_004034159.1|	homoserine dehydrogenase [Methanobrevibacter smithii] 
gi|490134574|ref|WP_004034935.1|	phosphoglycerate mutase [Methanobrevibacter smithii] 
gi|490134575|ref|WP_004034936.1|	multidrug transporter MatE [Methanobrevibacter smithii] 
gi|490134576|ref|WP_004034937.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134577|ref|WP_004034938.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134578|ref|WP_004034939.1|	acetylesterase [Methanobrevibacter smithii] 
gi|490133780|ref|WP_004034141.1|	Fe-S oxidoreductase [Methanobrevibacter smithii] 
