WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_002323345.1	MULTISPECIES: antirestriction protein [Firmicutes] 
WP_002844447.1	MULTISPECIES: 30S ribosomal protein S21 [Clostridiales] 
WP_003059774.1	MULTISPECIES: peptidase P60 [Firmicutes] 
WP_003060053.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_003060191.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_003060793.1	MULTISPECIES: hypothetical protein [Terrabacteria group] 
WP_003061156.1	MULTISPECIES: conjugal transfer protein [Firmicutes] 
WP_003061243.1	MULTISPECIES: DUF3784 domain-containing protein [Firmicutes] 
WP_003061368.1	MULTISPECIES: membrane protein [Firmicutes] 
WP_003061398.1	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Firmicutes] 
WP_003061815.1	MULTISPECIES: RNA polymerase sigma factor [Terrabacteria group] 
WP_003061887.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_003062030.1	MULTISPECIES: Cro/Cl family transcriptional regulator [Firmicutes] 
WP_003062094.1	MULTISPECIES: integrase [Firmicutes] 
WP_003062492.1	MULTISPECIES: antirestriction protein [Firmicutes] 
WP_005339720.1	MULTISPECIES: conjugal transfer protein [Firmicutes] 
WP_007285191.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285193.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285195.1	MULTISPECIES: DNA-directed RNA polymerase sigma-70 factor [Clostridiales] 
WP_007285196.1	histidine kinase [Intestinibacter bartlettii] 
WP_007285197.1	MULTISPECIES: anti-sigma factor antagonist [Clostridiales] 
WP_007285198.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285199.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285201.1	DNA gyrase subunit B [Intestinibacter bartlettii] 
WP_007285202.1	DNA recombination protein RecF [Intestinibacter bartlettii] 
WP_007285203.1	MULTISPECIES: RNA-binding protein [Clostridiales] 
WP_007285204.1	DNA polymerase III subunit beta [Intestinibacter bartlettii] 
WP_007285205.1	MULTISPECIES: chromosomal replication initiation protein DnaA [Clostridiales] 
WP_007285206.1	MULTISPECIES: 50S ribosomal protein L34 [Clostridiales] 
WP_007285207.1	MULTISPECIES: ribonuclease P protein component [Clostridiales] 
WP_007285208.1	MULTISPECIES: membrane protein insertion efficiency factor YidD [Clostridiales] 
WP_007285209.1	sporulation protein [Intestinibacter bartlettii] 
WP_007285212.1	MULTISPECIES: tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme MnmG [Clostridiales] 
WP_007285213.1	16S rRNA methyltransferase G [Intestinibacter bartlettii] 
WP_007285214.1	nucleoid occlusion protein [Intestinibacter bartlettii] 
WP_007285215.1	chromosome partitioning protein ParB [Intestinibacter bartlettii] 
WP_007285217.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285218.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285219.1	MULTISPECIES: 30S ribosomal protein S6 [Clostridiales] 
WP_007285220.1	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
WP_007285221.1	MULTISPECIES: 30S ribosomal protein S18 [Clostridiales] 
WP_007285222.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285224.1	phosphoesterase [Intestinibacter bartlettii] 
WP_007285225.1	MULTISPECIES: 50S ribosomal protein L9 [Clostridiales] 
WP_007285226.1	MULTISPECIES: replicative DNA helicase [Clostridiales] 
WP_007285227.1	adenylosuccinate synthase [Intestinibacter bartlettii] 
WP_007285228.1	MULTISPECIES: DNA replication protein DnaC [Clostridiales] 
WP_007285230.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285231.1	MULTISPECIES: MBL fold metallo-hydrolase [Clostridiales] 
WP_007285232.1	amino acid lyase [Intestinibacter bartlettii] 
WP_007285233.1	MULTISPECIES: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH [Clostridiales] 
WP_007285234.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285235.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285236.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285238.1	beta-galactosidase [Intestinibacter bartlettii] 
WP_007285239.1	MULTISPECIES: ABC transporter substrate-binding protein [Clostridiales] 
WP_007285240.1	dihydropyrimidine dehydrogenase subunit A [Intestinibacter bartlettii] 
WP_007285242.1	amino acid permease [Intestinibacter bartlettii] 
WP_007285244.1	7-cyano-7-deazaguanine reductase [Intestinibacter bartlettii] 
WP_007285245.1	7-cyano-7-deazaguanine synthase QueC [Intestinibacter bartlettii] 
WP_007285246.1	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE [Intestinibacter bartlettii] 
WP_007285247.1	6-pyruvoyl tetrahydrobiopterin synthase [Intestinibacter bartlettii] 
WP_007285248.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285249.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285250.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285251.1	hydroxyethylthiazole kinase [Intestinibacter bartlettii] 
WP_007285252.1	thiamine phosphate synthase [Intestinibacter bartlettii] 
WP_007285253.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285254.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285256.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285257.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285258.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285259.1	multidrug ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285260.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285261.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285263.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285265.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285266.1	MULTISPECIES: FAD-dependent thymidylate synthase [Clostridiales] 
WP_007285268.1	MULTISPECIES: ribonuclease [Clostridiales] 
WP_007285269.1	MULTISPECIES: RNA polymerase factor sigma-70 [Clostridiales] 
WP_007285270.1	NUDIX hydrolase [Intestinibacter bartlettii] 
WP_007285272.1	MULTISPECIES: 50S ribosomal protein L33 [Clostridiales] 
WP_007285273.1	preprotein translocase subunit SecE [Intestinibacter bartlettii] 
WP_007285274.1	MULTISPECIES: transcription termination/antitermination factor NusG [Clostridiales] 
WP_007285275.1	MULTISPECIES: 50S ribosomal protein L11 [Clostridiales] 
WP_007285276.1	MULTISPECIES: 50S ribosomal protein L1 [Clostridiales] 
WP_007285277.1	MULTISPECIES: 50S ribosomal protein L10 [Clostridiales] 
WP_007285278.1	MULTISPECIES: 50S ribosomal protein L7/L12 [Clostridiales] 
WP_007285279.1	MULTISPECIES: DNA-directed RNA polymerase subunit beta [Clostridiales] 
WP_007285280.1	MULTISPECIES: DNA-directed RNA polymerase subunit beta' [Clostridiales] 
WP_007285281.1	30S ribosomal protein S12 [Intestinibacter bartlettii] 
WP_007285282.1	MULTISPECIES: 30S ribosomal protein S7 [Clostridiales] 
WP_007285283.1	MULTISPECIES: elongation factor G [Clostridiales] 
WP_007285284.1	elongation factor Tu [Intestinibacter bartlettii] 
WP_007285285.1	MULTISPECIES: 30S ribosomal protein S10 [Clostridiales] 
WP_007285286.1	MULTISPECIES: 50S ribosomal protein L3 [Clostridiales] 
WP_007285287.1	50S ribosomal protein L4 [Intestinibacter bartlettii] 
WP_007285288.1	MULTISPECIES: 50S ribosomal protein L23 [Clostridiales] 
WP_007285289.1	MULTISPECIES: 50S ribosomal protein L2 [Clostridiales] 
WP_007285290.1	MULTISPECIES: 30S ribosomal protein S19 [Clostridiales] 
WP_007285291.1	MULTISPECIES: 50S ribosomal protein L22 [Clostridiales] 
WP_007285292.1	MULTISPECIES: 30S ribosomal protein S3 [Clostridiales] 
WP_007285294.1	MULTISPECIES: 50S ribosomal protein L29 [Clostridiales] 
WP_007285295.1	30S ribosomal protein S17 [Intestinibacter bartlettii] 
WP_007285296.1	MULTISPECIES: 50S ribosomal protein L14 [Clostridiales] 
WP_007285297.1	MULTISPECIES: 50S ribosomal protein L24 [Clostridiales] 
WP_007285298.1	MULTISPECIES: 50S ribosomal protein L5 [Clostridiales] 
WP_007285299.1	MULTISPECIES: 30S ribosomal protein S14 [Clostridiales] 
WP_007285300.1	30S ribosomal protein S8 [Intestinibacter bartlettii] 
WP_007285301.1	MULTISPECIES: 50S ribosomal protein L6 [Clostridiales] 
WP_007285302.1	MULTISPECIES: 50S ribosomal protein L18 [Clostridiales] 
WP_007285303.1	MULTISPECIES: 30S ribosomal protein S5 [Clostridiales] 
WP_007285304.1	MULTISPECIES: 50S ribosomal protein L30 [Clostridiales] 
WP_007285305.1	MULTISPECIES: 50S ribosomal protein L15 [Clostridiales] 
WP_007285306.1	preprotein translocase subunit SecY [Intestinibacter bartlettii] 
WP_007285307.1	MULTISPECIES: adenylate kinase [Clostridiales] 
WP_007285308.1	MULTISPECIES: type I methionyl aminopeptidase [Clostridiales] 
WP_007285309.1	MULTISPECIES: translation initiation factor IF-1 [Clostridiales] 
WP_007285310.1	MULTISPECIES: 30S ribosomal protein S13 [Clostridiales] 
WP_007285311.1	MULTISPECIES: 30S ribosomal protein S11 [Clostridiales] 
WP_007285312.1	MULTISPECIES: 30S ribosomal protein S4 [Clostridiales] 
WP_007285313.1	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Clostridiales] 
WP_007285314.1	MULTISPECIES: 50S ribosomal protein L17 [Clostridiales] 
WP_007285315.1	MULTISPECIES: energy-coupling factor transporter ATPase [Clostridiales] 
WP_007285316.1	MULTISPECIES: energy-coupling factor transporter ATPase [Clostridiales] 
WP_007285317.1	MULTISPECIES: transporter [Clostridiales] 
WP_007285319.1	MULTISPECIES: 50S ribosomal protein L13 [Clostridiales] 
WP_007285321.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285322.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285324.1	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Intestinibacter bartlettii] 
WP_007285325.1	hypothetical protein [Intestinibacter bartlettii] 
