gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423334|ref|WP_004295545.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490423335|ref|WP_004295546.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423336|ref|WP_004295547.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423337|ref|WP_004295548.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423338|ref|WP_004295549.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423339|ref|WP_004295550.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423340|ref|WP_004295551.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423341|ref|WP_004295552.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423343|ref|WP_004295554.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423345|ref|WP_004295556.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423347|ref|WP_004295558.1|	UDP-GlcNAc:UDP-phosphate GlcNAc-1-phosphate transferase [Bacteroides ovatus] 
gi|490423349|ref|WP_004295560.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423350|ref|WP_004295561.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423351|ref|WP_004295562.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423353|ref|WP_004295564.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|490423355|ref|WP_004295566.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423357|ref|WP_004295568.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490423363|ref|WP_004295574.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423364|ref|WP_004295575.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423366|ref|WP_004295576.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423367|ref|WP_004295577.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423368|ref|WP_004295578.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
