gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746320|ref|WP_004608628.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746321|ref|WP_004608629.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746323|ref|WP_004608631.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746324|ref|WP_004608632.1|	Holliday junction DNA helicase RuvB [[Clostridium] spiroforme] 
gi|490746325|ref|WP_004608633.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746326|ref|WP_004608634.1|	GTPase CgtA [[Clostridium] spiroforme] 
gi|490746327|ref|WP_004608635.1|	50S ribosomal protein L27 [[Clostridium] spiroforme] 
gi|490746328|ref|WP_004608636.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746329|ref|WP_004608637.1|	50S ribosomal protein L21 [[Clostridium] spiroforme] 
gi|490746330|ref|WP_004608638.1|	stage IV sporulation protein [[Clostridium] spiroforme] 
gi|490746331|ref|WP_004608639.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746332|ref|WP_004608640.1|	septum site-determining protein MinD [[Clostridium] spiroforme] 
gi|490746333|ref|WP_004608641.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746334|ref|WP_004608642.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746335|ref|WP_004608643.1|	rod shape-determining protein MreC [[Clostridium] spiroforme] 
gi|490746336|ref|WP_004608644.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746337|ref|WP_004608645.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746338|ref|WP_004608646.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746339|ref|WP_004608647.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746340|ref|WP_004608648.1|	valyl-tRNA synthase [[Clostridium] spiroforme] 
gi|490746341|ref|WP_004608649.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746342|ref|WP_004608650.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746343|ref|WP_004608651.1|	GTP-binding protein YsxC [[Clostridium] spiroforme] 
gi|490746344|ref|WP_004608652.1|	Lon protease [[Clostridium] spiroforme] 
gi|490746345|ref|WP_004608653.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746346|ref|WP_004608654.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746347|ref|WP_004608655.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746348|ref|WP_004608656.1|	LysR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746349|ref|WP_004608657.1|	AraC family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746350|ref|WP_004608658.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490746351|ref|WP_004608659.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746352|ref|WP_004608660.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746353|ref|WP_004608661.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746354|ref|WP_004608662.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746355|ref|WP_004608663.1|	LuxR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746356|ref|WP_004608664.1|	excinuclease ABC subunit C [[Clostridium] spiroforme] 
gi|490746357|ref|WP_004608665.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746358|ref|WP_004608666.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746359|ref|WP_004608667.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746360|ref|WP_004608668.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746361|ref|WP_004608669.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746362|ref|WP_004608670.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746363|ref|WP_004608671.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746364|ref|WP_004608672.1|	PadR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746365|ref|WP_004608673.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746366|ref|WP_004608674.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746367|ref|WP_004608675.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746368|ref|WP_004608676.1|	cytidine deaminase [[Clostridium] spiroforme] 
gi|490746369|ref|WP_004608677.1|	RNA pseudouridine synthase [[Clostridium] spiroforme] 
gi|490746370|ref|WP_004608678.1|	signal peptidase II [[Clostridium] spiroforme] 
gi|490746371|ref|WP_004608679.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746372|ref|WP_004608680.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746373|ref|WP_004608681.1|	5,10-methylenetetrahydrofolate reductase [[Clostridium] spiroforme] 
gi|490746374|ref|WP_004608682.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746375|ref|WP_004608683.1|	homocysteine methyltransferase [[Clostridium] spiroforme] 
gi|490746376|ref|WP_004608684.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746377|ref|WP_004608685.1|	UDP-N-acetylmuramyl peptide synthase [[Clostridium] spiroforme] 
gi|490746378|ref|WP_004608686.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746379|ref|WP_004608687.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746380|ref|WP_004608688.1|	ATPase [[Clostridium] spiroforme] 
gi|490746381|ref|WP_004608689.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490746382|ref|WP_004608690.1|	GNAT family acetyltransferase [[Clostridium] spiroforme] 
gi|490746383|ref|WP_004608691.1|	damage-inducible protein CinA [[Clostridium] spiroforme] 
gi|490746384|ref|WP_004608692.1|	signal recognition particle protein Srp54 [[Clostridium] spiroforme] 
gi|490746385|ref|WP_004608693.1|	DNA-binding protein [[Clostridium] spiroforme] 
gi|490746386|ref|WP_004608694.1|	cell division protein FtsY [[Clostridium] spiroforme] 
gi|490746387|ref|WP_004608695.1|	ATPase [[Clostridium] spiroforme] 
gi|490746388|ref|WP_004608696.1|	xanthine phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746389|ref|WP_004608697.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490746390|ref|WP_004608698.1|	heme response regulator HssR [[Clostridium] spiroforme] 
gi|490746391|ref|WP_004608699.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746392|ref|WP_004608700.1|	phosphoesterase [[Clostridium] spiroforme] 
gi|490746393|ref|WP_004608701.1|	acetate kinase [[Clostridium] spiroforme] 
gi|490746394|ref|WP_004608702.1|	GNAT family acetyltransferase [[Clostridium] spiroforme] 
gi|490746395|ref|WP_004608703.1|	alpha/beta hydrolase [[Clostridium] spiroforme] 
gi|490746396|ref|WP_004608704.1|	alpha/beta hydrolase [[Clostridium] spiroforme] 
gi|490746397|ref|WP_004608705.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746398|ref|WP_004608706.1|	cysteine desulfurase [[Clostridium] spiroforme] 
gi|490746399|ref|WP_004608707.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746400|ref|WP_004608708.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746401|ref|WP_004608709.1|	oxidoreductase [[Clostridium] spiroforme] 
gi|490746402|ref|WP_004608710.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746403|ref|WP_004608711.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746404|ref|WP_004608712.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746405|ref|WP_004608713.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746406|ref|WP_004608714.1|	tyrosyl-tRNA synthase [[Clostridium] spiroforme] 
gi|490746407|ref|WP_004608715.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746408|ref|WP_004608716.1|	transposase [[Clostridium] spiroforme] 
gi|490746409|ref|WP_004608717.1|	GNAT family acetyltransferase [[Clostridium] spiroforme] 
gi|490746410|ref|WP_004608718.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746411|ref|WP_004608719.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746412|ref|WP_004608720.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746413|ref|WP_004608721.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746414|ref|WP_004608722.1|	UDP-N-acetylmuramate--alanine ligase [[Clostridium] spiroforme] 
gi|490746415|ref|WP_004608723.1|	proline dipeptidase [[Clostridium] spiroforme] 
gi|490746416|ref|WP_004608724.1|	aspartyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490746417|ref|WP_004608725.1|	histidyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490746418|ref|WP_004608726.1|	GTP pyrophosphokinase [[Clostridium] spiroforme] 
gi|490746419|ref|WP_004608727.1|	adenine phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746420|ref|WP_004608728.1|	recombinase RecJ [[Clostridium] spiroforme] 
