gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108008|ref|WP_007048792.1|	resolvase [Anaerofustis stercorihominis] 
gi|494108009|ref|WP_007048793.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108010|ref|WP_007048794.1|	queuine tRNA-ribosyltransferase [Anaerofustis stercorihominis] 
gi|494108011|ref|WP_007048795.1|	GTPase Era [Anaerofustis stercorihominis] 
gi|494108012|ref|WP_007048796.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108013|ref|WP_007048797.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108014|ref|WP_007048798.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108015|ref|WP_007048799.1|	phosphate starvation protein PhoH [Anaerofustis stercorihominis] 
gi|494108016|ref|WP_007048800.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108017|ref|WP_007048801.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108018|ref|WP_007048802.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108019|ref|WP_007048803.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108020|ref|WP_007048804.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108021|ref|WP_007048805.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108022|ref|WP_007048806.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108023|ref|WP_007048807.1|	(Fe-S)-binding protein [Anaerofustis stercorihominis] 
gi|494108024|ref|WP_007048808.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108025|ref|WP_007048809.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108026|ref|WP_007048810.1|	30S ribosomal protein S12 [Anaerofustis stercorihominis] 
gi|494108027|ref|WP_007048811.1|	30S ribosomal protein S7 [Anaerofustis stercorihominis] 
gi|494108028|ref|WP_007048812.1|	elongation factor P [Anaerofustis stercorihominis] 
gi|494108029|ref|WP_007048813.1|	elongation factor Tu [Anaerofustis stercorihominis] 
gi|494108030|ref|WP_007048814.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108031|ref|WP_007048815.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108032|ref|WP_007048816.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108033|ref|WP_007048817.1|	sugar isomerase [Anaerofustis stercorihominis] 
gi|494108034|ref|WP_007048818.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108035|ref|WP_007048819.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108036|ref|WP_007048820.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108037|ref|WP_007048821.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108038|ref|WP_007048822.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108039|ref|WP_007048823.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108040|ref|WP_007048824.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108041|ref|WP_007048825.1|	hypothetical protein [Anaerofustis stercorihominis] 
