gi|493276111|ref|WP_006233909.1|	UDP-glucose dehydrogenase [Collinsella aerofaciens] 
gi|493276112|ref|WP_006233910.1|	multidrug MFS transporter [Collinsella aerofaciens] 
gi|493276113|ref|WP_006233911.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276114|ref|WP_006233912.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276115|ref|WP_006233913.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276117|ref|WP_006233915.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276119|ref|WP_006233917.1|	glycogen branching protein [Collinsella aerofaciens] 
gi|493276121|ref|WP_006233919.1|	alpha-glucan phosphorylase [Collinsella aerofaciens] 
gi|493276122|ref|WP_006233920.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Collinsella] 
gi|493276123|ref|WP_006233921.1|	glucose-1-phosphate adenylyltransferase [Collinsella aerofaciens] 
gi|493276124|ref|WP_006233922.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276125|ref|WP_006233923.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276126|ref|WP_006233924.1|	4-alpha-glucanotransferase [Collinsella aerofaciens] 
gi|493276127|ref|WP_006233925.1|	FmdB family transcriptional regulator [Collinsella aerofaciens] 
gi|493276128|ref|WP_006233926.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276129|ref|WP_006233927.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276130|ref|WP_006233928.1|	methionyl-tRNA formyltransferase [Collinsella aerofaciens] 
gi|493276131|ref|WP_006233929.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276132|ref|WP_006233930.1|	peptide deformylase [Collinsella aerofaciens] 
gi|493276133|ref|WP_006233931.1|	primosomal protein N' [Collinsella aerofaciens] 
gi|493276134|ref|WP_006233932.1|	glutamyl-tRNA synthetase [Collinsella aerofaciens] 
gi|493276135|ref|WP_006233933.1|	S-adenosylmethionine synthetase [Collinsella aerofaciens] 
gi|493276136|ref|WP_006233934.1|	serine dehydratase [Collinsella aerofaciens] 
gi|493276137|ref|WP_006233935.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276138|ref|WP_006233936.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276139|ref|WP_006233937.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276140|ref|WP_006233938.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276141|ref|WP_006233939.1|	precorrin-6X reductase [Collinsella aerofaciens] 
gi|493276143|ref|WP_006233941.1|	precorrin-8X methylmutase [Collinsella aerofaciens] 
gi|493276145|ref|WP_006233943.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276146|ref|WP_006233944.1|	cobyric acid synthase [Collinsella aerofaciens] 
gi|493276147|ref|WP_006233945.1|	hypothetical protein [Collinsella aerofaciens] 
gi|493276148|ref|WP_006233946.1|	cobalamin biosynthesis protein CobD [Collinsella aerofaciens] 
gi|493276149|ref|WP_006233947.1|	fructose-2,6-bisphosphatase [Collinsella aerofaciens] 
gi|493276150|ref|WP_006233948.1|	hypothetical protein [Collinsella aerofaciens] 
