gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493396718|ref|WP_006352833.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396719|ref|WP_006352834.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396720|ref|WP_006352835.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396721|ref|WP_006352836.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396722|ref|WP_006352837.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396723|ref|WP_006352838.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396724|ref|WP_006352839.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396725|ref|WP_006352840.1|	ethanolamine utilization protein EutN [[Clostridium] methylpentosum] 
gi|493396726|ref|WP_006352841.1|	propanediol utilization phosphotransacylase [[Clostridium] methylpentosum] 
gi|493396727|ref|WP_006352842.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396728|ref|WP_006352843.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396729|ref|WP_006352844.1|	carboxysome shell protein [[Clostridium] methylpentosum] 
gi|493396730|ref|WP_006352845.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396731|ref|WP_006352846.1|	threonine dehydrogenase [[Clostridium] methylpentosum] 
gi|493396732|ref|WP_006352847.1|	aldehyde dehydrogenase [[Clostridium] methylpentosum] 
gi|493396733|ref|WP_006352848.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396734|ref|WP_006352849.1|	glycerol dehydratase [[Clostridium] methylpentosum] 
gi|493396735|ref|WP_006352850.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396736|ref|WP_006352851.1|	propanediol dehydratase medium subunit [[Clostridium] methylpentosum] 
gi|493396737|ref|WP_006352852.1|	propanediol dehydratase large subunit [[Clostridium] methylpentosum] 
gi|493396738|ref|WP_006352853.1|	aldolase [[Clostridium] methylpentosum] 
gi|493396739|ref|WP_006352854.1|	acetate kinase [[Clostridium] methylpentosum] 
gi|493396740|ref|WP_006352855.1|	carbohydrate kinase [[Clostridium] methylpentosum] 
gi|493396741|ref|WP_006352856.1|	rhamnose isomerase [[Clostridium] methylpentosum] 
gi|493396742|ref|WP_006352857.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396743|ref|WP_006352858.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396744|ref|WP_006352859.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396745|ref|WP_006352860.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396746|ref|WP_006352861.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396747|ref|WP_006352862.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396748|ref|WP_006352863.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396749|ref|WP_006352864.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396750|ref|WP_006352865.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396751|ref|WP_006352866.1|	peptidase M23 [[Clostridium] methylpentosum] 
gi|493396752|ref|WP_006352867.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396753|ref|WP_006352868.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396754|ref|WP_006352869.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396755|ref|WP_006352870.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396756|ref|WP_006352871.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396757|ref|WP_006352872.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396758|ref|WP_006352873.1|	ferredoxin [[Clostridium] methylpentosum] 
gi|493396759|ref|WP_006352874.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396760|ref|WP_006352875.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396761|ref|WP_006352876.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396762|ref|WP_006352877.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396763|ref|WP_006352878.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396764|ref|WP_006352879.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396765|ref|WP_006352880.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396766|ref|WP_006352881.1|	amino acid-binding protein [[Clostridium] methylpentosum] 
gi|493396767|ref|WP_006352882.1|	phenylacetate-CoA ligase [[Clostridium] methylpentosum] 
gi|493396768|ref|WP_006352883.1|	indolepyruvate oxidoreductase [[Clostridium] methylpentosum] 
gi|493396769|ref|WP_006352884.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396770|ref|WP_006352885.1|	phenylacetate-CoA ligase [[Clostridium] methylpentosum] 
gi|493396771|ref|WP_006352886.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396772|ref|WP_006352887.1|	NADH dehydrogenase [[Clostridium] methylpentosum] 
gi|493396773|ref|WP_006352888.1|	NADH dehydrogenase [[Clostridium] methylpentosum] 
gi|493396774|ref|WP_006352889.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396775|ref|WP_006352890.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396776|ref|WP_006352891.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396777|ref|WP_006352892.1|	30S ribosomal protein S18 [[Clostridium] methylpentosum] 
gi|493396778|ref|WP_006352893.1|	single-stranded DNA-binding protein [[Clostridium] methylpentosum] 
gi|493396779|ref|WP_006352894.1|	30S ribosomal protein S6 [[Clostridium] methylpentosum] 
gi|493396780|ref|WP_006352895.1|	UTP--glucose-1-phosphate uridylyltransferase [[Clostridium] methylpentosum] 
gi|493396781|ref|WP_006352896.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396782|ref|WP_006352897.1|	peptide chain release factor 2 [[Clostridium] methylpentosum] 
gi|493396783|ref|WP_006352898.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396784|ref|WP_006352899.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396785|ref|WP_006352900.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396786|ref|WP_006352901.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396787|ref|WP_006352902.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396788|ref|WP_006352903.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396789|ref|WP_006352904.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396790|ref|WP_006352905.1|	ABC transporter [[Clostridium] methylpentosum] 
gi|493396791|ref|WP_006352906.1|	phosphonate ABC transporter permease [[Clostridium] methylpentosum] 
gi|493396792|ref|WP_006352907.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396793|ref|WP_006352908.1|	glycosyl transferase [[Clostridium] methylpentosum] 
gi|493396794|ref|WP_006352909.1|	glycosyl transferase family 2 [[Clostridium] methylpentosum] 
gi|493396795|ref|WP_006352910.1|	glycosyl transferase family 2 [[Clostridium] methylpentosum] 
gi|493396796|ref|WP_006352911.1|	hypothetical protein [[Clostridium] methylpentosum] 
