gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456693|ref|WP_004327460.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456694|ref|WP_004327461.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456695|ref|WP_004327462.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456696|ref|WP_004327463.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456697|ref|WP_004327464.1|	MULTISPECIES: sporulation protein [Alistipes] 
gi|490456698|ref|WP_004327465.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456699|ref|WP_004327466.1|	hypothetical protein [Alistipes putredinis] 
gi|490456700|ref|WP_004327467.1|	hypothetical protein [Alistipes putredinis] 
gi|490456701|ref|WP_004327468.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456702|ref|WP_004327469.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456703|ref|WP_004327470.1|	ATPase [Alistipes putredinis] 
gi|490456704|ref|WP_004327471.1|	hypothetical protein [Alistipes putredinis] 
gi|490456705|ref|WP_004327472.1|	hypothetical protein [Alistipes putredinis] 
gi|490456706|ref|WP_004327473.1|	hypothetical protein [Alistipes putredinis] 
gi|490456707|ref|WP_004327474.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456708|ref|WP_004327475.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456709|ref|WP_004327476.1|	hypothetical protein [Alistipes putredinis] 
gi|490456710|ref|WP_004327477.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456711|ref|WP_004327478.1|	hypothetical protein [Alistipes putredinis] 
gi|490456712|ref|WP_004327479.1|	hypothetical protein [Alistipes putredinis] 
gi|490456713|ref|WP_004327480.1|	hypothetical protein [Alistipes putredinis] 
gi|490456714|ref|WP_004327481.1|	hypothetical protein [Alistipes putredinis] 
gi|490456715|ref|WP_004327482.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456718|ref|WP_004327484.1|	hypothetical protein [Alistipes putredinis] 
gi|490456721|ref|WP_004327487.1|	hypothetical protein [Alistipes putredinis] 
gi|490456723|ref|WP_004327489.1|	hypothetical protein [Alistipes putredinis] 
gi|490456724|ref|WP_004327490.1|	dihydrofolate reductase [Alistipes putredinis] 
gi|490456726|ref|WP_004327491.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456729|ref|WP_004327494.1|	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Alistipes] 
gi|490456731|ref|WP_004327495.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456732|ref|WP_004327496.1|	metalloendopeptidase [Alistipes putredinis] 
gi|490456733|ref|WP_004327497.1|	hypothetical protein [Alistipes putredinis] 
gi|490456734|ref|WP_004327498.1|	hypothetical protein [Alistipes putredinis] 
gi|490456735|ref|WP_004327499.1|	MULTISPECIES: purine nucleoside phosphorylase [Alistipes] 
gi|490456736|ref|WP_004327500.1|	MULTISPECIES: single-stranded DNA-binding protein [Alistipes] 
gi|490456737|ref|WP_004327501.1|	hypothetical protein [Alistipes putredinis] 
gi|490456738|ref|WP_004327502.1|	hypothetical protein [Alistipes putredinis] 
gi|490456739|ref|WP_004327503.1|	oxidoreductase [Alistipes putredinis] 
gi|490456740|ref|WP_004327504.1|	hypothetical protein [Alistipes putredinis] 
gi|490456741|ref|WP_004327505.1|	hypothetical protein [Alistipes putredinis] 
gi|490456742|ref|WP_004327506.1|	CMP deaminase [Alistipes putredinis] 
gi|490456743|ref|WP_004327507.1|	preprotein translocase subunit SecA [Alistipes putredinis] 
gi|490456744|ref|WP_004327508.1|	membrane protein [Alistipes putredinis] 
gi|490456745|ref|WP_004327509.1|	hypothetical protein [Alistipes putredinis] 
gi|490456746|ref|WP_004327510.1|	hypothetical protein [Alistipes putredinis] 
gi|490456747|ref|WP_004327511.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456748|ref|WP_004327512.1|	Fe-S metabolism protein SufE [Alistipes putredinis] 
gi|490456749|ref|WP_004327513.1|	antitoxin [Alistipes putredinis] 
gi|490456750|ref|WP_004327514.1|	MULTISPECIES: chloramphenicol acetyltransferase [Alistipes] 
gi|490456751|ref|WP_004327515.1|	hypothetical protein [Alistipes putredinis] 
gi|490456752|ref|WP_004327516.1|	hypothetical protein [Alistipes putredinis] 
gi|490456753|ref|WP_004327517.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Alistipes putredinis] 
gi|490456754|ref|WP_004327518.1|	ribose 5-phosphate isomerase [Alistipes putredinis] 
gi|490456755|ref|WP_004327519.1|	hypothetical protein [Alistipes putredinis] 
gi|490456756|ref|WP_004327520.1|	hypothetical protein [Alistipes putredinis] 
gi|490456757|ref|WP_004327521.1|	hypothetical protein [Alistipes putredinis] 
gi|490456758|ref|WP_004327522.1|	membrane protein [Alistipes putredinis] 
gi|490456759|ref|WP_004327523.1|	membrane protein [Alistipes putredinis] 
gi|490456760|ref|WP_004327524.1|	hypothetical protein [Alistipes putredinis] 
gi|490456761|ref|WP_004327525.1|	GTP-binding protein TypA [Alistipes putredinis] 
gi|490456762|ref|WP_004327526.1|	hypothetical protein [Alistipes putredinis] 
gi|490456763|ref|WP_004327527.1|	hypothetical protein [Alistipes putredinis] 
gi|490456764|ref|WP_004327528.1|	malate dehydrogenase [Alistipes putredinis] 
gi|490456765|ref|WP_004327529.1|	nitroreductase [Alistipes putredinis] 
gi|490456766|ref|WP_004327530.1|	hypothetical protein [Alistipes putredinis] 
gi|490456767|ref|WP_004327531.1|	Holliday junction DNA helicase RuvB [Alistipes putredinis] 
gi|490456771|ref|WP_004327534.1|	hypothetical protein [Alistipes putredinis] 
gi|490456772|ref|WP_004327535.1|	hypothetical protein [Alistipes putredinis] 
gi|490456773|ref|WP_004327536.1|	MULTISPECIES: riboflavin synthase subunit alpha [Alistipes] 
gi|490456774|ref|WP_004327537.1|	histidine kinase [Alistipes putredinis] 
gi|490456775|ref|WP_004327538.1|	prolipoprotein diacylglyceryl transferase [Alistipes putredinis] 
gi|490456776|ref|WP_004327539.1|	hypothetical protein [Alistipes putredinis] 
gi|490456778|ref|WP_004327540.1|	polysaccharide biosynthesis protein GtrA [Alistipes putredinis] 
gi|490456779|ref|WP_004327541.1|	alcohol dehydrogenase [Alistipes putredinis] 
gi|490456780|ref|WP_004327542.1|	excinuclease ABC subunit B [Alistipes putredinis] 
gi|490456781|ref|WP_004327543.1|	hypothetical protein [Alistipes putredinis] 
gi|490456782|ref|WP_004327544.1|	DNA primase [Alistipes putredinis] 
gi|490456783|ref|WP_004327545.1|	single-stranded DNA-binding protein [Alistipes putredinis] 
gi|490456784|ref|WP_004327546.1|	hypothetical protein [Alistipes putredinis] 
gi|490456785|ref|WP_004327547.1|	hypothetical protein [Alistipes putredinis] 
gi|490456786|ref|WP_004327548.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456787|ref|WP_004327549.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456788|ref|WP_004327550.1|	MULTISPECIES: metal-dependent hydrolase [Alistipes] 
gi|490456789|ref|WP_004327551.1|	MULTISPECIES: RNA methyltransferase [Alistipes] 
gi|490456790|ref|WP_004327552.1|	FMN reductase [Alistipes putredinis] 
gi|490456791|ref|WP_004327553.1|	MULTISPECIES: glycosyl transferase family 2 [Alistipes] 
gi|490456792|ref|WP_004327554.1|	ribulose-phosphate 3-epimerase [Alistipes putredinis] 
gi|490456793|ref|WP_004327555.1|	hypothetical protein [Alistipes putredinis] 
gi|490456794|ref|WP_004327556.1|	hypothetical protein [Alistipes putredinis] 
gi|490456795|ref|WP_004327557.1|	hypothetical protein [Alistipes putredinis] 
