WP_000456787.1	MULTISPECIES: methyltransferase [Terrabacteria group] 
WP_000691721.1	MULTISPECIES: tetracycline resistance ribosomal protection protein Tet(W) [Terrabacteria group] 
WP_001071126.1	MULTISPECIES: transcriptional regulator [Bacteria] 
WP_001333194.1	MULTISPECIES: chloramphenicol acetyltransferase CAT [Bacteria] 
WP_002596475.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_003533401.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_003533403.1	MULTISPECIES: TnpV protein [Clostridiales] 
WP_003533443.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_003864565.1	MULTISPECIES: molecular chaperone [Firmicutes] 
WP_005335835.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005335849.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005927690.1	MULTISPECIES: TnpV protein [Clostridiales] 
WP_005930786.1	MULTISPECIES: TnpV protein [Clostridiales] 
WP_005934733.1	MULTISPECIES: resolvase [Clostridiales] 
WP_005934739.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005934741.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005934745.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_005934746.1	MULTISPECIES: toxin [Clostridiales] 
WP_005934759.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005934794.1	MULTISPECIES: conjugative transfer protein [Clostridiales] 
WP_005934801.1	MULTISPECIES: thiamine transporter [Clostridiales] 
WP_005946136.1	MULTISPECIES: mobilization protein [Clostridiales] 
WP_005946147.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_006570570.1	type I-C CRISPR-associated protein Cas5 [Pseudoflavonifractor capillosus] 
WP_006570571.1	type I-C CRISPR-associated protein Cas8c/Csd1 [Pseudoflavonifractor capillosus] 
WP_006570572.1	type I-C CRISPR-associated protein Cas7/Csd2 [Pseudoflavonifractor capillosus] 
WP_006570573.1	CRISPR-associated protein Cas4 [Pseudoflavonifractor capillosus] 
WP_006570574.1	subtype I-C CRISPR-associated endonuclease Cas1 [Pseudoflavonifractor capillosus] 
WP_006570575.1	CRISPR-associated endonuclease Cas2 [Pseudoflavonifractor capillosus] 
WP_006570589.1	hypothetical protein [Pseudoflavonifractor capillosus] 
WP_006570591.1	hypothetical protein [Pseudoflavonifractor capillosus] 
