gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491802669|ref|WP_005608259.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802670|ref|WP_005608260.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802672|ref|WP_005608262.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802675|ref|WP_005608265.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802677|ref|WP_005608267.1|	coenzyme PQQ synthesis protein [Ruminococcus lactaris] 
gi|491802679|ref|WP_005608269.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802681|ref|WP_005608271.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802683|ref|WP_005608273.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Ruminococcus lactaris] 
gi|491802685|ref|WP_005608275.1|	fumarate hydratase [Ruminococcus lactaris] 
gi|491802687|ref|WP_005608277.1|	fumarate hydratase [Ruminococcus lactaris] 
gi|491802689|ref|WP_005608279.1|	cytidine deaminase [Ruminococcus lactaris] 
gi|491802690|ref|WP_005608280.1|	uracil phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491802693|ref|WP_005608283.1|	translation factor (SUA5) [Ruminococcus lactaris] 
gi|491802695|ref|WP_005608285.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802696|ref|WP_005608286.1|	glycosyl hydrolase family 18 [Ruminococcus lactaris] 
gi|491802699|ref|WP_005608289.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802702|ref|WP_005608292.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802704|ref|WP_005608294.1|	competence protein [Ruminococcus lactaris] 
gi|491802706|ref|WP_005608296.1|	disulfide oxidoreductase [Ruminococcus lactaris] 
gi|491802709|ref|WP_005608299.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802711|ref|WP_005608301.1|	Fur family transcriptional regulator [Ruminococcus lactaris] 
gi|491802714|ref|WP_005608304.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802715|ref|WP_005608305.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802717|ref|WP_005608307.1|	peptidase M23 [Ruminococcus lactaris] 
gi|491802719|ref|WP_005608309.1|	stage II sporulation protein D [Ruminococcus lactaris] 
gi|491802720|ref|WP_005608310.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802723|ref|WP_005608313.1|	glycosyl transferase family 35 [Ruminococcus lactaris] 
gi|491802724|ref|WP_005608314.1|	isoleucyl-tRNA synthase [Ruminococcus lactaris] 
gi|491802726|ref|WP_005608316.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802728|ref|WP_005608318.1|	D-Ala-D-Ala carboxypeptidase [Ruminococcus lactaris] 
gi|491802730|ref|WP_005608320.1|	exonuclease [Ruminococcus lactaris] 
gi|491802732|ref|WP_005608322.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802734|ref|WP_005608324.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802738|ref|WP_005608328.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802740|ref|WP_005608330.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802742|ref|WP_005608332.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802743|ref|WP_005608333.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802745|ref|WP_005608335.1|	GNAT family acetyltransferase [Ruminococcus lactaris] 
gi|491802746|ref|WP_005608336.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802748|ref|WP_005608338.1|	amidohydrolase [Ruminococcus lactaris] 
gi|489961233|ref|WP_003864540.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490981770|ref|WP_004843528.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802752|ref|WP_005608342.1|	MULTISPECIES: bacteriocin ABC transporter ATP-binding protein [Clostridiales] 
gi|491802754|ref|WP_005608344.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981767|ref|WP_004843525.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802756|ref|WP_005608346.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802757|ref|WP_005608347.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802759|ref|WP_005608349.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|491802761|ref|WP_005608351.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490981761|ref|WP_004843519.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|491802763|ref|WP_005608353.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491802764|ref|WP_005608354.1|	MULTISPECIES: integrase [Clostridiales] 
gi|491802766|ref|WP_005608356.1|	ABC transporter [Ruminococcus lactaris] 
gi|491802768|ref|WP_005608358.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802770|ref|WP_005608360.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802772|ref|WP_005608362.1|	transposase [Ruminococcus lactaris] 
gi|491802774|ref|WP_005608364.1|	hypothetical protein [Ruminococcus lactaris] 
gi|489961754|ref|WP_003865061.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|491802776|ref|WP_005608366.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491802778|ref|WP_005608368.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802780|ref|WP_005608370.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802781|ref|WP_005608371.1|	histidine kinase [Ruminococcus lactaris] 
gi|491802782|ref|WP_005608372.1|	heme response regulator HssR [Ruminococcus lactaris] 
gi|491802783|ref|WP_005608373.1|	phospholipase [Ruminococcus lactaris] 
gi|491802784|ref|WP_005608374.1|	cardiolipin synthase [Ruminococcus lactaris] 
gi|491802785|ref|WP_005608375.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802786|ref|WP_005608376.1|	2,5-diketo-D-gluconic acid reductase [Ruminococcus lactaris] 
gi|491802787|ref|WP_005608377.1|	gamma-carboxymuconolactone decarboxylase [Ruminococcus lactaris] 
gi|491802788|ref|WP_005608378.1|	NAD(P)H dehydrogenase (quinone) [Ruminococcus lactaris] 
gi|491802789|ref|WP_005608379.1|	NADPH-dependent FMN reductase [Ruminococcus lactaris] 
gi|491802790|ref|WP_005608380.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802792|ref|WP_005608382.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802794|ref|WP_005608384.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802796|ref|WP_005608386.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802798|ref|WP_005608388.1|	NADH-dependent butanol dehydrogenase [Ruminococcus lactaris] 
gi|491802799|ref|WP_005608389.1|	alpha/beta hydrolase [Ruminococcus lactaris] 
gi|491802801|ref|WP_005608391.1|	oxidoreductase [Ruminococcus lactaris] 
gi|491802803|ref|WP_005608393.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802805|ref|WP_005608395.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491802808|ref|WP_005608398.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802809|ref|WP_005608399.1|	Cro/Cl family transcriptional regulator [Ruminococcus lactaris] 
gi|491802811|ref|WP_005608401.1|	thioredoxin reductase [Ruminococcus lactaris] 
gi|491802813|ref|WP_005608403.1|	membrane protein [Ruminococcus lactaris] 
gi|491802815|ref|WP_005608405.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802816|ref|WP_005608406.1|	transposase [Ruminococcus lactaris] 
gi|491802818|ref|WP_005608408.1|	hemerythrin [Ruminococcus lactaris] 
gi|491802820|ref|WP_005608410.1|	rubredoxin [Ruminococcus lactaris] 
gi|491802822|ref|WP_005608412.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802824|ref|WP_005608414.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802825|ref|WP_005608415.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802826|ref|WP_005608416.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802827|ref|WP_005608417.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802828|ref|WP_005608418.1|	MarR family transcriptional regulator [Ruminococcus lactaris] 
gi|491802829|ref|WP_005608419.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491802830|ref|WP_005608420.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491802831|ref|WP_005608421.1|	ATPase [Ruminococcus lactaris] 
gi|491802832|ref|WP_005608422.1|	glyoxalase [Ruminococcus lactaris] 
gi|491802834|ref|WP_005608424.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802836|ref|WP_005608426.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802838|ref|WP_005608428.1|	dioxygenase [Ruminococcus lactaris] 
gi|491802840|ref|WP_005608430.1|	NagC protein [Ruminococcus lactaris] 
gi|491802842|ref|WP_005608432.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802844|ref|WP_005608434.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802846|ref|WP_005608436.1|	seryl-tRNA synthetase [Ruminococcus lactaris] 
gi|491802848|ref|WP_005608438.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802850|ref|WP_005608440.1|	plasmid stablization protein ParB [Ruminococcus lactaris] 
gi|491802852|ref|WP_005608442.1|	sporulation initiation inhibitor Soj [Ruminococcus lactaris] 
gi|491802854|ref|WP_005608444.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802856|ref|WP_005608446.1|	16S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491802857|ref|WP_005608447.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Ruminococcus lactaris] 
gi|491802859|ref|WP_005608449.1|	tRNA modification GTPase [Ruminococcus lactaris] 
gi|491802860|ref|WP_005608450.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802862|ref|WP_005608452.1|	stage III sporulation protein J [Ruminococcus lactaris] 
gi|491802863|ref|WP_005608453.1|	membrane protein insertion efficiency factor [Ruminococcus lactaris] 
gi|491802866|ref|WP_005608456.1|	ribonuclease P [Ruminococcus lactaris] 
gi|490750975|ref|WP_004613283.1|	MULTISPECIES: 50S ribosomal protein L34 [Firmicutes] 
gi|491802868|ref|WP_005608458.1|	chromosomal replication initiator protein DnaA [Ruminococcus lactaris] 
gi|491802870|ref|WP_005608460.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802871|ref|WP_005608461.1|	DNA polymerase III subunit beta [Ruminococcus lactaris] 
gi|491802873|ref|WP_005608463.1|	RNA-binding protein [Ruminococcus lactaris] 
gi|491802875|ref|WP_005608465.1|	DNA replication protein RecF [Ruminococcus lactaris] 
gi|491802877|ref|WP_005608467.1|	DNA gyrase subunit B [Ruminococcus lactaris] 
gi|491802878|ref|WP_005608468.1|	DNA gyrase subunit A [Ruminococcus lactaris] 
