gi|489933481|ref|WP_003836795.1|	hypothetical protein partial [Bifidobacterium dentium] 
gi|489933483|ref|WP_003836797.1|	glycosyl transferase [Bifidobacterium dentium] 
gi|489933485|ref|WP_003836799.1|	glycosyl transferase [Bifidobacterium dentium] 
gi|489933487|ref|WP_003836801.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933489|ref|WP_003836803.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933491|ref|WP_003836805.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933490|ref|WP_003836804.1|	dTDP-glucose 4,6-dehydratase [Bifidobacterium dentium] 
gi|489933526|ref|WP_003836840.1|	carbamoyl phosphate synthase small subunit [Bifidobacterium dentium] 
gi|489933527|ref|WP_003836841.1|	nitrogen utilization protein B [Bifidobacterium dentium] 
gi|489933528|ref|WP_003836842.1|	elongation factor P [Bifidobacterium dentium] 
gi|489933530|ref|WP_003836844.1|	elongation factor Tu [Bifidobacterium dentium] 
gi|489933531|ref|WP_003836845.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933533|ref|WP_003836847.1|	elongation factor G [Bifidobacterium dentium] 
gi|489922426|ref|WP_003825775.1|	MULTISPECIES: 30S ribosomal protein S7 [Bifidobacterium] 
gi|489905175|ref|WP_003808601.1|	MULTISPECIES: 30S ribosomal protein S12 [Bifidobacterium] 
gi|489933535|ref|WP_003836849.1|	sodium transporter [Bifidobacterium dentium] 
gi|489933537|ref|WP_003836851.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933538|ref|WP_003836852.1|	amino acid lyase [Bifidobacterium dentium] 
gi|489933540|ref|WP_003836854.1|	glycosyl transferase [Bifidobacterium dentium] 
gi|489933541|ref|WP_003836855.1|	phosphoribosylglycinamide formyltransferase [Bifidobacterium dentium] 
gi|489933543|ref|WP_003836857.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Bifidobacterium dentium] 
gi|489933545|ref|WP_003836859.1|	phosphoribosylformylglycinamidine synthase [Bifidobacterium dentium] 
gi|489933548|ref|WP_003836861.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933549|ref|WP_003836862.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933552|ref|WP_003836865.1|	DNA methylase [Bifidobacterium dentium] 
gi|489933553|ref|WP_003836866.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933554|ref|WP_003836867.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933556|ref|WP_003836869.1|	phosphoribosylaminoimidazole synthetase [Bifidobacterium dentium] 
gi|489933557|ref|WP_003836870.1|	phosphoribosylamine--glycine ligase [Bifidobacterium dentium] 
gi|489933558|ref|WP_003836871.1|	arylsulfatase [Bifidobacterium dentium] 
gi|489933560|ref|WP_003836873.1|	hypothetical protein [Bifidobacterium dentium] 
gi|489933561|ref|WP_003836874.1|	peptide ABC transporter substrate-binding protein [Bifidobacterium dentium] 
gi|489933563|ref|WP_003836876.1|	phosphoribosylaminoimidazole carboxylase [Bifidobacterium dentium] 
gi|489933565|ref|WP_003836878.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Bifidobacterium dentium] 
