gi|490983150|ref|WP_004844900.1|	hypothetical protein partial [[Ruminococcus] torques] 
gi|490983151|ref|WP_004844901.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983152|ref|WP_004844902.1|	peptidoglycan-binding protein [[Ruminococcus] torques] 
gi|490983153|ref|WP_004844903.1|	MULTISPECIES: 4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Clostridiales] 
gi|490983154|ref|WP_004844904.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|490983155|ref|WP_004844905.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983156|ref|WP_004844906.1|	MULTISPECIES: stage II sporulation protein R [Clostridiales] 
gi|490983157|ref|WP_004844907.1|	MULTISPECIES: cation diffusion facilitator family transporter [Lachnospiraceae] 
gi|490983158|ref|WP_004844908.1|	MULTISPECIES: acyl-ACP thioesterase [Clostridiales] 
gi|490983159|ref|WP_004844909.1|	MULTISPECIES: haloacid dehalogenase [Clostridiales] 
gi|490983160|ref|WP_004844910.1|	precorrin-6X reductase [[Ruminococcus] torques] 
gi|490983161|ref|WP_004844911.1|	MULTISPECIES: 30S ribosomal protein S2 [Clostridiales] 
gi|490983162|ref|WP_004844912.1|	MULTISPECIES: elongation factor Ts [Lachnospiraceae] 
gi|490983163|ref|WP_004844913.1|	MULTISPECIES: phosphoglucosamine mutase [Clostridiales] 
gi|490983164|ref|WP_004844914.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|490983165|ref|WP_004844915.1|	50S ribosomal protein L33 [[Ruminococcus] torques] 
gi|490983166|ref|WP_004844916.1|	MULTISPECIES: preprotein translocase subunit SecE [Clostridiales] 
gi|490983167|ref|WP_004844917.1|	MULTISPECIES: antitermination factor NusG [Clostridiales] 
gi|490983168|ref|WP_004844918.1|	MULTISPECIES: 50S ribosomal protein L11 [Clostridiales] 
gi|490983169|ref|WP_004844919.1|	MULTISPECIES: 50S ribosomal protein L1 [Clostridiales] 
gi|490983170|ref|WP_004844920.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983172|ref|WP_004844922.1|	transcriptional regulator [[Ruminococcus] torques] 
gi|490983171|ref|WP_004844921.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983173|ref|WP_004844923.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983174|ref|WP_004844924.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983175|ref|WP_004844925.1|	MULTISPECIES: peptide chain release factor 3 [Clostridiales] 
gi|490983176|ref|WP_004844926.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983177|ref|WP_004844927.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983178|ref|WP_004844928.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490983179|ref|WP_004844929.1|	MULTISPECIES: transcription antitermination protein NusB [Clostridiales] 
gi|490983180|ref|WP_004844930.1|	MULTISPECIES: exodeoxyribonuclease VII [Clostridiales] 
gi|490983181|ref|WP_004844931.1|	exodeoxyribonuclease VII [[Ruminococcus] torques] 
gi|490983182|ref|WP_004844932.1|	MULTISPECIES: farnesyl-diphosphate synthase [Lachnospiraceae] 
gi|490983183|ref|WP_004844933.1|	MULTISPECIES: 1-deoxy-D-xylulose-5-phosphate synthase [Clostridiales] 
gi|490983184|ref|WP_004844934.1|	MULTISPECIES: RNA methyltransferase [Lachnospiraceae] 
gi|490983185|ref|WP_004844935.1|	MULTISPECIES: inorganic polyphosphate/ATP-NAD kinase [Clostridiales] 
gi|490983186|ref|WP_004844936.1|	MULTISPECIES: arginine repressor ArgR [Clostridiales] 
gi|490983187|ref|WP_004844937.1|	MULTISPECIES: DNA repair protein RecN [Lachnospiraceae] 
gi|490983188|ref|WP_004844938.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983189|ref|WP_004844939.1|	MULTISPECIES: stage IV sporulation protein B [Clostridiales] 
gi|490983190|ref|WP_004844940.1|	MULTISPECIES: sporulation protein [Clostridiales] 
gi|490983191|ref|WP_004844941.1|	MULTISPECIES: glycogen synthase [Clostridiales] 
gi|490983192|ref|WP_004844942.1|	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Lachnospiraceae] 
gi|490983193|ref|WP_004844943.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490983194|ref|WP_004844944.1|	MULTISPECIES: homocysteine methyltransferase [Clostridiales] 
gi|490983195|ref|WP_004844945.1|	MULTISPECIES: iron hydrogenase [Clostridiales] 
gi|490983196|ref|WP_004844946.1|	MULTISPECIES: alanyl-tRNA synthase [Clostridiales] 
gi|490155554|ref|WP_004054229.1|	MULTISPECIES: 30S ribosomal protein S21 [Bacteria] 
gi|490983197|ref|WP_004844947.1|	MULTISPECIES: glutamate dehydrogenase [Clostridiales] 
gi|490983198|ref|WP_004844948.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|490983199|ref|WP_004844949.1|	MULTISPECIES: cell division protein FtsH [Clostridiales] 
gi|490983200|ref|WP_004844950.1|	MULTISPECIES: ATPase P [Clostridiales] 
gi|490983201|ref|WP_004844951.1|	MULTISPECIES: NADPH-dependent FMN reductase [Clostridiales] 
gi|490983202|ref|WP_004844952.1|	transposase [[Ruminococcus] torques] 
gi|490983203|ref|WP_004844953.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983204|ref|WP_004844954.1|	MULTISPECIES: transposase [Clostridiales] 
gi|490983205|ref|WP_004844955.1|	integrase [[Ruminococcus] torques] 
gi|490983206|ref|WP_004844956.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983207|ref|WP_004844957.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490979395|ref|WP_004841158.1|	MULTISPECIES: integrase [Blautia] 
gi|490979399|ref|WP_004841162.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|488641651|ref|WP_002578307.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|490979406|ref|WP_004841169.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490983208|ref|WP_004844958.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983209|ref|WP_004844959.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983210|ref|WP_004844960.1|	transporter [[Ruminococcus] torques] 
gi|490983211|ref|WP_004844961.1|	MULTISPECIES: MarR family transcriptional regulator [Lachnospiraceae] 
gi|490983212|ref|WP_004844962.1|	radical SAM protein [[Ruminococcus] torques] 
gi|490983213|ref|WP_004844963.1|	radical SAM protein [[Ruminococcus] torques] 
gi|490983214|ref|WP_004844964.1|	MULTISPECIES: ATPase [Blautia] 
gi|490983215|ref|WP_004844965.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490983216|ref|WP_004844966.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983217|ref|WP_004844967.1|	hypothetical protein [[Ruminococcus] torques] 
gi|490983218|ref|WP_004844968.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490983219|ref|WP_004844969.1|	MULTISPECIES: transcriptional regulator [Lachnospiraceae] 
gi|490983220|ref|WP_004844970.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490983221|ref|WP_004844971.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490983222|ref|WP_004844972.1|	MULTISPECIES: TetR family transcriptional regulator [Blautia] 
