gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390980|ref|WP_008115681.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390981|ref|WP_008115682.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390977|ref|WP_008115678.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390984|ref|WP_008115685.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495390985|ref|WP_008115686.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495390987|ref|WP_008115688.1|	RNA polymerase subunit sigma [[Bacteroides] pectinophilus] 
gi|495390989|ref|WP_008115690.1|	entericidin like toxin protein [[Bacteroides] pectinophilus] 
gi|495390990|ref|WP_008115691.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495390991|ref|WP_008115692.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|489961230|ref|WP_003864537.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|495390993|ref|WP_008115694.1|	integrase [[Bacteroides] pectinophilus] 
gi|489600954|ref|WP_003505395.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|495390998|ref|WP_008115699.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|495391000|ref|WP_008115701.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391002|ref|WP_008115703.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|495391004|ref|WP_008115705.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391006|ref|WP_008115707.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391010|ref|WP_008115711.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391012|ref|WP_008115713.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391014|ref|WP_008115715.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391016|ref|WP_008115717.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391018|ref|WP_008115719.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391021|ref|WP_008115722.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391022|ref|WP_008115723.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391024|ref|WP_008115725.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391026|ref|WP_008115727.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391027|ref|WP_008115728.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391029|ref|WP_008115730.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391031|ref|WP_008115732.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391033|ref|WP_008115734.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391034|ref|WP_008115735.1|	histidine kinase [[Bacteroides] pectinophilus] 
gi|495391036|ref|WP_008115737.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391038|ref|WP_008115739.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495390982|ref|WP_008115683.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390979|ref|WP_008115680.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495390976|ref|WP_008115677.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391075|ref|WP_008115776.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391077|ref|WP_008115778.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391079|ref|WP_008115780.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391080|ref|WP_008115781.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391082|ref|WP_008115783.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
