gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928257|ref|WP_006872960.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928258|ref|WP_006872961.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928259|ref|WP_006872962.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928260|ref|WP_006872963.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928261|ref|WP_006872964.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928262|ref|WP_006872965.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928263|ref|WP_006872966.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928264|ref|WP_006872967.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928265|ref|WP_006872968.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928267|ref|WP_006872970.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928266|ref|WP_006872969.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928268|ref|WP_006872971.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928269|ref|WP_006872972.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928270|ref|WP_006872973.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928271|ref|WP_006872974.1|	aldolase [Anaerotruncus colihominis] 
gi|493928272|ref|WP_006872975.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928273|ref|WP_006872976.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928274|ref|WP_006872977.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|493928275|ref|WP_006872978.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|493928277|ref|WP_006872979.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|493928278|ref|WP_006872980.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928279|ref|WP_006872981.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928280|ref|WP_006872982.1|	sugar-binding protein [Anaerotruncus colihominis] 
gi|493928281|ref|WP_006872983.1|	MULTISPECIES: autoinducer kinase [Clostridiales] 
gi|493928282|ref|WP_006872984.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928283|ref|WP_006872985.1|	polyketide synthase [Anaerotruncus colihominis] 
gi|493928285|ref|WP_006872986.1|	methyltransferase [Anaerotruncus colihominis] 
gi|493928287|ref|WP_006872988.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928286|ref|WP_006872987.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
