gi|494822224|ref|WP_007557632.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822226|ref|WP_007557634.1|	hypothetical protein partial [Bacteroides plebeius] 
gi|490423153|ref|WP_004295371.1|	MULTISPECIES: plasmid transfer protein [Bacteroides] 
gi|490423152|ref|WP_004295370.1|	MULTISPECIES: plasmid transfer protein [Bacteroides] 
gi|494822234|ref|WP_007557642.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822240|ref|WP_007557648.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423136|ref|WP_004295355.1|	MULTISPECIES: ParA [Bacteroidales] 
gi|494822248|ref|WP_007557656.1|	hypothetical protein partial [Bacteroides plebeius] 
gi|494822250|ref|WP_007557658.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822252|ref|WP_007557660.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822254|ref|WP_007557662.1|	MULTISPECIES: mobilization protein [Bacteroides] 
gi|494822256|ref|WP_007557664.1|	hypothetical protein partial [Bacteroides plebeius] 
gi|494822257|ref|WP_007557665.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822281|ref|WP_007557689.1|	hypothetical protein partial [Bacteroides plebeius] 
gi|494822285|ref|WP_007557693.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822287|ref|WP_007557695.1|	integrase [Bacteroides plebeius] 
gi|494822288|ref|WP_007557696.1|	MULTISPECIES: transposase [Bacteroides] 
gi|494822290|ref|WP_007557698.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822291|ref|WP_007557699.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822293|ref|WP_007557701.1|	TonB-dependent receptor [Bacteroides plebeius] 
gi|494822295|ref|WP_007557703.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822297|ref|WP_007557705.1|	endonuclease [Bacteroides plebeius] 
gi|494822299|ref|WP_007557707.1|	beta-lactamase [Bacteroides plebeius] 
gi|494822300|ref|WP_007557708.1|	DNA mistmatch repair protein MutT [Bacteroides plebeius] 
gi|494822302|ref|WP_007557710.1|	carbohydrate kinase [Bacteroides plebeius] 
gi|494822304|ref|WP_007557712.1|	xylose isomerase [Bacteroides plebeius] 
gi|494822306|ref|WP_007557714.1|	major facilitator transporter [Bacteroides plebeius] 
gi|494822309|ref|WP_007557717.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822311|ref|WP_007557719.1|	membrane protein [Bacteroides plebeius] 
gi|494822312|ref|WP_007557720.1|	3,4-dihydroxy-2-butanone 4-phosphate synthase [Bacteroides plebeius] 
gi|494822314|ref|WP_007557722.1|	membrane protein [Bacteroides plebeius] 
gi|494822316|ref|WP_007557724.1|	aspartate aminotransferase [Bacteroides plebeius] 
gi|494822318|ref|WP_007557726.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822319|ref|WP_007557727.1|	glycosyl hydrolase family 88 [Bacteroides plebeius] 
gi|494822321|ref|WP_007557729.1|	membrane protein [Bacteroides plebeius] 
gi|494822323|ref|WP_007557731.1|	collagen-binding protein [Bacteroides plebeius] 
gi|494822325|ref|WP_007557733.1|	peptidase M60 [Bacteroides plebeius] 
gi|494822328|ref|WP_007557736.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822330|ref|WP_007557738.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822332|ref|WP_007557740.1|	chemotaxis protein CheY [Bacteroides plebeius] 
gi|494822334|ref|WP_007557742.1|	MULTISPECIES: 4Fe-4S ferredoxin [Bacteroides] 
gi|494822336|ref|WP_007557744.1|	beta-N-acetylglucosaminidase [Bacteroides plebeius] 
gi|494822338|ref|WP_007557746.1|	5'-nucleotidase [Bacteroides plebeius] 
gi|494822340|ref|WP_007557748.1|	5'-nucleotidase [Bacteroides plebeius] 
gi|494822342|ref|WP_007557750.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822344|ref|WP_007557752.1|	MULTISPECIES: 50S ribosomal protein L19 [Bacteroides] 
gi|494822346|ref|WP_007557754.1|	thymidine kinase [Bacteroides plebeius] 
gi|494822348|ref|WP_007557756.1|	16S rRNA methyltransferase [Bacteroides plebeius] 
gi|494822351|ref|WP_007557759.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822353|ref|WP_007557761.1|	beta-galactosidase [Bacteroides plebeius] 
gi|494822355|ref|WP_007557763.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822357|ref|WP_007557765.1|	chemotaxis protein CheY [Bacteroides plebeius] 
gi|494822359|ref|WP_007557767.1|	membrane protein [Bacteroides plebeius] 
gi|494822361|ref|WP_007557769.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822363|ref|WP_007557771.1|	sugar ABC transporter [Bacteroides plebeius] 
gi|494822365|ref|WP_007557773.1|	UDP-glucose 4-epimerase [Bacteroides plebeius] 
gi|494822368|ref|WP_007557776.1|	2-amino-3-ketobutyrate CoA ligase [Bacteroides plebeius] 
gi|494822370|ref|WP_007557778.1|	ATP-dependent endonuclease [Bacteroides plebeius] 
gi|494822372|ref|WP_007557780.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822374|ref|WP_007557782.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822376|ref|WP_007557784.1|	MULTISPECIES: methyltransferase [Bacteroides] 
gi|494822378|ref|WP_007557786.1|	cardiolipin synthetase [Bacteroides plebeius] 
gi|494822380|ref|WP_007557788.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822382|ref|WP_007557790.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822384|ref|WP_007557792.1|	3-dehydroquinate synthase [Bacteroides plebeius] 
gi|494822386|ref|WP_007557794.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822388|ref|WP_007557796.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822389|ref|WP_007557797.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822390|ref|WP_007557798.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822391|ref|WP_007557799.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822392|ref|WP_007557800.1|	transcriptional regulator [Bacteroides plebeius] 
gi|494822393|ref|WP_007557801.1|	transcriptional regulator [Bacteroides plebeius] 
gi|494822394|ref|WP_007557802.1|	histidine kinase [Bacteroides plebeius] 
gi|494822395|ref|WP_007557803.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822396|ref|WP_007557804.1|	hemolysin D [Bacteroides plebeius] 
gi|494822397|ref|WP_007557805.1|	multidrug transporter AcrB [Bacteroides plebeius] 
gi|494822398|ref|WP_007557806.1|	multidrug transporter [Bacteroides plebeius] 
gi|494822399|ref|WP_007557807.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822400|ref|WP_007557808.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822401|ref|WP_007557809.1|	peptidase M13 [Bacteroides plebeius] 
gi|494822404|ref|WP_007557812.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|494822407|ref|WP_007557815.1|	transporter [Bacteroides plebeius] 
gi|494822409|ref|WP_007557817.1|	fumarate hydratase [Bacteroides plebeius] 
gi|494822411|ref|WP_007557819.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822413|ref|WP_007557821.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822415|ref|WP_007557823.1|	GTPase HflX [Bacteroides plebeius] 
gi|494822417|ref|WP_007557825.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822419|ref|WP_007557827.1|	TonB-linked outer membrane protein [Bacteroides plebeius] 
gi|494822421|ref|WP_007557829.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822423|ref|WP_007557831.1|	tyrosine recombinase [Bacteroides plebeius] 
gi|494822425|ref|WP_007557833.1|	membrane protein [Bacteroides plebeius] 
gi|494822427|ref|WP_007557835.1|	membrane protein [Bacteroides plebeius] 
gi|494822431|ref|WP_007557839.1|	nucleotidyltransferase [Bacteroides plebeius] 
gi|494822432|ref|WP_007557840.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822435|ref|WP_007557843.1|	membrane protein [Bacteroides plebeius] 
gi|494822437|ref|WP_007557845.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822438|ref|WP_007557846.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit A [Bacteroides] 
gi|494822440|ref|WP_007557848.1|	NADH dehydrogenase subunit B [Bacteroides plebeius] 
gi|494822442|ref|WP_007557850.1|	NADH-quinone oxidoreductase subunit C [Bacteroides plebeius] 
gi|494822444|ref|WP_007557852.1|	NADH:ubiquinone oxidoreductase subunit H [Bacteroides plebeius] 
gi|494822446|ref|WP_007557854.1|	MULTISPECIES: NADH dehydrogenase subunit I [Bacteroides] 
gi|494822447|ref|WP_007557855.1|	NADH dehydrogenase subunit J [Bacteroides plebeius] 
gi|494822449|ref|WP_007557857.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit K [Bacteroides] 
gi|494822451|ref|WP_007557859.1|	NADH dehydrogenase subunit L [Bacteroides plebeius] 
gi|494822453|ref|WP_007557861.1|	NADH dehydrogenase subunit M [Bacteroides plebeius] 
gi|494822455|ref|WP_007557863.1|	NADH-quinone oxidoreductase subunit N [Bacteroides plebeius] 
gi|494822457|ref|WP_007557865.1|	AraC family transcriptional regulator [Bacteroides plebeius] 
gi|494822459|ref|WP_007557867.1|	MFS transporter [Bacteroides plebeius] 
gi|494822461|ref|WP_007557869.1|	hemolysin D [Bacteroides plebeius] 
gi|494822463|ref|WP_007557871.1|	transporter [Bacteroides plebeius] 
gi|494822465|ref|WP_007557873.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822467|ref|WP_007557875.1|	DNA mismatch repair protein MutL [Bacteroides plebeius] 
gi|494822468|ref|WP_007557876.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494822470|ref|WP_007557878.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822472|ref|WP_007557880.1|	peptidylprolyl isomerase [Bacteroides plebeius] 
gi|494822474|ref|WP_007557882.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822476|ref|WP_007557884.1|	inosine 5'-monophosphate dehydrogenase [Bacteroides plebeius] 
gi|494822478|ref|WP_007557886.1|	ATP-dependent DNA helicase RecQ [Bacteroides plebeius] 
gi|494822480|ref|WP_007557888.1|	ATPase AAA [Bacteroides plebeius] 
gi|494822482|ref|WP_007557890.1|	MULTISPECIES: ATP-dependent Clp protease ClpP [Bacteroides] 
gi|494822484|ref|WP_007557892.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Bacteroides] 
gi|494822486|ref|WP_007557894.1|	phosphonate ABC transporter ATP-binding protein [Bacteroides plebeius] 
gi|494822488|ref|WP_007557896.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|494822489|ref|WP_007557897.1|	ABC transporter ATP-binding protein [Bacteroides plebeius] 
gi|494822491|ref|WP_007557899.1|	membrane protein [Bacteroides plebeius] 
gi|494822493|ref|WP_007557901.1|	carbohydrate-binding protein SusD [Bacteroides plebeius] 
gi|494822495|ref|WP_007557903.1|	membrane protein [Bacteroides plebeius] 
gi|494822496|ref|WP_007557904.1|	alpha-glucosidase [Bacteroides plebeius] 
gi|494822498|ref|WP_007557906.1|	alpha-amylase [Bacteroides plebeius] 
gi|494822500|ref|WP_007557908.1|	regulatory protein [Bacteroides plebeius] 
gi|494822502|ref|WP_007557910.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822504|ref|WP_007557912.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822505|ref|WP_007557913.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822507|ref|WP_007557915.1|	TonB-linked outer membrane protein [Bacteroides plebeius] 
gi|494822508|ref|WP_007557916.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822510|ref|WP_007557918.1|	secretion protein [Bacteroides plebeius] 
gi|494822512|ref|WP_007557920.1|	sugar hydrolase [Bacteroides plebeius] 
gi|494822514|ref|WP_007557922.1|	beta-N-acetylhexosaminidase [Bacteroides plebeius] 
gi|494822516|ref|WP_007557924.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822518|ref|WP_007557926.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822520|ref|WP_007557928.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822522|ref|WP_007557930.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822524|ref|WP_007557932.1|	peptidyl-prolyl cis-trans isomerase [Bacteroides plebeius] 
gi|494822526|ref|WP_007557934.1|	peptidase M16 [Bacteroides plebeius] 
gi|494822528|ref|WP_007557936.1|	multidrug transporter MatE [Bacteroides plebeius] 
gi|494822530|ref|WP_007557938.1|	histidine kinase [Bacteroides plebeius] 
gi|494822531|ref|WP_007557939.1|	chemotaxis protein CheY [Bacteroides plebeius] 
gi|494822532|ref|WP_007557940.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822533|ref|WP_007557941.1|	3-oxoacyl-ACP synthase [Bacteroides plebeius] 
gi|494822534|ref|WP_007557942.1|	TetR family transcriptional regulator [Bacteroides plebeius] 
gi|494822535|ref|WP_007557943.1|	cysteine synthase [Bacteroides plebeius] 
gi|494822536|ref|WP_007557944.1|	transcriptional regulator [Bacteroides plebeius] 
gi|494822537|ref|WP_007557945.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822538|ref|WP_007557946.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822539|ref|WP_007557947.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822540|ref|WP_007557948.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822541|ref|WP_007557949.1|	nucleotidyltransferase [Bacteroides plebeius] 
gi|494822542|ref|WP_007557950.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822543|ref|WP_007557951.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822544|ref|WP_007557952.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822545|ref|WP_007557953.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822547|ref|WP_007557955.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822550|ref|WP_007557958.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822552|ref|WP_007557960.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822554|ref|WP_007557962.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822556|ref|WP_007557964.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822557|ref|WP_007557965.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822559|ref|WP_007557967.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822561|ref|WP_007557969.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822563|ref|WP_007557971.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822564|ref|WP_007557972.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822566|ref|WP_007557974.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822568|ref|WP_007557976.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822570|ref|WP_007557978.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822572|ref|WP_007557980.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822574|ref|WP_007557982.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822575|ref|WP_007557983.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822577|ref|WP_007557985.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822578|ref|WP_007557986.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822580|ref|WP_007557988.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides plebeius] 
gi|494822582|ref|WP_007557990.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822585|ref|WP_007557993.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822587|ref|WP_007557995.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822590|ref|WP_007557998.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822592|ref|WP_007558000.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822594|ref|WP_007558002.1|	hypothetical protein partial [Bacteroides plebeius] 
gi|494822596|ref|WP_007558004.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|494822597|ref|WP_007558005.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822599|ref|WP_007558007.1|	alkylhydroperoxidase [Bacteroides plebeius] 
gi|494822602|ref|WP_007558010.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822603|ref|WP_007558011.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822605|ref|WP_007558013.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822606|ref|WP_007558014.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822608|ref|WP_007558016.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822611|ref|WP_007558019.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822612|ref|WP_007558020.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822614|ref|WP_007558022.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822616|ref|WP_007558024.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822617|ref|WP_007558025.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822618|ref|WP_007558026.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494822619|ref|WP_007558027.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822620|ref|WP_007558028.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822621|ref|WP_007558029.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822622|ref|WP_007558030.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822623|ref|WP_007558031.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822625|ref|WP_007558033.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822627|ref|WP_007558035.1|	phage portal protein [Bacteroides plebeius] 
gi|494822629|ref|WP_007558037.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822631|ref|WP_007558039.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822633|ref|WP_007558041.1|	MULTISPECIES: terminase [Bacteroides] 
gi|494822634|ref|WP_007558042.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822636|ref|WP_007558044.1|	MULTISPECIES: 7-carboxy-7-deazaguanine synthase [Bacteroides] 
gi|494822638|ref|WP_007558046.1|	MULTISPECIES: 6-pyruvoyl-tetrahydropterin synthase [Bacteroides] 
gi|494822639|ref|WP_007558047.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822641|ref|WP_007558049.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822643|ref|WP_007558051.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822645|ref|WP_007558053.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822647|ref|WP_007558055.1|	RNA-binding protein [Bacteroides plebeius] 
gi|494822650|ref|WP_007558058.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822653|ref|WP_007558061.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822654|ref|WP_007558062.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822655|ref|WP_007558063.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822656|ref|WP_007558064.1|	DNA polymerase III subunit beta [Bacteroides plebeius] 
gi|494822657|ref|WP_007558065.1|	transposase [Bacteroides plebeius] 
gi|494822658|ref|WP_007558066.1|	dihydropteroate synthase [Bacteroides plebeius] 
gi|494822659|ref|WP_007558067.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494822660|ref|WP_007558068.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822661|ref|WP_007558069.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822662|ref|WP_007558070.1|	membrane protein [Bacteroides plebeius] 
gi|494822664|ref|WP_007558072.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822665|ref|WP_007558073.1|	phosphotransacetylase [Bacteroides plebeius] 
gi|494822667|ref|WP_007558075.1|	acetate kinase [Bacteroides plebeius] 
gi|494822669|ref|WP_007558077.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822672|ref|WP_007558080.1|	2-dehydro-3-deoxygluconokinase [Bacteroides plebeius] 
gi|494822674|ref|WP_007558082.1|	UDP-2,3-diacylglucosamine hydrolase [Bacteroides plebeius] 
gi|494822676|ref|WP_007558084.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822678|ref|WP_007558086.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822680|ref|WP_007558088.1|	glycosyl transferase family 2 [Bacteroides plebeius] 
gi|494822682|ref|WP_007558090.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Bacteroides plebeius] 
gi|494822684|ref|WP_007558092.1|	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Bacteroides plebeius] 
gi|494822686|ref|WP_007558094.1|	REX family transcriptional regulator [Bacteroides plebeius] 
gi|494822688|ref|WP_007558096.1|	translation initiation factor SUI1 [Bacteroides plebeius] 
gi|494822690|ref|WP_007558098.1|	arylsulfatase [Bacteroides plebeius] 
gi|494822691|ref|WP_007558099.1|	chemotaxis protein CheY [Bacteroides plebeius] 
gi|494822694|ref|WP_007558102.1|	glucuronyl hydrolase [Bacteroides plebeius] 
gi|494822696|ref|WP_007558104.1|	arylsulfatase [Bacteroides plebeius] 
gi|494822698|ref|WP_007558106.1|	LytTR family transcriptional regulator [Bacteroides plebeius] 
gi|494822700|ref|WP_007558108.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822701|ref|WP_007558109.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822718|ref|WP_007558126.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822720|ref|WP_007558128.1|	hypothetical protein [Bacteroides plebeius] 
gi|494822723|ref|WP_007558131.1|	transposase [Bacteroides plebeius] 
