gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969878|ref|WP_004831678.1|	hypothetical protein [Parvimonas micra] 
gi|490969881|ref|WP_004831681.1|	hypothetical protein [Parvimonas micra] 
gi|490969882|ref|WP_004831682.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969887|ref|WP_004831687.1|	transposase IS116/IS110/IS902 family [Parvimonas micra] 
gi|490969889|ref|WP_004831689.1|	hypothetical protein [Parvimonas micra] 
gi|490969894|ref|WP_004831694.1|	hypothetical protein [Parvimonas micra] 
gi|490969895|ref|WP_004831695.1|	hypothetical protein [Parvimonas micra] 
gi|490969898|ref|WP_004831698.1|	capsid protein [Parvimonas micra] 
gi|490969900|ref|WP_004831700.1|	peptidase [Parvimonas micra] 
gi|490969910|ref|WP_004831710.1|	hypothetical protein [Parvimonas micra] 
gi|490969912|ref|WP_004831712.1|	hypothetical protein [Parvimonas micra] 
gi|490969914|ref|WP_004831714.1|	hypothetical protein [Parvimonas micra] 
gi|490969916|ref|WP_004831716.1|	hypothetical protein [Parvimonas micra] 
gi|490969923|ref|WP_004831723.1|	hypothetical protein [Parvimonas micra] 
gi|490969925|ref|WP_004831725.1|	hypothetical protein [Parvimonas micra] 
gi|490969927|ref|WP_004831727.1|	hypothetical protein [Parvimonas micra] 
gi|490969929|ref|WP_004831729.1|	hypothetical protein [Parvimonas micra] 
gi|490969931|ref|WP_004831731.1|	hypothetical protein [Parvimonas micra] 
gi|490969934|ref|WP_004831734.1|	hypothetical protein [Parvimonas micra] 
gi|490969936|ref|WP_004831736.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969947|ref|WP_004831747.1|	hypothetical protein [Parvimonas micra] 
gi|490969949|ref|WP_004831749.1|	hypothetical protein [Parvimonas micra] 
gi|490969957|ref|WP_004831757.1|	hypothetical protein [Parvimonas micra] 
gi|490969959|ref|WP_004831759.1|	ArpU family transcriptional regulator [Parvimonas micra] 
gi|490969961|ref|WP_004831761.1|	hypothetical protein [Parvimonas micra] 
gi|490969963|ref|WP_004831763.1|	hypothetical protein [Parvimonas micra] 
gi|490969965|ref|WP_004831765.1|	endonuclease [Parvimonas micra] 
gi|490969966|ref|WP_004831766.1|	hypothetical protein [Parvimonas micra] 
gi|490969967|ref|WP_004831767.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969968|ref|WP_004831768.1|	hypothetical protein partial [Parvimonas micra] 
gi|490335060|ref|WP_004224116.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490335058|ref|WP_004224114.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490969970|ref|WP_004831769.1|	hypothetical protein [Parvimonas micra] 
gi|490969971|ref|WP_004831770.1|	hypothetical protein [Parvimonas micra] 
gi|490969972|ref|WP_004831771.1|	hypothetical protein [Parvimonas micra] 
gi|490969973|ref|WP_004831772.1|	integrase [Parvimonas micra] 
gi|490969974|ref|WP_004831773.1|	hypothetical protein [Parvimonas micra] 
gi|490969975|ref|WP_004831774.1|	XRE family transcriptional regulator [Parvimonas micra] 
gi|490969976|ref|WP_004831775.1|	hypothetical protein [Parvimonas micra] 
