gi|494933506|ref|WP_007659539.1|	hypothetical protein partial [Bacteroides intestinalis] 
gi|494933507|ref|WP_007659540.1|	sensor histidine kinase [Bacteroides intestinalis] 
gi|494933508|ref|WP_007659541.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|488625678|ref|WP_002562387.1|	MULTISPECIES: 50S ribosomal protein L32 [Bacteroides] 
gi|494933509|ref|WP_007659542.1|	3-oxoacyl-ACP synthase [Bacteroides intestinalis] 
gi|494933510|ref|WP_007659543.1|	MULTISPECIES: GTPase Era [Bacteroides] 
gi|494933511|ref|WP_007659544.1|	GTP-binding protein Der [Bacteroides intestinalis] 
gi|494933512|ref|WP_007659545.1|	histidine kinase [Bacteroides intestinalis] 
gi|494933513|ref|WP_007659546.1|	chemotaxis protein CheY [Bacteroides intestinalis] 
gi|494933514|ref|WP_007659547.1|	phosphonate ABC transporter ATP-binding protein [Bacteroides intestinalis] 
gi|494933515|ref|WP_007659548.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|494933516|ref|WP_007659549.1|	ABC transporter ATP-binding protein [Bacteroides intestinalis] 
gi|494397707|ref|WP_007210212.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|494933517|ref|WP_007659550.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Bacteroides] 
gi|494933518|ref|WP_007659551.1|	MULTISPECIES: ATP-dependent Clp protease ClpP [Bacteroides] 
gi|494933519|ref|WP_007659552.1|	ATPase AAA [Bacteroides intestinalis] 
gi|494933520|ref|WP_007659553.1|	ATP-dependent DNA helicase RecQ [Bacteroides intestinalis] 
gi|494933522|ref|WP_007659555.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Bacteroides] 
gi|494933524|ref|WP_007659557.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933526|ref|WP_007659559.1|	peptidylprolyl isomerase [Bacteroides intestinalis] 
gi|494933528|ref|WP_007659561.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494933530|ref|WP_007659563.1|	peptidylprolyl isomerase [Bacteroides intestinalis] 
gi|494933531|ref|WP_007659564.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933533|ref|WP_007659566.1|	membrane protein [Bacteroides intestinalis] 
gi|494933534|ref|WP_007659567.1|	DNA mismatch repair protein MutL [Bacteroides intestinalis] 
gi|494933535|ref|WP_007659568.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494933537|ref|WP_007659570.1|	MULTISPECIES: tryptophanyl-tRNA synthase [Bacteroides] 
gi|494933538|ref|WP_007659571.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|494933544|ref|WP_007659577.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933546|ref|WP_007659579.1|	MULTISPECIES: carbamoyl phosphate synthase large subunit [Bacteroides] 
gi|494933547|ref|WP_007659580.1|	MULTISPECIES: glycoside hydrolase [Bacteroides] 
gi|494933549|ref|WP_007659582.1|	MULTISPECIES: adenylosuccinate lyase [Bacteroides] 
gi|494933551|ref|WP_007659584.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933555|ref|WP_007659588.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933556|ref|WP_007659589.1|	MULTISPECIES: asparaginyl-tRNA synthetase [Bacteroides] 
gi|494933558|ref|WP_007659591.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933560|ref|WP_007659593.1|	MULTISPECIES: 50S ribosomal protein L13 [Bacteroides] 
gi|494398117|ref|WP_007210470.1|	MULTISPECIES: 30S ribosomal protein S9 [Bacteroides] 
gi|494933563|ref|WP_007659596.1|	MULTISPECIES: 30S ribosomal protein S2 [Bacteroides] 
gi|494933565|ref|WP_007659598.1|	elongation factor Ts [Bacteroides intestinalis] 
gi|494933566|ref|WP_007659599.1|	translation initiation factor SUI1 [Bacteroides intestinalis] 
gi|494933567|ref|WP_007659600.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933568|ref|WP_007659601.1|	REX family transcriptional regulator [Bacteroides intestinalis] 
gi|494933569|ref|WP_007659602.1|	MULTISPECIES: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Bacteroides] 
gi|494933570|ref|WP_007659603.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494933571|ref|WP_007659604.1|	membrane protein [Bacteroides intestinalis] 
gi|494933572|ref|WP_007659605.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494933575|ref|WP_007659608.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933576|ref|WP_007659609.1|	RNA polymerase sigma 70 [Bacteroides intestinalis] 
gi|494933578|ref|WP_007659611.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494933580|ref|WP_007659613.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494933581|ref|WP_007659614.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933582|ref|WP_007659615.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933583|ref|WP_007659616.1|	hypothetical protein [Bacteroides intestinalis] 
gi|494933585|ref|WP_007659618.1|	TonB-linked outer membrane protein [Bacteroides intestinalis] 
gi|494933587|ref|WP_007659620.1|	membrane protein [Bacteroides intestinalis] 
gi|494933588|ref|WP_007659621.1|	histidine acid phosphatase [Bacteroides intestinalis] 
gi|494933589|ref|WP_007659622.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Bacteroides intestinalis] 
