gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494396220|ref|WP_007209404.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides cellulosilyticus] 
gi|494396223|ref|WP_007209405.1|	lipoate-protein ligase A [Bacteroides cellulosilyticus] 
gi|494396225|ref|WP_007209406.1|	diapophytoene dehydrogenase [Bacteroides cellulosilyticus] 
gi|494396228|ref|WP_007209407.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396230|ref|WP_007209408.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396232|ref|WP_007209409.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396234|ref|WP_007209410.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396239|ref|WP_007209411.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396241|ref|WP_007209412.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396243|ref|WP_007209413.1|	MULTISPECIES: cell envelope biogenesis protein TonB [Bacteroides] 
gi|494396245|ref|WP_007209414.1|	phosphate ABC transporter substrate-binding protein [Bacteroides cellulosilyticus] 
gi|494396247|ref|WP_007209415.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396249|ref|WP_007209416.1|	ABC transporter ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494396251|ref|WP_007209417.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494396254|ref|WP_007209418.1|	MULTISPECIES: GntR family transcriptional regulator [Bacteroides] 
gi|494396256|ref|WP_007209419.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396258|ref|WP_007209420.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396260|ref|WP_007209421.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396262|ref|WP_007209422.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396264|ref|WP_007209423.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396266|ref|WP_007209424.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396268|ref|WP_007209425.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396270|ref|WP_007209426.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396272|ref|WP_007209427.1|	hypothetical protein [Bacteroides cellulosilyticus] 
