gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770747|ref|WP_006719280.1|	hypothetical protein [Collinsella stercoris] 
gi|493770753|ref|WP_006719286.1|	hypothetical protein [Collinsella stercoris] 
gi|493770755|ref|WP_006719288.1|	hypothetical protein [Collinsella stercoris] 
gi|493770756|ref|WP_006719289.1|	hypothetical protein [Collinsella stercoris] 
gi|493770759|ref|WP_006719292.1|	hypothetical protein [Collinsella stercoris] 
gi|493770760|ref|WP_006719293.1|	hypothetical protein [Collinsella stercoris] 
gi|493770761|ref|WP_006719294.1|	branched-chain amino acid transporter [Collinsella stercoris] 
gi|493770762|ref|WP_006719295.1|	hypothetical protein [Collinsella stercoris] 
gi|493770764|ref|WP_006719297.1|	hypothetical protein [Collinsella stercoris] 
gi|493770766|ref|WP_006719299.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770767|ref|WP_006719300.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770770|ref|WP_006719303.1|	hypothetical protein [Collinsella stercoris] 
gi|493770772|ref|WP_006719305.1|	homoserine O-succinyltransferase [Collinsella stercoris] 
gi|493770789|ref|WP_006719321.1|	hypothetical protein [Collinsella stercoris] 
gi|493770792|ref|WP_006719324.1|	histidinol phosphate phosphatase [Collinsella stercoris] 
gi|493770794|ref|WP_006719326.1|	hypothetical protein [Collinsella stercoris] 
gi|493770796|ref|WP_006719328.1|	hypothetical protein [Collinsella stercoris] 
gi|493770799|ref|WP_006719331.1|	hypothetical protein [Collinsella stercoris] 
gi|493770801|ref|WP_006719333.1|	sodium:proton antiporter [Collinsella stercoris] 
gi|493770803|ref|WP_006719335.1|	hypothetical protein [Collinsella stercoris] 
gi|493770805|ref|WP_006719337.1|	3-demethylubiquinone-9 3-methyltransferase [Collinsella stercoris] 
gi|493770807|ref|WP_006719339.1|	hypothetical protein [Collinsella stercoris] 
gi|493770809|ref|WP_006719341.1|	hypothetical protein [Collinsella stercoris] 
gi|493770810|ref|WP_006719342.1|	hypothetical protein [Collinsella stercoris] 
gi|493770812|ref|WP_006719344.1|	multidrug ABC transporter ATP-binding protein [Collinsella stercoris] 
