gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550570|ref|WP_006504246.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550571|ref|WP_006504247.1|	multidrug ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550572|ref|WP_006504248.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550575|ref|WP_006504250.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550573|ref|WP_006504249.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550576|ref|WP_006504251.1|	phosphoglycerate mutase [Catenibacterium mitsuokai] 
gi|493550577|ref|WP_006504252.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550578|ref|WP_006504253.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550579|ref|WP_006504254.1|	MULTISPECIES: acyl carrier protein [Catenibacterium] 
gi|493550580|ref|WP_006504255.1|	acetyl-CoA carboxylase [Catenibacterium mitsuokai] 
gi|493550581|ref|WP_006504256.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Catenibacterium mitsuokai] 
gi|493550582|ref|WP_006504257.1|	acetyl-CoA carboxylase subunit beta [Catenibacterium mitsuokai] 
gi|493550583|ref|WP_006504258.1|	acetyl-CoA carboxylase [Catenibacterium mitsuokai] 
gi|493550584|ref|WP_006504259.1|	3-oxoacyl-ACP synthase [Catenibacterium mitsuokai] 
gi|493550585|ref|WP_006504260.1|	2-nitropropane dioxygenase [Catenibacterium mitsuokai] 
gi|493550586|ref|WP_006504261.1|	2-nitropropane dioxygenase [Catenibacterium mitsuokai] 
gi|493550587|ref|WP_006504262.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550588|ref|WP_006504263.1|	3-ketoacyl-ACP reductase [Catenibacterium mitsuokai] 
gi|493550589|ref|WP_006504264.1|	3-oxoacyl-ACP synthase [Catenibacterium mitsuokai] 
gi|493550590|ref|WP_006504265.1|	3-hydroxyacyl-ACP dehydratase [Catenibacterium mitsuokai] 
gi|493550591|ref|WP_006504266.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550592|ref|WP_006504267.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550593|ref|WP_006504268.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550594|ref|WP_006504269.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550595|ref|WP_006504270.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550596|ref|WP_006504271.1|	toxin HicA [Catenibacterium mitsuokai] 
gi|493550597|ref|WP_006504272.1|	antitoxin HicB [Catenibacterium mitsuokai] 
gi|493550598|ref|WP_006504273.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550600|ref|WP_006504274.1|	MarR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550601|ref|WP_006504275.1|	sodium transporter [Catenibacterium mitsuokai] 
gi|493550602|ref|WP_006504276.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550603|ref|WP_006504277.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550604|ref|WP_006504278.1|	K+-dependent Na+/Ca+ exchanger [Catenibacterium mitsuokai] 
gi|493550605|ref|WP_006504279.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550606|ref|WP_006504280.1|	XRE family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550607|ref|WP_006504281.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550608|ref|WP_006504282.1|	MULTISPECIES: elongation factor P [Catenibacterium] 
gi|493550609|ref|WP_006504283.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550610|ref|WP_006504284.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550611|ref|WP_006504285.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550612|ref|WP_006504286.1|	6-phosphogluconate dehydratase [Catenibacterium mitsuokai] 
gi|493550613|ref|WP_006504287.1|	chromate transporter [Catenibacterium mitsuokai] 
gi|493550614|ref|WP_006504288.1|	chromate transporter [Catenibacterium mitsuokai] 
gi|493550615|ref|WP_006504289.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550617|ref|WP_006504290.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550618|ref|WP_006504291.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550619|ref|WP_006504292.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550620|ref|WP_006504293.1|	antitoxin PHD [Catenibacterium mitsuokai] 
gi|493550621|ref|WP_006504294.1|	ATPase [Catenibacterium mitsuokai] 
gi|493550623|ref|WP_006504296.1|	TetR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550622|ref|WP_006504295.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550624|ref|WP_006504297.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550625|ref|WP_006504298.1|	peptide ABC transporter substrate-binding protein [Catenibacterium mitsuokai] 
gi|493550626|ref|WP_006504299.1|	peptide ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550627|ref|WP_006504300.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493550628|ref|WP_006504301.1|	peptide ABC transporter permease [Catenibacterium mitsuokai] 
gi|493550629|ref|WP_006504302.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550630|ref|WP_006504303.1|	thioredoxin [Catenibacterium mitsuokai] 
gi|493550631|ref|WP_006504304.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550632|ref|WP_006504305.1|	dihydroxyacetone kinase [Catenibacterium mitsuokai] 
gi|493550633|ref|WP_006504306.1|	beta-lactamase [Catenibacterium mitsuokai] 
