gi|490742429|ref|WP_004604737.1|	hypothetical protein partial [[Clostridium] scindens] 
gi|490742430|ref|WP_004604738.1|	adenosine deaminase [[Clostridium] scindens] 
gi|490742431|ref|WP_004604739.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742432|ref|WP_004604740.1|	membrane protein [[Clostridium] scindens] 
gi|490742433|ref|WP_004604741.1|	50S ribosomal protein L11 methyltransferase [[Clostridium] scindens] 
gi|490742434|ref|WP_004604742.1|	16S rRNA methyltransferase [[Clostridium] scindens] 
gi|490742435|ref|WP_004604743.1|	MULTISPECIES: cysteine desulfarase [Lachnospiraceae] 
gi|490742436|ref|WP_004604744.1|	thiamine biosynthesis protein ThiI [[Clostridium] scindens] 
gi|490742437|ref|WP_004604745.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742438|ref|WP_004604746.1|	MULTISPECIES: radical SAM protein [Lachnospiraceae] 
gi|490742439|ref|WP_004604747.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490742440|ref|WP_004604748.1|	Holliday junction resolvase [[Clostridium] scindens] 
gi|490742441|ref|WP_004604749.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742442|ref|WP_004604750.1|	MULTISPECIES: Fur family transcriptional regulator [Lachnospiraceae] 
gi|490742443|ref|WP_004604751.1|	MULTISPECIES: beta-lactamase [Lachnospiraceae] 
gi|490742444|ref|WP_004604752.1|	MULTISPECIES: O-methyltransferase [Lachnospiraceae] 
gi|490742445|ref|WP_004604753.1|	MULTISPECIES: peptidase U32 [Lachnospiraceae] 
gi|490742446|ref|WP_004604754.1|	transcriptional regulator [[Clostridium] scindens] 
gi|490742447|ref|WP_004604755.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742448|ref|WP_004604756.1|	chemotaxis protein CheY [[Clostridium] scindens] 
gi|490742449|ref|WP_004604757.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742450|ref|WP_004604758.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742451|ref|WP_004604759.1|	RNA polymerase sigma 70 [[Clostridium] scindens] 
gi|490742452|ref|WP_004604760.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742453|ref|WP_004604761.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742454|ref|WP_004604762.1|	magnesium chelatase subunit ChlI [[Clostridium] scindens] 
gi|490742455|ref|WP_004604763.1|	DNA processing protein DprA [[Clostridium] scindens] 
gi|490742456|ref|WP_004604764.1|	DNA topoisomerase I [[Clostridium] scindens] 
gi|490742457|ref|WP_004604765.1|	transcriptional regulator [[Clostridium] scindens] 
gi|490742458|ref|WP_004604766.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742459|ref|WP_004604767.1|	MULTISPECIES: co-chaperonin GroES [Clostridiales] 
gi|490742460|ref|WP_004604768.1|	MULTISPECIES: molecular chaperone GroEL [Lachnospiraceae] 
gi|490742461|ref|WP_004604769.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490742462|ref|WP_004604770.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Lachnospiraceae] 
gi|490742463|ref|WP_004604771.1|	aldose 1-epimerase [[Clostridium] scindens] 
gi|490742464|ref|WP_004604772.1|	N-acetylmuramoyl-L-alanine amidase [[Clostridium] scindens] 
gi|490742465|ref|WP_004604773.1|	2,4-dienoyl-CoA reductase [[Clostridium] scindens] 
gi|490742466|ref|WP_004604774.1|	MULTISPECIES: LysR family transcriptional regulator [Lachnospiraceae] 
gi|490742467|ref|WP_004604775.1|	MULTISPECIES: chorismate mutase [Lachnospiraceae] 
gi|490742468|ref|WP_004604776.1|	MULTISPECIES: HAD family hydrolase [Lachnospiraceae] 
gi|490742469|ref|WP_004604777.1|	MULTISPECIES: elongation factor P [Clostridiales] 
gi|490742470|ref|WP_004604778.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742471|ref|WP_004604779.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742472|ref|WP_004604780.1|	branched-chain amino acid ABC transporter permease [[Clostridium] scindens] 
gi|490742473|ref|WP_004604781.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742474|ref|WP_004604782.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742475|ref|WP_004604783.1|	MULTISPECIES: ABC transporter [Lachnospiraceae] 
gi|490742476|ref|WP_004604784.1|	MULTISPECIES: GntR family transcriptional regulator [Lachnospiraceae] 
gi|490742477|ref|WP_004604785.1|	MULTISPECIES: flavin reductase [Lachnospiraceae] 
gi|490742478|ref|WP_004604786.1|	MULTISPECIES: arginyl-tRNA synthetase [Lachnospiraceae] 
gi|490742479|ref|WP_004604787.1|	MULTISPECIES: alanyl-tRNA synthetase [Lachnospiraceae] 
gi|490742480|ref|WP_004604788.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742481|ref|WP_004604789.1|	MULTISPECIES: serine hydroxymethyltransferase [Lachnospiraceae] 
gi|490742482|ref|WP_004604790.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490742483|ref|WP_004604791.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742484|ref|WP_004604792.1|	recombinase [[Clostridium] scindens] 
gi|490742485|ref|WP_004604793.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742486|ref|WP_004604794.1|	transcriptional regulator [[Clostridium] scindens] 
gi|490742487|ref|WP_004604795.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742488|ref|WP_004604796.1|	ABC transporter permease [[Clostridium] scindens] 
gi|490742489|ref|WP_004604797.1|	ABC transporter permease [[Clostridium] scindens] 
gi|490742490|ref|WP_004604798.1|	ABC transporter ATP-binding protein [[Clostridium] scindens] 
gi|490742491|ref|WP_004604799.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742492|ref|WP_004604800.1|	sensor histidine kinase [[Clostridium] scindens] 
gi|490742493|ref|WP_004604801.1|	PhoB family transcriptional regulator [[Clostridium] scindens] 
gi|490742494|ref|WP_004604802.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742495|ref|WP_004604803.1|	DNA-binding protein [[Clostridium] scindens] 
gi|490742496|ref|WP_004604804.1|	mobilization protein [[Clostridium] scindens] 
gi|490742497|ref|WP_004604805.1|	relaxase [[Clostridium] scindens] 
gi|488665488|ref|WP_002594337.1|	MULTISPECIES: excisionase [Clostridiales] 
gi|490742498|ref|WP_004604806.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742499|ref|WP_004604807.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742500|ref|WP_004604808.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742501|ref|WP_004604809.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742502|ref|WP_004604810.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742503|ref|WP_004604811.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742504|ref|WP_004604812.1|	DNA topoisomerase III [[Clostridium] scindens] 
gi|490742505|ref|WP_004604813.1|	cell surface protein [[Clostridium] scindens] 
gi|490742506|ref|WP_004604814.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742507|ref|WP_004604815.1|	conjugal transfer protein [[Clostridium] scindens] 
gi|490742508|ref|WP_004604816.1|	DNA methylase N-4 [[Clostridium] scindens] 
gi|490742509|ref|WP_004604817.1|	conjugal transfer protein TraE [[Clostridium] scindens] 
gi|490742510|ref|WP_004604818.1|	hypothetical protein [[Clostridium] scindens] 
gi|490742511|ref|WP_004604819.1|	membrane protein [[Clostridium] scindens] 
gi|490742512|ref|WP_004604820.1|	hypothetical protein [[Clostridium] scindens] 
gi|488632547|ref|WP_002569232.1|	MULTISPECIES: recombinase [Firmicutes] 
