WP_000027050.1	MULTISPECIES: class A broad-spectrum beta-lactamase TEM-116 [Bacteria] 
WP_000104864.1	MULTISPECIES: repressor [Bacteria] 
WP_000241709.1	MULTISPECIES: RNA polymerase sigma factor [Terrabacteria group] 
WP_000398284.1	MULTISPECIES: replication initiation protein [Bacteria] 
WP_000420682.1	MULTISPECIES: hypothetical protein [Bacteria] 
WP_000538659.1	MULTISPECIES: hypothetical protein [Bacteria][Archaea] 
WP_000653499.1	MULTISPECIES: membrane protein [Firmicutes] 
WP_000727543.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_000788349.1	MULTISPECIES: protein rexA [Bacteria] 
WP_000791749.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_000813488.1	MULTISPECIES: cell division protein FtsK [Bacteria] 
WP_000985015.1	MULTISPECIES: hypothetical protein [Bacteria] 
WP_001129922.1	MULTISPECIES: TnpV protein [Bacteria] 
WP_001245922.1	MULTISPECIES: protein rexB [Bacteria] 
WP_001297013.1	MULTISPECIES: tetracycline efflux MFS transporter Tet(C) [Bacteria] 
WP_001564525.1	MULTISPECIES: antitermination protein [Bacteria] 
WP_002317729.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_002322212.1	MULTISPECIES: hypothetical protein [Terrabacteria group] 
WP_002322213.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_002322214.1	MULTISPECIES: transcriptional regulator [Terrabacteria group] 
WP_002323342.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_002334813.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_002341493.1	MULTISPECIES: excisionase [Firmicutes] 
WP_002347229.1	MULTISPECIES: excisionase [Terrabacteria group] 
WP_002347234.1	MULTISPECIES: transcriptional regulator [Firmicutes] 
WP_002347235.1	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Firmicutes] 
WP_002569164.1	MULTISPECIES: hypothetical protein [Terrabacteria group] 
WP_002569168.1	MULTISPECIES: conjugative transfer protein [Firmicutes] 
WP_002569171.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_002569172.1	MULTISPECIES: conjugal transfer protein TraE [Clostridiales] 
WP_002569173.1	MULTISPECIES: DNA methylase N-4 [Clostridiales] 
