gi|492370216|ref|WP_005823520.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370220|ref|WP_005823522.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370225|ref|WP_005823524.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370229|ref|WP_005823526.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492370234|ref|WP_005823528.1|	hypothetical protein partial [Bacteroides uniformis] 
gi|492370851|ref|WP_005823535.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370854|ref|WP_005823537.1|	membrane protein [Bacteroides uniformis] 
gi|492370856|ref|WP_005823538.1|	hypothetical protein partial [Bacteroides uniformis] 
gi|492370882|ref|WP_005823550.1|	hypothetical protein partial [Bacteroides uniformis] 
gi|492370909|ref|WP_005823564.1|	MULTISPECIES: 2-polyprenylphenol hydroxylase [Bacteroides] 
gi|492370912|ref|WP_005823566.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492370915|ref|WP_005823568.1|	MULTISPECIES: aspartate decarboxylase [Bacteroides] 
gi|492370919|ref|WP_005823570.1|	MULTISPECIES: pantoate--beta-alanine ligase [Bacteroides] 
gi|492370922|ref|WP_005823572.1|	MULTISPECIES: glycogen synthase [Bacteroides] 
gi|492370925|ref|WP_005823574.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492370928|ref|WP_005823576.1|	MULTISPECIES: alpha-amylase [Bacteroides] 
gi|492370931|ref|WP_005823578.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroides] 
gi|492370934|ref|WP_005823580.1|	MULTISPECIES: 4-alpha-glucanotransferase [Bacteroides] 
gi|492370939|ref|WP_005823583.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492370943|ref|WP_005823585.1|	MULTISPECIES: peptidase S54 [Bacteroides] 
gi|492370947|ref|WP_005823588.1|	MULTISPECIES: Crp/Fnr family transcriptional regulator [Bacteroides] 
gi|492370949|ref|WP_005823589.1|	MULTISPECIES: lipase [Bacteroides] 
gi|492370953|ref|WP_005823591.1|	MULTISPECIES: GMP synthase [Bacteroides] 
gi|492370956|ref|WP_005823593.1|	MULTISPECIES: GMP synthase [Bacteroides] 
gi|492370958|ref|WP_005823594.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370962|ref|WP_005823596.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370966|ref|WP_005823598.1|	large conductance mechanosensitive channel protein MscL [Bacteroides uniformis] 
gi|492370969|ref|WP_005823600.1|	glyceraldehyde-3-phosphate dehydrogenase [Bacteroides uniformis] 
gi|492370972|ref|WP_005823602.1|	peptidase M3 [Bacteroides uniformis] 
gi|492370975|ref|WP_005823604.1|	hypothetical protein [Bacteroides uniformis] 
gi|492370978|ref|WP_005823606.1|	MULTISPECIES: CMP deaminase [Bacteroides] 
gi|492370983|ref|WP_005823609.1|	peptidase S41 [Bacteroides uniformis] 
