gi|491472322|ref|WP_005330076.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472333|ref|WP_005330087.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|491472338|ref|WP_005330092.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491472341|ref|WP_005330095.1|	AraC family transcriptional regulator [Dorea formicigenerans] 
gi|491472343|ref|WP_005330097.1|	beta-galactosidase [Dorea formicigenerans] 
gi|491472345|ref|WP_005330099.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472347|ref|WP_005330101.1|	AraC family transcriptional regulator [Dorea formicigenerans] 
gi|491472348|ref|WP_005330102.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472349|ref|WP_005330103.1|	MULTISPECIES: peptidylprolyl isomerase [Dorea] 
gi|491472350|ref|WP_005330104.1|	citrate transporter [Dorea formicigenerans] 
gi|491472360|ref|WP_005330114.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472362|ref|WP_005330116.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472363|ref|WP_005330117.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472365|ref|WP_005330119.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472367|ref|WP_005330121.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472369|ref|WP_005330123.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472370|ref|WP_005330124.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472371|ref|WP_005330125.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472372|ref|WP_005330126.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472373|ref|WP_005330127.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472374|ref|WP_005330128.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472375|ref|WP_005330129.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472376|ref|WP_005330130.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472377|ref|WP_005330131.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472379|ref|WP_005330133.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472380|ref|WP_005330134.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472382|ref|WP_005330136.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472384|ref|WP_005330138.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472387|ref|WP_005330141.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472389|ref|WP_005330143.1|	hypothetical protein [Dorea formicigenerans] 
