gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494094726|ref|WP_007035550.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632087|ref|WP_002568773.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094727|ref|WP_007035551.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094728|ref|WP_007035552.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632084|ref|WP_002568770.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094729|ref|WP_007035553.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094730|ref|WP_007035554.1|	transposase [[Clostridium] bolteae] 
gi|494094731|ref|WP_007035555.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094732|ref|WP_007035556.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494094733|ref|WP_007035557.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094734|ref|WP_007035558.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494094735|ref|WP_007035559.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094736|ref|WP_007035560.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094737|ref|WP_007035561.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094738|ref|WP_007035562.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094739|ref|WP_007035563.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094740|ref|WP_007035564.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632187|ref|WP_002568873.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094741|ref|WP_007035565.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632185|ref|WP_002568871.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632184|ref|WP_002568870.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632183|ref|WP_002568869.1|	oligopeptide/dipeptide ABC transporter ATP-binding protein domain [[Clostridium] bolteae] 
gi|494094742|ref|WP_007035566.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632181|ref|WP_002568867.1|	methionine synthase [[Clostridium] bolteae] 
gi|488632180|ref|WP_002568866.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094743|ref|WP_007035567.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094744|ref|WP_007035568.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632179|ref|WP_002568865.1|	NADH dehydrogenase [[Clostridium] bolteae] 
gi|488632178|ref|WP_002568864.1|	NADH dehydrogenase [[Clostridium] bolteae] 
gi|488632177|ref|WP_002568863.1|	ferredoxin [[Clostridium] bolteae] 
gi|488632176|ref|WP_002568862.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|494094745|ref|WP_007035569.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632175|ref|WP_002568861.1|	glycine cleavage system protein T [[Clostridium] bolteae] 
gi|488632174|ref|WP_002568860.1|	glycine cleavage system protein H [[Clostridium] bolteae] 
gi|488632173|ref|WP_002568859.1|	glycine dehydrogenase [[Clostridium] bolteae] 
gi|488632172|ref|WP_002568858.1|	glycine dehydrogenase subunit 2 [[Clostridium] bolteae] 
gi|488632171|ref|WP_002568857.1|	dihydrolipoamide dehydrogenase [[Clostridium] bolteae] 
gi|488632170|ref|WP_002568856.1|	formate--tetrahydrofolate ligase [[Clostridium] bolteae] 
gi|494094746|ref|WP_007035570.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488632303|ref|WP_002568988.1|	MULTISPECIES: Fur family transcriptional regulator [Clostridiales] 
gi|488632302|ref|WP_002568987.1|	LysR family transcriptional regulator [[Clostridium] bolteae] 
gi|494094747|ref|WP_007035571.1|	hydrolase [[Clostridium] bolteae] 
