gi|493484097|ref|WP_006438921.1|	membrane protein [[Clostridium] hiranonis] 
gi|493484098|ref|WP_006438922.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484099|ref|WP_006438923.1|	phosphate butyryltransferase [[Clostridium] hiranonis] 
gi|493484101|ref|WP_006438924.1|	butyrate kinase [[Clostridium] hiranonis] 
gi|493484102|ref|WP_006438925.1|	ATP-binding protein [[Clostridium] hiranonis] 
gi|493484103|ref|WP_006438926.1|	2-oxoacid:acceptor oxidoreductase subunit delta [[Clostridium] hiranonis] 
gi|493484104|ref|WP_006438927.1|	2-ketoisovalerate ferredoxin reductase [[Clostridium] hiranonis] 
gi|493484105|ref|WP_006438928.1|	MFS transporter [[Clostridium] hiranonis] 
gi|493484106|ref|WP_006438929.1|	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [[Clostridium] hiranonis] 
gi|493484107|ref|WP_006438930.1|	phosphoglucosamine mutase [[Clostridium] hiranonis] 
gi|493484108|ref|WP_006438931.1|	glutamine amidotransferase [[Clostridium] hiranonis] 
gi|493484109|ref|WP_006438932.1|	PTS mannose transporter subunit IIAB [[Clostridium] hiranonis] 
gi|493484110|ref|WP_006438933.1|	PTS alpha-glucoside transporter subunit IIBC [[Clostridium] hiranonis] 
gi|493484111|ref|WP_006438934.1|	PTS mannose transporter subunit IID [[Clostridium] hiranonis] 
gi|493484112|ref|WP_006438935.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484113|ref|WP_006438936.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484114|ref|WP_006438937.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484115|ref|WP_006438938.1|	hypothetical protein partial [[Clostridium] hiranonis] 
gi|493484116|ref|WP_006438939.1|	rod shape-determining protein Mbl [[Clostridium] hiranonis] 
gi|493484117|ref|WP_006438940.1|	3-hydroxyacyl-ACP dehydratase [[Clostridium] hiranonis] 
gi|493484118|ref|WP_006438941.1|	S-adenosylmethionine synthetase [[Clostridium] hiranonis] 
gi|493484119|ref|WP_006438942.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484120|ref|WP_006438943.1|	ATPase AAA [[Clostridium] hiranonis] 
gi|493484121|ref|WP_006438944.1|	hypothetical protein [[Clostridium] hiranonis] 
gi|493484122|ref|WP_006438945.1|	thiosulfate sulfurtransferase YnjE [[Clostridium] hiranonis] 
gi|493484123|ref|WP_006438946.1|	hypothetical protein [[Clostridium] hiranonis] 
