gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493900437|ref|WP_006846242.1|	hypothetical protein [Prevotella copri] 
gi|493900438|ref|WP_006846243.1|	hypothetical protein [Prevotella copri] 
gi|493900439|ref|WP_006846244.1|	hypothetical protein [Prevotella copri] 
gi|493900440|ref|WP_006846245.1|	hypothetical protein [Prevotella copri] 
gi|493900441|ref|WP_006846246.1|	hypothetical protein [Prevotella copri] 
gi|493900442|ref|WP_006846247.1|	DNA-binding response regulator AraC family [Prevotella copri] 
gi|493900443|ref|WP_006846248.1|	N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493900444|ref|WP_006846249.1|	putative DNA-binding protein [Prevotella copri] 
gi|493900445|ref|WP_006846250.1|	hypothetical protein [Prevotella copri] 
gi|493900446|ref|WP_006846251.1|	hypothetical protein [Prevotella copri] 
gi|493900447|ref|WP_006846252.1|	hypothetical protein [Prevotella copri] 
gi|493900448|ref|WP_006846253.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900449|ref|WP_006846254.1|	6,7-dimethyl-8-ribityllumazine synthase [Prevotella copri] 
gi|493900450|ref|WP_006846255.1|	hypothetical protein [Prevotella copri] 
gi|493900451|ref|WP_006846256.1|	DNA repair protein RecF [Prevotella copri] 
gi|493900452|ref|WP_006846257.1|	hypothetical protein [Prevotella copri] 
gi|493900453|ref|WP_006846258.1|	hypothetical protein [Prevotella copri] 
gi|493900454|ref|WP_006846259.1|	5-formyltetrahydrofolate cyclo-ligase [Prevotella copri] 
gi|493900455|ref|WP_006846260.1|	peptidase S41 [Prevotella copri] 
gi|493900456|ref|WP_006846261.1|	MULTISPECIES: CMP deaminase [Prevotella] 
gi|493900457|ref|WP_006846262.1|	peptidase M3 [Prevotella copri] 
gi|493900458|ref|WP_006846263.1|	transcription regulator CRP family [Prevotella copri] 
gi|493900459|ref|WP_006846264.1|	thiamine biosynthesis protein ApbE [Prevotella copri] 
gi|493900460|ref|WP_006846265.1|	hypothetical protein [Prevotella copri] 
gi|493900461|ref|WP_006846266.1|	hypothetical protein [Prevotella copri] 
gi|493900462|ref|WP_006846267.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493900463|ref|WP_006846268.1|	hypothetical protein [Prevotella copri] 
gi|493900464|ref|WP_006846269.1|	methionine ABC transporter substrate-binding protein [Prevotella copri] 
gi|493900465|ref|WP_006846270.1|	thiamine phosphate pyrophosphorylase [Prevotella copri] 
gi|493900466|ref|WP_006846271.1|	phosphomethylpyrimidine kinase [Prevotella copri] 
gi|493900467|ref|WP_006846272.1|	radical SAM protein [Prevotella copri] 
gi|493900468|ref|WP_006846273.1|	hypothetical protein [Prevotella copri] 
gi|493900469|ref|WP_006846274.1|	thymidylate synthase [Prevotella copri] 
gi|493900470|ref|WP_006846275.1|	MULTISPECIES: methyltransferase [Prevotella] 
gi|493900471|ref|WP_006846276.1|	exo-poly-alpha-D-galacturonosidase [Prevotella copri] 
gi|493900472|ref|WP_006846277.1|	thiamine-monophosphate kinase [Prevotella copri] 
gi|493900473|ref|WP_006846278.1|	purine nucleoside phosphorylase [Prevotella copri] 
gi|493900474|ref|WP_006846279.1|	tetraacyldisaccharide 4'-kinase [Prevotella copri] 
gi|493900475|ref|WP_006846280.1|	signal peptidase [Prevotella copri] 
gi|493900476|ref|WP_006846281.1|	hypothetical protein [Prevotella copri] 
gi|493900477|ref|WP_006846282.1|	xylanase [Prevotella copri] 
gi|493900478|ref|WP_006846283.1|	capsular polysaccharide biosynthesis protein [Prevotella copri] 
gi|493900479|ref|WP_006846284.1|	transposase [Prevotella copri] 
gi|493900480|ref|WP_006846285.1|	hypothetical protein [Prevotella copri] 
gi|493900481|ref|WP_006846286.1|	hypothetical protein [Prevotella copri] 
gi|493900482|ref|WP_006846287.1|	mannose-1-phosphate guanylyltransferase [Prevotella copri] 
gi|493900483|ref|WP_006846288.1|	MULTISPECIES: molecular chaperone GroES [Prevotella] 
gi|493900484|ref|WP_006846289.1|	MULTISPECIES: molecular chaperone GroEL [Prevotella] 
gi|493900485|ref|WP_006846290.1|	MULTISPECIES: transporter [Prevotella] 
gi|493900486|ref|WP_006846291.1|	phosphotransferase [Prevotella copri] 
gi|493900487|ref|WP_006846292.1|	mannose-1-phosphate guanyltransferase [Prevotella copri] 
gi|493900488|ref|WP_006846293.1|	GMP synthase [Prevotella copri] 
gi|493900489|ref|WP_006846294.1|	large conductance mechanosensitive channel protein MscL [Prevotella copri] 
gi|493900490|ref|WP_006846295.1|	putative membrane protein Ycf1 [Prevotella copri] 
gi|493900491|ref|WP_006846296.1|	glyceraldehyde-3-phosphate dehydrogenase [Prevotella copri] 
gi|493900492|ref|WP_006846297.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Prevotella copri] 
gi|493900493|ref|WP_006846298.1|	putative diacylglycerol kinase catalytic domain protein [Prevotella copri] 
gi|493900494|ref|WP_006846299.1|	Crp/Fnr family transcriptional regulator [Prevotella copri] 
gi|493900495|ref|WP_006846300.1|	4-alpha-glucanotransferase [Prevotella copri] 
gi|493900496|ref|WP_006846301.1|	4-alpha-glucanotransferase [Prevotella copri] 
gi|493900497|ref|WP_006846302.1|	alpha-amylase [Prevotella copri] 
gi|493900498|ref|WP_006846303.1|	glycoside hydrolase [Prevotella copri] 
gi|493900499|ref|WP_006846304.1|	putative endo-polygalacturonase [Prevotella copri] 
gi|493900500|ref|WP_006846305.1|	glycan metabolism protein RagB [Prevotella copri] 
gi|493900501|ref|WP_006846306.1|	TonB-linked outer membrane protein [Prevotella copri] 
gi|493900502|ref|WP_006846307.1|	hypothetical protein [Prevotella copri] 
gi|493900503|ref|WP_006846308.1|	hypothetical protein [Prevotella copri] 
gi|493900504|ref|WP_006846309.1|	membrane protein [Prevotella copri] 
gi|493900505|ref|WP_006846310.1|	TonB-linked outer membrane protein [Prevotella copri] 
gi|493900506|ref|WP_006846311.1|	hypothetical protein [Prevotella copri] 
gi|493900507|ref|WP_006846312.1|	pectinesterase [Prevotella copri] 
gi|493900508|ref|WP_006846313.1|	putative alpha-L-fucosidase 2 [Prevotella copri] 
gi|493900509|ref|WP_006846314.1|	transposase [Prevotella copri] 
gi|493900510|ref|WP_006846315.1|	hypothetical protein [Prevotella copri] 
gi|493900511|ref|WP_006846316.1|	pectate lyase [Prevotella copri] 
gi|493900512|ref|WP_006846317.1|	glycoside hydrolase [Prevotella copri] 
gi|493900513|ref|WP_006846318.1|	hypothetical protein [Prevotella copri] 
gi|493900514|ref|WP_006846319.1|	RNA polymerase subunit sigma-24 [Prevotella copri] 
gi|493900515|ref|WP_006846320.1|	ribulose-phosphate 3-epimerase [Prevotella copri] 
gi|493900516|ref|WP_006846321.1|	hypothetical protein [Prevotella copri] 
gi|493900517|ref|WP_006846322.1|	UvrABC system protein [Prevotella copri] 
gi|493900518|ref|WP_006846323.1|	anthranilate phosphoribosyltransferase [Prevotella copri] 
gi|493900519|ref|WP_006846324.1|	indole-3-glycerol-phosphate synthase [Prevotella copri] 
gi|493900520|ref|WP_006846325.1|	N-(5'-phosphoribosyl)anthranilate isomerase [Prevotella copri] 
gi|493900521|ref|WP_006846326.1|	tryptophan synthase subunit alpha [Prevotella copri] 
gi|493900522|ref|WP_006846327.1|	tryptophan synthase subunit beta [Prevotella copri] 
gi|493900523|ref|WP_006846328.1|	anthranilate synthase subunit I [Prevotella copri] 
gi|493900524|ref|WP_006846329.1|	anthranilate synthase subunit II [Prevotella copri] 
gi|493900525|ref|WP_006846330.1|	glucokinase [Prevotella copri] 
gi|493900526|ref|WP_006846331.1|	putative amino acid exporter [Prevotella copri] 
gi|493900527|ref|WP_006846332.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900528|ref|WP_006846333.1|	peptide chain release factor 3 [Prevotella copri] 
gi|493900529|ref|WP_006846334.1|	chloride channel protein [Prevotella copri] 
gi|493900531|ref|WP_006846335.1|	methionyl-tRNA formyltransferase [Prevotella copri] 
gi|493900532|ref|WP_006846336.1|	translation factor Sua5 [Prevotella copri] 
gi|493900533|ref|WP_006846337.1|	MULTISPECIES: preprotein translocase subunit SecG [Prevotella] 
gi|493900534|ref|WP_006846338.1|	hypothetical protein [Prevotella copri] 
gi|493900535|ref|WP_006846339.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900536|ref|WP_006846340.1|	ATPase AAA [Prevotella copri] 
gi|493900537|ref|WP_006846341.1|	4-hydroxythreonine-4-phosphate dehydrogenase [Prevotella copri] 
gi|493900538|ref|WP_006846342.1|	putative lipoprotein [Prevotella copri] 
gi|493900539|ref|WP_006846343.1|	radical SAM enzyme Cfr family [Prevotella copri] 
gi|493900540|ref|WP_006846344.1|	glycosyl transferase [Prevotella copri] 
gi|493900541|ref|WP_006846345.1|	beta-lactamase [Prevotella copri] 
gi|493900542|ref|WP_006846346.1|	MULTISPECIES: TonB-dependent receptor [Prevotella] 
gi|493900543|ref|WP_006846347.1|	ATPase [Prevotella copri] 
gi|493900544|ref|WP_006846348.1|	hypothetical protein [Prevotella copri] 
gi|493900545|ref|WP_006846349.1|	Rhs family protein [Prevotella copri] 
gi|493900546|ref|WP_006846350.1|	hypothetical protein [Prevotella copri] 
gi|493900547|ref|WP_006846351.1|	hypothetical protein [Prevotella copri] 
gi|493900548|ref|WP_006846352.1|	hypothetical protein partial [Prevotella copri] 
gi|493900549|ref|WP_006846353.1|	NADH-quinone oxidoreductase subunit N [Prevotella copri] 
gi|493900550|ref|WP_006846354.1|	NADH dehydrogenase subunit M [Prevotella copri] 
gi|493900551|ref|WP_006846355.1|	NADH dehydrogenase subunit L [Prevotella copri] 
gi|493900552|ref|WP_006846356.1|	MULTISPECIES: NADH-quinone oxidoreductase subunit K [Prevotella] 
gi|493900553|ref|WP_006846357.1|	NADH dehydrogenase subunit J [Prevotella copri] 
gi|493900554|ref|WP_006846358.1|	NADH-ubiquinone oxidoreductase [Prevotella copri] 
gi|493900555|ref|WP_006846359.1|	MULTISPECIES: NADH:ubiquinone oxidoreductase subunit H [Prevotella] 
