gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494251|ref|WP_005351974.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494254|ref|WP_005351977.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494256|ref|WP_005351979.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494263|ref|WP_005351986.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494266|ref|WP_005351989.1|	RNA pseudouridine synthase [[Eubacterium] siraeum] 
gi|491494268|ref|WP_005351991.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494271|ref|WP_005351994.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494273|ref|WP_005351996.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494277|ref|WP_005352000.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494278|ref|WP_005352001.1|	alanine racemase [[Eubacterium] siraeum] 
gi|491494280|ref|WP_005352003.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494289|ref|WP_005352012.1|	MULTISPECIES: RNA-binding protein Hfq [Clostridiales] 
gi|491494290|ref|WP_005352013.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [[Eubacterium] siraeum] 
gi|491494291|ref|WP_005352014.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494292|ref|WP_005352015.1|	DNA mismatch repair protein MutS [[Eubacterium] siraeum] 
gi|491494293|ref|WP_005352016.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494295|ref|WP_005352018.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [[Eubacterium] siraeum] 
gi|491494297|ref|WP_005352020.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494299|ref|WP_005352022.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494302|ref|WP_005352025.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494303|ref|WP_005352026.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494305|ref|WP_005352028.1|	SAM-dependent methyltransferase [[Eubacterium] siraeum] 
gi|491494308|ref|WP_005352031.1|	aminoglycoside 6-adenylyltransferase [[Eubacterium] siraeum] 
gi|491494311|ref|WP_005352034.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494312|ref|WP_005352035.1|	alanine acetyltransferase [[Eubacterium] siraeum] 
gi|491494314|ref|WP_005352037.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494317|ref|WP_005352040.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494320|ref|WP_005352043.1|	peptidase S51 [[Eubacterium] siraeum] 
gi|491494323|ref|WP_005352046.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494326|ref|WP_005352049.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494328|ref|WP_005352051.1|	S-adenosyl-L-homocysteine hydrolase [[Eubacterium] siraeum] 
gi|491494331|ref|WP_005352054.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494334|ref|WP_005352057.1|	flavin reductase [[Eubacterium] siraeum] 
gi|491494337|ref|WP_005352060.1|	MULTISPECIES: polar amino acid ABC transporter permease [Clostridiales] 
gi|491494339|ref|WP_005352062.1|	amino acid ABC transporter permease [[Eubacterium] siraeum] 
gi|491494342|ref|WP_005352065.1|	glutamine ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494345|ref|WP_005352068.1|	amino acid ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491494349|ref|WP_005352072.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494351|ref|WP_005352074.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494354|ref|WP_005352077.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494357|ref|WP_005352080.1|	ATPase [[Eubacterium] siraeum] 
gi|491494359|ref|WP_005352082.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494362|ref|WP_005352085.1|	beta-lactamase [[Eubacterium] siraeum] 
gi|491494364|ref|WP_005352087.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494367|ref|WP_005352089.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494369|ref|WP_005352091.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494372|ref|WP_005352094.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494376|ref|WP_005352098.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494374|ref|WP_005352096.1|	REX family transcriptional regulator [[Eubacterium] siraeum] 
gi|491494379|ref|WP_005352101.1|	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
gi|491494381|ref|WP_005352103.1|	thioesterase [[Eubacterium] siraeum] 
gi|491494383|ref|WP_005352105.1|	PAS sensor protein [[Eubacterium] siraeum] 
gi|491494385|ref|WP_005352107.1|	serine/threonine phosphatase [[Eubacterium] siraeum] 
gi|491494386|ref|WP_005352108.1|	iron hydrogenase [[Eubacterium] siraeum] 
gi|491494388|ref|WP_005352110.1|	MULTISPECIES: LysR family transcriptional regulator [Clostridiales] 
gi|491494389|ref|WP_005352111.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494391|ref|WP_005352113.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494393|ref|WP_005352115.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494395|ref|WP_005352117.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494397|ref|WP_005352119.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494399|ref|WP_005352121.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494401|ref|WP_005352123.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494403|ref|WP_005352125.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494405|ref|WP_005352127.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494407|ref|WP_005352129.1|	ATP-dependent Clp protease ATP-binding protein [[Eubacterium] siraeum] 
gi|491494409|ref|WP_005352131.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494410|ref|WP_005352132.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494412|ref|WP_005352134.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494413|ref|WP_005352135.1|	MULTISPECIES: pyruvate ferredoxin oxidoreductase [Clostridiales] 
gi|491494416|ref|WP_005352138.1|	2-oxoglutarate oxidoreductase [[Eubacterium] siraeum] 
gi|491494418|ref|WP_005352140.1|	2-ketoisovalerate ferredoxin reductase [[Eubacterium] siraeum] 
gi|491494420|ref|WP_005352142.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|491494422|ref|WP_005352144.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494424|ref|WP_005352146.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494425|ref|WP_005352147.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494427|ref|WP_005352149.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494429|ref|WP_005352151.1|	glucose-1-phosphate adenylyltransferase [[Eubacterium] siraeum] 
gi|491494431|ref|WP_005352153.1|	glucose-1-phosphate adenylyltransferase [[Eubacterium] siraeum] 
gi|491494433|ref|WP_005352155.1|	glycogen branching protein [[Eubacterium] siraeum] 
gi|491494435|ref|WP_005352157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494438|ref|WP_005352160.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494441|ref|WP_005352163.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494445|ref|WP_005352167.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494448|ref|WP_005352170.1|	hypothetical protein [[Eubacterium] siraeum] 
