gi|495665869|ref|WP_008390448.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665871|ref|WP_008390450.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665872|ref|WP_008390451.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665875|ref|WP_008390454.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665876|ref|WP_008390455.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665894|ref|WP_008390473.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665895|ref|WP_008390474.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665898|ref|WP_008390477.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665904|ref|WP_008390483.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665905|ref|WP_008390484.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665906|ref|WP_008390485.1|	hypothetical protein partial [Clostridium sp. SS2/1] 
gi|495665909|ref|WP_008390488.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665910|ref|WP_008390489.1|	histidine kinase [Clostridium sp. SS2/1] 
gi|495665911|ref|WP_008390490.1|	transcriptional regulator [Clostridium sp. SS2/1] 
gi|495665912|ref|WP_008390491.1|	fibronectin [Clostridium sp. SS2/1] 
gi|495665913|ref|WP_008390492.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665914|ref|WP_008390493.1|	DeoR family transcriptional regulator [Clostridium sp. SS2/1] 
gi|495665915|ref|WP_008390494.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665916|ref|WP_008390495.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665917|ref|WP_008390496.1|	deoxyribose-phosphate aldolase [Clostridium sp. SS2/1] 
gi|495665919|ref|WP_008390498.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665921|ref|WP_008390500.1|	ATPase [Clostridium sp. SS2/1] 
gi|495665923|ref|WP_008390502.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665925|ref|WP_008390504.1|	glycosyl hydrolase family 1 [Clostridium sp. SS2/1] 
gi|495665927|ref|WP_008390506.1|	PTS fructose transporter subunit IID [Clostridium sp. SS2/1] 
gi|495665929|ref|WP_008390508.1|	PTS sorbose transporter subunit IIC [Clostridium sp. SS2/1] 
gi|495665931|ref|WP_008390510.1|	PTS fructose transporter subunit IIB [Clostridium sp. SS2/1] 
gi|495665933|ref|WP_008390512.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665934|ref|WP_008390513.1|	GntR family transcriptional regulator [Clostridium sp. SS2/1] 
gi|495665936|ref|WP_008390515.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665938|ref|WP_008390517.1|	pyruvate formate-lyase [Clostridium sp. SS2/1] 
gi|495665940|ref|WP_008390519.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665942|ref|WP_008390521.1|	glycosyl hydrolase family 32 [Clostridium sp. SS2/1] 
gi|495665947|ref|WP_008390526.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495665950|ref|WP_008390529.1|	MULTISPECIES: PTS fructose transporter subunit IID [Clostridiales] 
gi|495665952|ref|WP_008390531.1|	MULTISPECIES: PTS sorbose transporter subunit IIC [Clostridiales] 
gi|495665953|ref|WP_008390532.1|	PTS sorbose transporter subunit IIB [Clostridium sp. SS2/1] 
gi|495665955|ref|WP_008390534.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665956|ref|WP_008390535.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Clostridiales] 
gi|495665958|ref|WP_008390537.1|	sugar ABC transporter substrate-binding protein [Clostridium sp. SS2/1] 
gi|495665960|ref|WP_008390539.1|	LuxR family transcriptional regulator [Clostridium sp. SS2/1] 
gi|495665962|ref|WP_008390541.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|495665964|ref|WP_008390543.1|	ribose ABC transporter substrate-binding protein [Clostridium sp. SS2/1] 
gi|495665965|ref|WP_008390544.1|	NAD synthetase [Clostridium sp. SS2/1] 
gi|495665967|ref|WP_008390546.1|	peptide chain release factor 1 [Clostridium sp. SS2/1] 
gi|495665969|ref|WP_008390548.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665970|ref|WP_008390549.1|	hypothetical protein [Clostridium sp. SS2/1] 
gi|495665973|ref|WP_008390552.1|	MULTISPECIES: 50S ribosomal protein L31 [Clostridiales] 
gi|495665975|ref|WP_008390554.1|	hypothetical protein [Clostridium sp. SS2/1] 
