gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490373517|ref|WP_004253120.1|	hypothetical protein [Providencia rettgeri] 
gi|490373519|ref|WP_004253122.1|	membrane protein [Providencia rettgeri] 
gi|490373521|ref|WP_004253124.1|	elongation factor Ts [Providencia rettgeri] 
gi|490373522|ref|WP_004253125.1|	tryptophan permease [Providencia rettgeri] 
gi|490373524|ref|WP_004253127.1|	ADP-ribose pyrophosphatase [Providencia rettgeri] 
gi|490373532|ref|WP_004253135.1|	1-phosphofructokinase [Providencia rettgeri] 
gi|490373537|ref|WP_004253140.1|	endonuclease V [Providencia rettgeri] 
gi|490373539|ref|WP_004253142.1|	membrane protein [Providencia rettgeri] 
gi|490373542|ref|WP_004253145.1|	transcriptional regulator [Providencia rettgeri] 
gi|490373543|ref|WP_004253146.1|	lysine transporter [Providencia rettgeri] 
gi|490373545|ref|WP_004253148.1|	hypothetical protein [Providencia rettgeri] 
gi|490373546|ref|WP_004253149.1|	iron ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490373548|ref|WP_004253151.1|	iron-siderophore ABC transporter permease [Providencia rettgeri] 
gi|490373550|ref|WP_004253153.1|	iron ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490373553|ref|WP_004253156.1|	ligand-gated channel protein [Providencia rettgeri] 
gi|490373556|ref|WP_004253159.1|	hypothetical protein [Providencia rettgeri] 
gi|490373559|ref|WP_004253162.1|	hypothetical protein [Providencia rettgeri] 
gi|490373562|ref|WP_004253165.1|	putrescine/spermidine ABC transporter [Providencia rettgeri] 
gi|490373565|ref|WP_004253168.1|	D-lactate dehydrogenase [Providencia rettgeri] 
gi|490373570|ref|WP_004253173.1|	exonuclease I [Providencia rettgeri] 
gi|490373572|ref|WP_004253175.1|	galactoside permease [Providencia rettgeri] 
gi|490373576|ref|WP_004253179.1|	hypothetical protein [Providencia rettgeri] 
gi|490373578|ref|WP_004253181.1|	IclR family transcriptional regulator [Providencia rettgeri] 
gi|490373581|ref|WP_004253184.1|	DMSO reductase subunit A [Providencia rettgeri] 
gi|490373583|ref|WP_004253186.1|	4Fe-4S ferredoxin [Providencia rettgeri] 
gi|490373586|ref|WP_004253189.1|	dimethyl sulfoxide reductase [Providencia rettgeri] 
gi|490373588|ref|WP_004253191.1|	antibiotic biosynthesis monooxygenase [Providencia rettgeri] 
gi|490373593|ref|WP_004253196.1|	ribonuclease E [Providencia rettgeri] 
gi|490373596|ref|WP_004253199.1|	23S rRNA pseudouridylate synthase C [Providencia rettgeri] 
gi|490373599|ref|WP_004253202.1|	Maf [Providencia rettgeri] 
gi|490373603|ref|WP_004253206.1|	hypothetical protein [Providencia rettgeri] 
gi|490373620|ref|WP_004253223.1|	MULTISPECIES: 50S ribosomal protein L32 [Providencia] 
gi|490373623|ref|WP_004253226.1|	phosphate acyltransferase [Providencia rettgeri] 
gi|490373626|ref|WP_004253229.1|	3-oxoacyl-ACP synthase [Providencia rettgeri] 
gi|490373628|ref|WP_004253231.1|	malonyl CoA-ACP transacylase [Providencia rettgeri] 
gi|490373630|ref|WP_004253233.1|	3-ketoacyl-ACP reductase [Providencia rettgeri] 
gi|490373633|ref|WP_004253236.1|	acyl carrier protein [Providencia rettgeri] 
gi|490373637|ref|WP_004253240.1|	3-oxoacyl-ACP synthase [Providencia rettgeri] 
gi|490373640|ref|WP_004253243.1|	4-amino-4-deoxychorismate lyase [Providencia rettgeri] 
gi|490373642|ref|WP_004253245.1|	aminodeoxychorismate lyase [Providencia rettgeri] 
gi|490373645|ref|WP_004253248.1|	thymidylate kinase [Providencia rettgeri] 
gi|490373648|ref|WP_004253251.1|	DNA polymerase III subunit delta' [Providencia rettgeri] 
gi|490373666|ref|WP_004253269.1|	DNAse [Providencia rettgeri] 
gi|490373669|ref|WP_004253272.1|	purine nucleoside phosphoramidase [Providencia rettgeri] 
gi|490373672|ref|WP_004253275.1|	hypothetical protein [Providencia rettgeri] 
gi|490373675|ref|WP_004253278.1|	penicillin-binding protein activator LpoB [Providencia rettgeri] 
gi|490373679|ref|WP_004253282.1|	thiamine kinase [Providencia rettgeri] 
gi|490373682|ref|WP_004253285.1|	beta-hexosaminidase [Providencia rettgeri] 
gi|490373685|ref|WP_004253288.1|	hypothetical protein [Providencia rettgeri] 
gi|490373688|ref|WP_004253291.1|	hypothetical protein [Providencia rettgeri] 
gi|490373692|ref|WP_004253295.1|	porin [Providencia rettgeri] 
gi|490373695|ref|WP_004253298.1|	5'-nucleotidase [Providencia rettgeri] 
gi|490373697|ref|WP_004253300.1|	NADH dehydrogenase [Providencia rettgeri] 
gi|490373699|ref|WP_004253302.1|	hypothetical protein [Providencia rettgeri] 
gi|490373701|ref|WP_004253304.1|	transcription-repair coupling factor [Providencia rettgeri] 
gi|490373705|ref|WP_004253308.1|	transporter [Providencia rettgeri] 
gi|490373708|ref|WP_004253311.1|	ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490373713|ref|WP_004253316.1|	transporter [Providencia rettgeri] 
gi|490373716|ref|WP_004253319.1|	adenylate cyclase [Providencia rettgeri] 
gi|490373719|ref|WP_004253322.1|	putative membrane-associated protein partial [Providencia rettgeri] 
gi|490373723|ref|WP_004253326.1|	NAD-dependent deacetylase [Providencia rettgeri] 
gi|490373725|ref|WP_004253328.1|	short-chain dehydrogenase [Providencia rettgeri] 
gi|490373727|ref|WP_004253330.1|	peptidase T [Providencia rettgeri] 
gi|490373730|ref|WP_004253333.1|	hypothetical protein [Providencia rettgeri] 
gi|490373732|ref|WP_004253335.1|	lysine transporter LysE [Providencia rettgeri] 
