gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935457|ref|WP_004797296.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935458|ref|WP_004797297.1|	mobilization protein [[Eubacterium] dolichum] 
gi|490935459|ref|WP_004797298.1|	succinate dehydrogenase cytochrome b556 subunit [[Eubacterium] dolichum] 
gi|488639551|ref|WP_002576209.1|	MULTISPECIES: abortive phage infection protein [Firmicutes] 
gi|490935460|ref|WP_004797299.1|	abortive phage infection protein [[Eubacterium] dolichum] 
gi|490935461|ref|WP_004797300.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935462|ref|WP_004797301.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935463|ref|WP_004797302.1|	relaxase [[Eubacterium] dolichum] 
gi|490935464|ref|WP_004797303.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935465|ref|WP_004797304.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935466|ref|WP_004797305.1|	AraC family transcriptional regulator [[Eubacterium] dolichum] 
gi|490935467|ref|WP_004797306.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935468|ref|WP_004797307.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935469|ref|WP_004797308.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490935470|ref|WP_004797309.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935471|ref|WP_004797310.1|	multidrug ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935472|ref|WP_004797311.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935473|ref|WP_004797312.1|	RNA polymerase subunit sigma-71 [[Eubacterium] dolichum] 
gi|490935474|ref|WP_004797313.1|	Cro/Cl family transcriptional regulator [[Eubacterium] dolichum] 
gi|490935475|ref|WP_004797314.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488639526|ref|WP_002576184.1|	MULTISPECIES: growth inhibitor PemK [Firmicutes] 
gi|490935476|ref|WP_004797315.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935477|ref|WP_004797316.1|	serine recombinase [[Eubacterium] dolichum] 
gi|490935478|ref|WP_004797317.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935479|ref|WP_004797318.1|	MULTISPECIES: multidrug transporter MatE [Firmicutes] 
gi|490935480|ref|WP_004797319.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935482|ref|WP_004797321.1|	sodium:proton antiporter [[Eubacterium] dolichum] 
gi|490935484|ref|WP_004797323.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935486|ref|WP_004797325.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935489|ref|WP_004797328.1|	HAD family hydrolase [[Eubacterium] dolichum] 
gi|490935491|ref|WP_004797330.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935492|ref|WP_004797331.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935494|ref|WP_004797333.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935497|ref|WP_004797336.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935498|ref|WP_004797337.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935500|ref|WP_004797339.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935502|ref|WP_004797341.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935503|ref|WP_004797342.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935504|ref|WP_004797343.1|	hypothetical protein [[Eubacterium] dolichum] 
