WP_003022746.1	MULTISPECIES: 50S ribosomal protein L36 [Clostridiales] 
WP_003505342.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_003505382.1	MULTISPECIES: MerR family transcriptional regulator [Terrabacteria group] 
WP_003505395.1	MULTISPECIES: transcriptional regulator [Terrabacteria group] 
WP_003865061.1	MULTISPECIES: transcriptional regulator [Firmicutes] 
WP_004611525.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_004843519.1	MULTISPECIES: MerR family transcriptional regulator [Clostridiales] 
WP_004843520.1	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
WP_004843525.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_004843526.1	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
WP_004843527.1	MULTISPECIES: bacteriocin ABC transporter ATP-binding protein [Lachnospiraceae] 
WP_004843528.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_004844214.1	MULTISPECIES: hypothetical protein [Firmicutes] 
WP_005340540.1	MULTISPECIES: electron transporter RnfA [Lachnospiraceae] 
WP_005341624.1	MULTISPECIES: RNA polymerase subunit sigma [Lachnospiraceae] 
WP_005348545.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005360223.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005423181.1	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
WP_005602820.1	MULTISPECIES: transcriptional regulator [Lachnospiraceae] 
WP_005602855.1	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
WP_005604456.1	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
WP_005608346.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005611098.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_005921288.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_005933734.1	MULTISPECIES: recombinase [Clostridiales] 
WP_005946132.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_005946136.1	MULTISPECIES: mobilization protein [Clostridiales] 
WP_005946147.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_006426335.1	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
WP_006856185.1	MULTISPECIES: 30S ribosomal protein S21 [Roseburia] 
WP_006856526.1	MULTISPECIES: ABC transporter ATP-binding protein [Roseburia] 
WP_006856942.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006857572.1	MULTISPECIES: recombinase [Clostridiales] 
WP_006857574.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_006857575.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_006857576.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_006857577.1	MULTISPECIES: two-component sensor histidine kinase [Clostridiales] 
WP_006857581.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_006859000.1	MULTISPECIES: peptidase C14 [Lachnospiraceae] 
WP_006859032.1	MULTISPECIES: ABC transporter permease [Clostridiales] 
WP_006859033.1	MULTISPECIES: ABC transporter ATP-binding protein [Firmicutes] 
WP_006859034.1	MULTISPECIES: two-component sensor histidine kinase [Clostridiales] 
WP_006859036.1	MULTISPECIES: toxin-antitoxin system protein [Clostridiales] 
WP_006859319.1	MULTISPECIES: toxin MazF [Roseburia] 
WP_006859478.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859479.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859484.1	MULTISPECIES: chemotaxis protein [Roseburia] 
WP_006859485.1	MULTISPECIES: DNA-directed RNA polymerase omega subunit [Roseburia] 
WP_006859568.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859574.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859575.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859576.1	MULTISPECIES: hypothetical protein [Roseburia] 
WP_006859577.1	MULTISPECIES: accessory protein regulator B [Roseburia] 
