gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489924442|ref|WP_003827785.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924443|ref|WP_003827786.1|	NAD-dependent deacetylase [Bifidobacterium breve] 
gi|489924444|ref|WP_003827787.1|	threonine dehydratase [Bifidobacterium breve] 
gi|489924445|ref|WP_003827788.1|	alpha-amylase [Bifidobacterium breve] 
gi|489924446|ref|WP_003827789.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924447|ref|WP_003827790.1|	DNA-binding response regulator [Bifidobacterium breve] 
gi|489924448|ref|WP_003827791.1|	MULTISPECIES: ABC transporter permease [Bifidobacterium] 
gi|489924449|ref|WP_003827792.1|	sugar ABC transporter permease [Bifidobacterium breve] 
gi|489924450|ref|WP_003827793.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924451|ref|WP_003827794.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924452|ref|WP_003827795.1|	NagC family transcriptional regulator [Bifidobacterium breve] 
gi|489924453|ref|WP_003827796.1|	alpha-galactosidase [Bifidobacterium breve] 
gi|489924454|ref|WP_003827797.1|	CMP deaminase [Bifidobacterium breve] 
gi|489924455|ref|WP_003827798.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924456|ref|WP_003827799.1|	sodium:proton antiporter [Bifidobacterium breve] 
gi|489924457|ref|WP_003827800.1|	permease [Bifidobacterium breve] 
gi|489924458|ref|WP_003827801.1|	esterase [Bifidobacterium breve] 
gi|489924459|ref|WP_003827802.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924460|ref|WP_003827803.1|	deoxycytidine triphosphate deaminase [Bifidobacterium breve] 
gi|489924461|ref|WP_003827804.1|	amino acid ABC transporter permease [Bifidobacterium breve] 
gi|489924462|ref|WP_003827805.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924463|ref|WP_003827806.1|	haloacid dehalogenase [Bifidobacterium breve] 
gi|489924464|ref|WP_003827807.1|	MULTISPECIES: transcriptional regulator [Bifidobacterium] 
gi|489924465|ref|WP_003827808.1|	PTS N-acetylglucosamine transporter subunit IIABC [Bifidobacterium breve] 
gi|489924466|ref|WP_003827809.1|	MULTISPECIES: PTS N-acetylglucosamine transporter subunit IIABC [Bifidobacterium] 
gi|489924467|ref|WP_003827810.1|	permease [Bifidobacterium breve] 
gi|489924468|ref|WP_003827811.1|	RNA methyltransferase [Bifidobacterium breve] 
gi|489924469|ref|WP_003827812.1|	MULTISPECIES: aldose epimerase [Bifidobacterium] 
gi|489924470|ref|WP_003827813.1|	MULTISPECIES: galactose-1-phosphate uridylyltransferase [Bifidobacterium] 
gi|489924471|ref|WP_003827814.1|	lipopolysaccharide kinase [Bifidobacterium breve] 
gi|489924472|ref|WP_003827815.1|	potential surface-anchored protein [Bifidobacterium breve] 
gi|489924473|ref|WP_003827816.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924474|ref|WP_003827817.1|	hypothetical protein [Bifidobacterium breve] 
