gi|491485531|ref|WP_005343272.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485532|ref|WP_005343273.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485533|ref|WP_005343274.1|	MULTISPECIES: transaldolase [Eubacterium] 
gi|491485534|ref|WP_005343275.1|	MULTISPECIES: transketolase [Eubacterium] 
gi|491485535|ref|WP_005343276.1|	MULTISPECIES: transketolase [Eubacterium] 
gi|491485538|ref|WP_005343279.1|	delta-aminolevulinic acid dehydratase [[Eubacterium] hallii] 
gi|491485539|ref|WP_005343280.1|	MULTISPECIES: acetyltransferase [Eubacterium] 
gi|491485540|ref|WP_005343281.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485541|ref|WP_005343282.1|	MULTISPECIES: hypothetical protein [Eubacterium] 
gi|491485542|ref|WP_005343283.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485543|ref|WP_005343284.1|	MULTISPECIES: cobalamin biosynthesis protein CobD [Eubacterium] 
gi|491485544|ref|WP_005343285.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485545|ref|WP_005343286.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485546|ref|WP_005343287.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485547|ref|WP_005343288.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485549|ref|WP_005343290.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485550|ref|WP_005343291.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485551|ref|WP_005343292.1|	MULTISPECIES: precorrin-8X methylmutase [Eubacterium] 
gi|491485552|ref|WP_005343293.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [[Eubacterium] hallii] 
gi|491485553|ref|WP_005343294.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485554|ref|WP_005343295.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485555|ref|WP_005343296.1|	cobalt-precorrin-3B C(17)-methyltransferase [[Eubacterium] hallii] 
gi|491485562|ref|WP_005343303.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485565|ref|WP_005343306.1|	MULTISPECIES: cobalt-precorrin-4 C(11)-methyltransferase [Eubacterium] 
gi|491485572|ref|WP_005343313.1|	MULTISPECIES: glutamate-1-semialdehyde aminotransferase [Eubacterium] 
gi|491485574|ref|WP_005343315.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485575|ref|WP_005343316.1|	maltodextrin phosphorylase [[Eubacterium] hallii] 
gi|491485576|ref|WP_005343317.1|	AraC family transcriptional regulator [[Eubacterium] hallii] 
gi|491485577|ref|WP_005343318.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Eubacterium] 
gi|491485578|ref|WP_005343319.1|	MULTISPECIES: spore coat protein [Eubacterium] 
gi|491485579|ref|WP_005343320.1|	dTDP-4-dehydrorhamnose reductase [[Eubacterium] hallii] 
gi|491485580|ref|WP_005343321.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Eubacterium] 
gi|491485581|ref|WP_005343322.1|	XRE family transcriptional regulator [[Eubacterium] hallii] 
gi|491485586|ref|WP_005343327.1|	diguanylate cyclase [[Eubacterium] hallii] 
gi|491485587|ref|WP_005343328.1|	nicotinamide mononucleotide transporter [[Eubacterium] hallii] 
gi|491485606|ref|WP_005343347.1|	MULTISPECIES: prolyl-tRNA synthetase [Eubacterium] 
gi|491485613|ref|WP_005343354.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485615|ref|WP_005343356.1|	sodium:pantothenate symporter [[Eubacterium] hallii] 
gi|491485616|ref|WP_005343357.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485617|ref|WP_005343358.1|	galactose mutarotase [[Eubacterium] hallii] 
gi|491485618|ref|WP_005343359.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485620|ref|WP_005343361.1|	hypothetical protein partial [[Eubacterium] hallii] 
gi|491485621|ref|WP_005343362.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485622|ref|WP_005343363.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485623|ref|WP_005343364.1|	XRE family transcriptional regulator [[Eubacterium] hallii] 
gi|491485625|ref|WP_005343366.1|	acetyltransferase [[Eubacterium] hallii] 
gi|491485630|ref|WP_005343371.1|	6-phosphofructokinase [[Eubacterium] hallii] 
gi|491485632|ref|WP_005343373.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485634|ref|WP_005343375.1|	oxidoreductase [[Eubacterium] hallii] 
gi|491485636|ref|WP_005343377.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485637|ref|WP_005343378.1|	carbamoyltransferase [[Eubacterium] hallii] 
gi|491485639|ref|WP_005343380.1|	MULTISPECIES: hydrogenase assembly protein HypC [Eubacterium] 
gi|491485641|ref|WP_005343382.1|	hydrogenase formation protein HypD [[Eubacterium] hallii] 
gi|491485642|ref|WP_005343383.1|	hydrogenase [[Eubacterium] hallii] 
gi|491485644|ref|WP_005343385.1|	MULTISPECIES: iron-only hydrogenase system regulator [Eubacterium] 
gi|491485646|ref|WP_005343387.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485648|ref|WP_005343389.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485650|ref|WP_005343391.1|	oxidoreductase [[Eubacterium] hallii] 
gi|491485651|ref|WP_005343392.1|	MULTISPECIES: cytidylate kinase [Eubacterium] 
gi|491485653|ref|WP_005343394.1|	peptidase M24 [[Eubacterium] hallii] 
gi|491485655|ref|WP_005343396.1|	3-oxoacyl-ACP reductase [[Eubacterium] hallii] 
gi|491485657|ref|WP_005343398.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485659|ref|WP_005343400.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485662|ref|WP_005343403.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485663|ref|WP_005343404.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485665|ref|WP_005343406.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485673|ref|WP_005343414.1|	hypothetical protein [[Eubacterium] hallii] 
gi|491485675|ref|WP_005343416.1|	MULTISPECIES: acetyl-CoA acetyltransferase [Eubacterium] 
gi|491485676|ref|WP_005343417.1|	MULTISPECIES: enoyl-CoA hydratase [Eubacterium] 
gi|491485678|ref|WP_005343419.1|	MULTISPECIES: 3-hydroxybutyryl-CoA dehydrogenase [Eubacterium] 
gi|491485680|ref|WP_005343421.1|	acyl-CoA dehydrogenase [[Eubacterium] hallii] 
