gi|491563919|ref|WP_005421505.1|	hypothetical protein partial [[Ruminococcus] obeum] 
gi|491563920|ref|WP_005421506.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563921|ref|WP_005421507.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563922|ref|WP_005421508.1|	acyl-ACP thioesterase [[Ruminococcus] obeum] 
gi|491563923|ref|WP_005421509.1|	RNA-binding protein [[Ruminococcus] obeum] 
gi|491563925|ref|WP_005421511.1|	DNA polymerase III subunit alpha [[Ruminococcus] obeum] 
gi|491563927|ref|WP_005421513.1|	6-phosphofructokinase [[Ruminococcus] obeum] 
gi|491563934|ref|WP_005421520.1|	RNA methyltransferase [[Ruminococcus] obeum] 
gi|491563936|ref|WP_005421522.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|491563941|ref|WP_005421527.1|	MULTISPECIES: peptidase [Clostridiales] 
gi|491563943|ref|WP_005421529.1|	ornithine carbamoyltransferase [[Ruminococcus] obeum] 
gi|491563945|ref|WP_005421531.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|491563946|ref|WP_005421532.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563948|ref|WP_005421534.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563950|ref|WP_005421536.1|	MULTISPECIES: transcription elongation factor GreA [Clostridiales] 
gi|491563952|ref|WP_005421538.1|	lysyl-tRNA synthetase [[Ruminococcus] obeum] 
gi|491563953|ref|WP_005421539.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563954|ref|WP_005421540.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|488665442|ref|WP_002594292.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491563955|ref|WP_005421541.1|	chromosome partitioning protein ParA [[Ruminococcus] obeum] 
gi|491563956|ref|WP_005421542.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563957|ref|WP_005421543.1|	maturase [[Ruminococcus] obeum] 
gi|491563958|ref|WP_005421544.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563959|ref|WP_005421545.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563960|ref|WP_005421546.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563961|ref|WP_005421547.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563963|ref|WP_005421549.1|	multidrug transporter MatE [[Ruminococcus] obeum] 
gi|491563965|ref|WP_005421551.1|	transposase [[Ruminococcus] obeum] 
gi|491563967|ref|WP_005421553.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491489492|ref|WP_005347230.1|	MULTISPECIES: choloylglycine hydrolase [Clostridiales] 
gi|491563969|ref|WP_005421555.1|	GTP pyrophosphokinase [[Ruminococcus] obeum] 
gi|491563971|ref|WP_005421557.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563972|ref|WP_005421558.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563973|ref|WP_005421559.1|	phospholipase [[Ruminococcus] obeum] 
gi|491563974|ref|WP_005421560.1|	MULTISPECIES: heme response regulator HssR [Clostridiales] 
gi|491563975|ref|WP_005421561.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|491563976|ref|WP_005421562.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563977|ref|WP_005421563.1|	phosphatidylglycerophosphate synthase [[Ruminococcus] obeum] 
gi|491563978|ref|WP_005421564.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563979|ref|WP_005421565.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563980|ref|WP_005421566.1|	DNA polymerase IV [[Ruminococcus] obeum] 
gi|491563981|ref|WP_005421567.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563985|ref|WP_005421571.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563986|ref|WP_005421572.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563987|ref|WP_005421573.1|	peptidase S51 [[Ruminococcus] obeum] 
gi|491563989|ref|WP_005421575.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563990|ref|WP_005421576.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|490979416|ref|WP_004841179.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491563993|ref|WP_005421579.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563995|ref|WP_005421581.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563997|ref|WP_005421583.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491563999|ref|WP_005421585.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491564001|ref|WP_005421587.1|	conjugal transfer protein [[Ruminococcus] obeum] 
gi|490979406|ref|WP_004841169.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|488641651|ref|WP_002578307.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|490979399|ref|WP_004841162.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|491564008|ref|WP_005421594.1|	MULTISPECIES: integrase [Lachnospiraceae] 
gi|491564010|ref|WP_005421596.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491564012|ref|WP_005421598.1|	hypothetical protein [[Ruminococcus] obeum] 
gi|491564014|ref|WP_005421600.1|	rubredoxin [[Ruminococcus] obeum] 
gi|491564015|ref|WP_005421601.1|	hemerythrin [[Ruminococcus] obeum] 
