gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|488625678|ref|WP_002562387.1|	MULTISPECIES: 50S ribosomal protein L32 [Bacteroides] 
gi|492426227|ref|WP_005840232.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Bacteroides] 
gi|495106007|ref|WP_007830830.1|	GTPase Era [Bacteroides dorei] 
gi|495106009|ref|WP_007830832.1|	GTP-binding protein Der [Bacteroides dorei] 
gi|495106011|ref|WP_007830834.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|495106013|ref|WP_007830836.1|	ABC transporter permease [Bacteroides dorei] 
gi|495106015|ref|WP_007830838.1|	ABC transporter ATP-binding protein [Bacteroides dorei] 
gi|492426209|ref|WP_005840220.1|	MULTISPECIES: RNA-binding protein [Bacteroidales] 
gi|495106019|ref|WP_007830842.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Bacteroides] 
gi|495106021|ref|WP_007830844.1|	MULTISPECIES: ATP-dependent Clp protease ClpP [Bacteroides] 
gi|495106023|ref|WP_007830846.1|	ATPase AAA [Bacteroides dorei] 
gi|492426198|ref|WP_005840213.1|	MULTISPECIES: ATP-dependent DNA helicase RecQ [Bacteroides] 
gi|495106024|ref|WP_007830847.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106026|ref|WP_007830849.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Bacteroides] 
gi|495106028|ref|WP_007830851.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|495106030|ref|WP_007830853.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106032|ref|WP_007830855.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|495106033|ref|WP_007830856.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106037|ref|WP_007830860.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106038|ref|WP_007830861.1|	DNA mismatch repair protein MutL [Bacteroides dorei] 
gi|495106039|ref|WP_007830862.1|	hypothetical protein [Bacteroides dorei] 
gi|495106040|ref|WP_007830863.1|	MULTISPECIES: 3'-5'-bisphosphate nucleotidase [Bacteroides] 
gi|495106042|ref|WP_007830865.1|	sodium:solute symporter [Bacteroides dorei] 
gi|495106044|ref|WP_007830867.1|	MULTISPECIES: adenylylsulfate kinase [Bacteroides] 
gi|495106046|ref|WP_007830869.1|	MULTISPECIES: sulfate adenylyltransferase subunit 2 [Bacteroides] 
gi|495106047|ref|WP_007830870.1|	sulfate adenylyltransferase [Bacteroides dorei] 
gi|495106049|ref|WP_007830872.1|	hypothetical protein [Bacteroides dorei] 
gi|492426142|ref|WP_005840179.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106053|ref|WP_007830876.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106055|ref|WP_007830878.1|	MULTISPECIES: protein-disulfide isomerase [Bacteroides] 
gi|495106057|ref|WP_007830880.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|495106061|ref|WP_007830884.1|	carbamoyl phosphate synthase large subunit [Bacteroides dorei] 
gi|495106062|ref|WP_007830885.1|	hypothetical protein [Bacteroides dorei] 
gi|495106063|ref|WP_007830886.1|	MULTISPECIES: tryptophanyl-tRNA synthase [Bacteroides] 
gi|495106064|ref|WP_007830887.1|	transcriptional regulator [Bacteroides dorei] 
gi|495106065|ref|WP_007830888.1|	thiouridylase [Bacteroides dorei] 
gi|495106066|ref|WP_007830889.1|	cysteine synthase [Bacteroides dorei] 
gi|495106067|ref|WP_007830890.1|	hypothetical protein [Bacteroides dorei] 
gi|495106069|ref|WP_007830892.1|	hypothetical protein [Bacteroides dorei] 
gi|495106070|ref|WP_007830893.1|	DEAD/DEAH box helicase [Bacteroides dorei] 
gi|495106071|ref|WP_007830894.1|	hypothetical protein [Bacteroides dorei] 
gi|495106072|ref|WP_007830895.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106073|ref|WP_007830896.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106075|ref|WP_007830898.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106080|ref|WP_007830903.1|	hypothetical protein [Bacteroides dorei] 
gi|495106082|ref|WP_007830905.1|	MULTISPECIES: beta-galactosidase [Bacteroides] 
gi|492426018|ref|WP_005840108.1|	MULTISPECIES: TetR family transcriptional regulator [Bacteroides] 
gi|492426015|ref|WP_005840106.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Bacteroides] 
gi|495106086|ref|WP_007830909.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106087|ref|WP_007830910.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106088|ref|WP_007830911.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495106089|ref|WP_007830912.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|495106090|ref|WP_007830913.1|	multidrug transporter MatE [Bacteroides dorei] 
gi|495106092|ref|WP_007830915.1|	MULTISPECIES: peptidase M16 [Bacteroides] 
gi|495106094|ref|WP_007830917.1|	peptidyl-prolyl cis-trans isomerase [Bacteroides dorei] 
gi|495106096|ref|WP_007830919.1|	hypothetical protein [Bacteroides dorei] 
gi|495106098|ref|WP_007830921.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106100|ref|WP_007830923.1|	MULTISPECIES: ligand-gated channel [Bacteroides] 
gi|495106102|ref|WP_007830925.1|	TonB-dependent outer membrane receptor [Bacteroides dorei] 
gi|495106104|ref|WP_007830927.1|	hypothetical protein [Bacteroides dorei] 
gi|495106106|ref|WP_007830929.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106108|ref|WP_007830931.1|	hypothetical protein [Bacteroides dorei] 
gi|495106110|ref|WP_007830933.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106112|ref|WP_007830935.1|	hypothetical protein [Bacteroides dorei] 
gi|495106113|ref|WP_007830936.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106115|ref|WP_007830938.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106117|ref|WP_007830940.1|	MULTISPECIES: nucleotidyltransferase [Bacteroides] 
gi|495106118|ref|WP_007830941.1|	hypothetical protein [Bacteroides dorei] 
gi|495106121|ref|WP_007830944.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495106122|ref|WP_007830945.1|	membrane protein [Bacteroides dorei] 
gi|495106123|ref|WP_007830946.1|	glycoside hydrolase family 37 [Bacteroides dorei] 
gi|495106124|ref|WP_007830947.1|	RNA polymerase [Bacteroides dorei] 
gi|495106125|ref|WP_007830948.1|	MULTISPECIES: anti-sigma factor [Bacteroides] 
