gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491500699|ref|WP_005358391.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500701|ref|WP_005358393.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491500703|ref|WP_005358395.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500705|ref|WP_005358397.1|	hydrolase [Eubacterium ventriosum] 
gi|491500706|ref|WP_005358398.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500708|ref|WP_005358400.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491500710|ref|WP_005358402.1|	hydrolase [Eubacterium ventriosum] 
gi|491500712|ref|WP_005358404.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500713|ref|WP_005358405.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500715|ref|WP_005358407.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500717|ref|WP_005358409.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500727|ref|WP_005358419.1|	maturase [Eubacterium ventriosum] 
gi|491500730|ref|WP_005358422.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491500733|ref|WP_005358425.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491500743|ref|WP_005358435.1|	peptidoglycan-binding protein [Eubacterium ventriosum] 
gi|491500747|ref|WP_005358439.1|	transposase [Eubacterium ventriosum] 
gi|491500749|ref|WP_005358441.1|	ArsR family transcriptional regulator [Eubacterium ventriosum] 
gi|491500752|ref|WP_005358444.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500755|ref|WP_005358447.1|	cobalamin biosynthesis protein CobW [Eubacterium ventriosum] 
gi|491500757|ref|WP_005358449.1|	cyclomaltodextrinase [Eubacterium ventriosum] 
gi|491500760|ref|WP_005358452.1|	ribosome-associated protein IOJAP [Eubacterium ventriosum] 
gi|491500763|ref|WP_005358455.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500765|ref|WP_005358457.1|	RNA-binding protein [Eubacterium ventriosum] 
gi|491500768|ref|WP_005358460.1|	GTPase [Eubacterium ventriosum] 
gi|491500771|ref|WP_005358463.1|	50S ribosomal protein L27 [Eubacterium ventriosum] 
gi|491500779|ref|WP_005358471.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500782|ref|WP_005358474.1|	50S ribosomal protein L21 [Eubacterium ventriosum] 
gi|491500785|ref|WP_005358477.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500788|ref|WP_005358480.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500791|ref|WP_005358482.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500793|ref|WP_005358484.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500795|ref|WP_005358486.1|	Fe-S oxidoreductase [Eubacterium ventriosum] 
gi|491500797|ref|WP_005358488.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500798|ref|WP_005358489.1|	imidazole glycerol phosphate synthase [Eubacterium ventriosum] 
gi|491500800|ref|WP_005358491.1|	imidazoleglycerol-phosphate dehydratase [Eubacterium ventriosum] 
gi|491500802|ref|WP_005358493.1|	histidinol dehydrogenase [Eubacterium ventriosum] 
gi|491500803|ref|WP_005358494.1|	ATP phosphoribosyltransferase [Eubacterium ventriosum] 
gi|491500804|ref|WP_005358495.1|	histidyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491500805|ref|WP_005358496.1|	recombinase RecU [Eubacterium ventriosum] 
gi|491500809|ref|WP_005358500.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500810|ref|WP_005358501.1|	hypothetical protein [Eubacterium ventriosum] 
