gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489622584|ref|WP_003527024.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622586|ref|WP_003527026.1|	hypothetical protein [[Clostridium] leptum] 
gi|488477106|ref|WP_002520776.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|488503558|ref|WP_002546997.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622611|ref|WP_003527051.1|	ATPase [[Clostridium] leptum] 
gi|488477108|ref|WP_002520778.1|	MULTISPECIES: multidrug ABC transporter ATPase [Bacteria] 
gi|488503559|ref|WP_002546998.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622616|ref|WP_003527056.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622619|ref|WP_003527059.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622620|ref|WP_003527060.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622622|ref|WP_003527062.1|	alcohol dehydrogenase [[Clostridium] leptum] 
gi|489622624|ref|WP_003527064.1|	carbohydrate kinase [[Clostridium] leptum] 
gi|489622626|ref|WP_003527066.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622628|ref|WP_003527068.1|	transcriptional regulator [[Clostridium] leptum] 
gi|489622631|ref|WP_003527071.1|	fructose-bisphosphate aldolase [[Clostridium] leptum] 
gi|489622632|ref|WP_003527072.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489622643|ref|WP_003527083.1|	HMP/thiamine-binding protein ykoF [[Clostridium] leptum] 
gi|489622644|ref|WP_003527084.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622645|ref|WP_003527085.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489622646|ref|WP_003527086.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622648|ref|WP_003527088.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622650|ref|WP_003527090.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622652|ref|WP_003527092.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622654|ref|WP_003527094.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622656|ref|WP_003527096.1|	fructose transporter [[Clostridium] leptum] 
gi|489622658|ref|WP_003527098.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622660|ref|WP_003527100.1|	beta-galactosidase [[Clostridium] leptum] 
gi|489622662|ref|WP_003527102.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622663|ref|WP_003527103.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622665|ref|WP_003527105.1|	DNA-binding protein [[Clostridium] leptum] 
gi|489622666|ref|WP_003527106.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622668|ref|WP_003527108.1|	pyridine nucleotide-disulfide oxidoreductase [[Clostridium] leptum] 
gi|489622671|ref|WP_003527111.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622673|ref|WP_003527113.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622676|ref|WP_003527116.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622679|ref|WP_003527119.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622681|ref|WP_003527121.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622683|ref|WP_003527123.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622685|ref|WP_003527125.1|	GTP cyclohydrolase I [[Clostridium] leptum] 
gi|489622686|ref|WP_003527126.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622688|ref|WP_003527128.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622690|ref|WP_003527130.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622695|ref|WP_003527135.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622697|ref|WP_003527137.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622699|ref|WP_003527139.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622701|ref|WP_003527141.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622703|ref|WP_003527143.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622705|ref|WP_003527145.1|	MULTISPECIES: adenosine deaminase [Clostridiales] 
gi|489622708|ref|WP_003527148.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622707|ref|WP_003527147.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622709|ref|WP_003527149.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622711|ref|WP_003527151.1|	thiouridylase [[Clostridium] leptum] 
gi|489622713|ref|WP_003527153.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622715|ref|WP_003527155.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622717|ref|WP_003527157.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622718|ref|WP_003527158.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622719|ref|WP_003527159.1|	MULTISPECIES: ketol-acid reductoisomerase [Clostridiales] 
gi|489622720|ref|WP_003527160.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|489622722|ref|WP_003527162.1|	acetolactate synthase [[Clostridium] leptum] 
gi|489622723|ref|WP_003527163.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622724|ref|WP_003527164.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622727|ref|WP_003527167.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622729|ref|WP_003527169.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622730|ref|WP_003527170.1|	HPr kinase [[Clostridium] leptum] 
gi|489622731|ref|WP_003527171.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622732|ref|WP_003527172.1|	MULTISPECIES: UDP-N-acetylenolpyruvoylglucosamine reductase [Clostridiales] 
gi|489622735|ref|WP_003527175.1|	MULTISPECIES: glmZ(sRNA)-inactivating NTPase [Clostridiales] 
gi|489622737|ref|WP_003527177.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622739|ref|WP_003527179.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622740|ref|WP_003527180.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622741|ref|WP_003527181.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622743|ref|WP_003527183.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622754|ref|WP_003527194.1|	MULTISPECIES: ribose 5-phosphate isomerase [Clostridiales] 
gi|489622755|ref|WP_003527195.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622757|ref|WP_003527197.1|	molecular chaperone DnaJ [[Clostridium] leptum] 
gi|489622759|ref|WP_003527199.1|	MULTISPECIES: molecular chaperone DnaK [Clostridiales] 
gi|489622761|ref|WP_003527201.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622763|ref|WP_003527203.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622765|ref|WP_003527205.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622767|ref|WP_003527207.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622769|ref|WP_003527209.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622770|ref|WP_003527210.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622772|ref|WP_003527212.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622776|ref|WP_003527216.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622774|ref|WP_003527214.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622778|ref|WP_003527218.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622780|ref|WP_003527220.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622782|ref|WP_003527222.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622785|ref|WP_003527225.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622784|ref|WP_003527224.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489622787|ref|WP_003527227.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622790|ref|WP_003527230.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622792|ref|WP_003527232.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622794|ref|WP_003527234.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622796|ref|WP_003527236.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622798|ref|WP_003527238.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622800|ref|WP_003527240.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622802|ref|WP_003527242.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622804|ref|WP_003527244.1|	ABC transporter [[Clostridium] leptum] 
gi|489622806|ref|WP_003527246.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622808|ref|WP_003527248.1|	potassium transporter [[Clostridium] leptum] 
gi|489622809|ref|WP_003527249.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622811|ref|WP_003527251.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622812|ref|WP_003527252.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|489622813|ref|WP_003527253.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|489622814|ref|WP_003527254.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622815|ref|WP_003527255.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622816|ref|WP_003527256.1|	4-alpha-glucanotransferase [[Clostridium] leptum] 
gi|489622817|ref|WP_003527257.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622818|ref|WP_003527258.1|	MULTISPECIES: damage-inducible protein CinA [Clostridiales] 
gi|489622819|ref|WP_003527259.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622820|ref|WP_003527260.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489622821|ref|WP_003527261.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622822|ref|WP_003527262.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622823|ref|WP_003527263.1|	MULTISPECIES: GNAT family acetyltransferase [Clostridiales] 
gi|489622825|ref|WP_003527265.1|	glycyl-tRNA synthetase [[Clostridium] leptum] 
gi|489622824|ref|WP_003527264.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622826|ref|WP_003527266.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622834|ref|WP_003527274.1|	hypothetical protein [[Clostridium] leptum] 
gi|488489460|ref|WP_002532947.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|488485872|ref|WP_002529512.1|	MULTISPECIES: IolC protein [Bacteria] 
gi|488499995|ref|WP_002543434.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622852|ref|WP_003527292.1|	cell division protein FtsK [[Clostridium] leptum] 
gi|488476464|ref|WP_002520134.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|489622869|ref|WP_003527309.1|	hypothetical protein [[Clostridium] leptum] 
gi|488507460|ref|WP_002550899.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622871|ref|WP_003527311.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622873|ref|WP_003527313.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622875|ref|WP_003527315.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622877|ref|WP_003527317.1|	hypothetical protein [[Clostridium] leptum] 
gi|488478648|ref|WP_002522318.1|	MULTISPECIES: membrane protein [Bacteria] 
gi|489622883|ref|WP_003527323.1|	membrane protein [[Clostridium] leptum] 
gi|489622885|ref|WP_003527325.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622887|ref|WP_003527327.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622889|ref|WP_003527329.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622891|ref|WP_003527331.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622893|ref|WP_003527333.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622895|ref|WP_003527335.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622896|ref|WP_003527336.1|	cobyric acid synthase CobQ [[Clostridium] leptum] 
gi|489622899|ref|WP_003527339.1|	CopG family transcriptional regulator [[Clostridium] leptum] 
gi|488505577|ref|WP_002549016.1|	MULTISPECIES: flagellar protein FlgA [Bacteria] 
gi|489622902|ref|WP_003527342.1|	hypothetical protein [[Clostridium] leptum] 
gi|488502831|ref|WP_002546270.1|	MULTISPECIES: type II/IV secretion system protein [Bacteria] 
gi|489622909|ref|WP_003527349.1|	type II secretion protein F [[Clostridium] leptum] 
gi|489622910|ref|WP_003527350.1|	membrane protein [[Clostridium] leptum] 
