gi|491851120|ref|WP_005633094.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851139|ref|WP_005633101.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851136|ref|WP_005633099.1|	MULTISPECIES: 50S ribosomal protein L34 [Bacteroidales] 
gi|491851146|ref|WP_005633103.1|	membrane protein [Parabacteroides merdae] 
gi|491851148|ref|WP_005633104.1|	MULTISPECIES: ribosomal large subunit pseudouridine synthase D [Parabacteroides] 
gi|491851150|ref|WP_005633105.1|	D-alanine--D-alanine ligase [Parabacteroides merdae] 
gi|491851152|ref|WP_005633106.1|	MULTISPECIES: acyltransferase [Parabacteroides] 
gi|491851154|ref|WP_005633107.1|	chemotaxis protein CheY [Parabacteroides merdae] 
gi|491851161|ref|WP_005633110.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851174|ref|WP_005633115.1|	major facilitator transporter [Parabacteroides merdae] 
gi|491851175|ref|WP_005633116.1|	ornithine aminotransferase [Parabacteroides merdae] 
gi|491851176|ref|WP_005633117.1|	arginase [Parabacteroides merdae] 
gi|491851177|ref|WP_005633118.1|	membrane protein [Parabacteroides merdae] 
gi|491851178|ref|WP_005633119.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851179|ref|WP_005633120.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851181|ref|WP_005633122.1|	inositol monophosphatase [Parabacteroides merdae] 
gi|491851184|ref|WP_005633124.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851185|ref|WP_005633125.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851186|ref|WP_005633126.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851187|ref|WP_005633127.1|	MULTISPECIES: hypothetical protein [Parabacteroides] 
gi|491851189|ref|WP_005633129.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851188|ref|WP_005633128.1|	membrane protein [Parabacteroides merdae] 
gi|491851190|ref|WP_005633130.1|	TonB-denpendent receptor [Parabacteroides merdae] 
gi|491851191|ref|WP_005633131.1|	hypothetical protein [Parabacteroides merdae] 
gi|491851192|ref|WP_005633132.1|	transposase [Parabacteroides merdae] 
gi|491850965|ref|WP_005633008.1|	transposase [Parabacteroides merdae] 
gi|491850968|ref|WP_005633010.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850970|ref|WP_005633011.1|	MULTISPECIES: collagen-binding protein [Parabacteroides] 
gi|491850973|ref|WP_005633013.1|	starch-binding protein [Parabacteroides merdae] 
gi|491850976|ref|WP_005633015.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850978|ref|WP_005633017.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850981|ref|WP_005633019.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850983|ref|WP_005633020.1|	MULTISPECIES: membrane protein [Parabacteroides] 
gi|491850985|ref|WP_005633021.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850987|ref|WP_005633022.1|	biotin carboxylase [Parabacteroides merdae] 
gi|491850989|ref|WP_005633023.1|	hypothetical protein [Parabacteroides merdae] 
gi|491850991|ref|WP_005633024.1|	MULTISPECIES: methylmalonyl-CoA carboxyltransferase [Parabacteroides] 
gi|491850993|ref|WP_005633025.1|	membrane protein [Parabacteroides merdae] 
gi|491851002|ref|WP_005633029.1|	MULTISPECIES: ribonucleoside-triphosphate reductase activating protein [Parabacteroides] 
gi|491851004|ref|WP_005633030.1|	ribonucleoside triphosphate reductase [Parabacteroides merdae] 
gi|491851006|ref|WP_005633031.1|	F0F1 ATP synthase subunit gamma [Parabacteroides merdae] 
gi|491851009|ref|WP_005633033.1|	F0F1 ATP synthase subunit alpha [Parabacteroides merdae] 
