gi|489629876|ref|WP_003534316.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629887|ref|WP_003534327.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629889|ref|WP_003534329.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629891|ref|WP_003534331.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629893|ref|WP_003534333.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629898|ref|WP_003534338.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629900|ref|WP_003534340.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629902|ref|WP_003534342.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629904|ref|WP_003534344.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629905|ref|WP_003534345.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629906|ref|WP_003534346.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629930|ref|WP_003534370.1|	hypothetical protein partial [Erysipelatoclostridium ramosum] 
gi|489629932|ref|WP_003534372.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629934|ref|WP_003534374.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629943|ref|WP_003534383.1|	MULTISPECIES: D-tyrosyl-tRNA(Tyr) deacylase [Firmicutes] 
gi|489629944|ref|WP_003534384.1|	recombinase RarA [Erysipelatoclostridium ramosum] 
gi|489629945|ref|WP_003534385.1|	MULTISPECIES: phosphomethylpyrimidine synthase [Erysipelotrichaceae] 
gi|489629946|ref|WP_003534386.1|	MULTISPECIES: transcriptional regulator [Erysipelotrichaceae] 
gi|489629947|ref|WP_003534387.1|	MULTISPECIES: tRNA delta(2)-isopentenylpyrophosphate transferase [Erysipelotrichaceae] 
gi|489629948|ref|WP_003534388.1|	DNA mismatch repair protein MutL [Erysipelatoclostridium ramosum] 
gi|489629949|ref|WP_003534389.1|	DNA mismatch repair protein MutS [Erysipelatoclostridium ramosum] 
gi|489629950|ref|WP_003534390.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629951|ref|WP_003534391.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Erysipelotrichaceae] 
gi|489629952|ref|WP_003534392.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629953|ref|WP_003534393.1|	MULTISPECIES: (dimethylallyl)adenosine tRNA methylthiotransferase [Firmicutes] 
gi|489629954|ref|WP_003534394.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629955|ref|WP_003534395.1|	MULTISPECIES: stage V sporulation protein S [Firmicutes] 
gi|489629956|ref|WP_003534396.1|	MULTISPECIES: metallophosphoesterase [Firmicutes] 
gi|489629958|ref|WP_003534398.1|	MULTISPECIES: ribonuclease [Firmicutes] 
gi|489629961|ref|WP_003534401.1|	DNA topoisomerase III [Erysipelatoclostridium ramosum] 
gi|489629963|ref|WP_003534403.1|	protein RecA [Erysipelatoclostridium ramosum] 
gi|489629966|ref|WP_003534406.1|	MULTISPECIES: damage-inducible protein CinA [Firmicutes] 
gi|489629968|ref|WP_003534408.1|	MULTISPECIES: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Firmicutes] 
gi|489629970|ref|WP_003534410.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629972|ref|WP_003534412.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629974|ref|WP_003534414.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
gi|489629975|ref|WP_003534415.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629976|ref|WP_003534416.1|	hypothetical protein [Erysipelatoclostridium ramosum] 
