gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470941|ref|WP_006426012.1|	hypothetical protein [Dorea longicatena] 
gi|493470942|ref|WP_006426013.1|	hypothetical protein [Dorea longicatena] 
gi|493470943|ref|WP_006426014.1|	hypothetical protein [Dorea longicatena] 
gi|491472338|ref|WP_005330092.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491472333|ref|WP_005330087.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|493470944|ref|WP_006426015.1|	transcriptional regulator [Dorea longicatena] 
gi|490751695|ref|WP_004614003.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477952|ref|WP_005335693.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|491477949|ref|WP_005335690.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|493470945|ref|WP_006426016.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477946|ref|WP_005335687.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491477944|ref|WP_005335685.1|	MULTISPECIES: acetyltransferase [Clostridiales] 
gi|493470946|ref|WP_006426017.1|	hypothetical protein [Dorea longicatena] 
gi|493470947|ref|WP_006426018.1|	elongation factor Ts [Dorea longicatena] 
gi|493470948|ref|WP_006426019.1|	30S ribosomal protein S2 [Dorea longicatena] 
gi|493470949|ref|WP_006426020.1|	hypothetical protein [Dorea longicatena] 
gi|493470950|ref|WP_006426021.1|	glutamate synthase subunit beta [Dorea longicatena] 
gi|493470951|ref|WP_006426022.1|	glutamate synthase [Dorea longicatena] 
gi|493470952|ref|WP_006426023.1|	hypothetical protein [Dorea longicatena] 
gi|493470954|ref|WP_006426025.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470956|ref|WP_006426027.1|	hypothetical protein [Dorea longicatena] 
gi|493470958|ref|WP_006426029.1|	diguanylate cyclase [Dorea longicatena] 
gi|493470960|ref|WP_006426031.1|	hypothetical protein [Dorea longicatena] 
gi|493470963|ref|WP_006426034.1|	endonuclease IV [Dorea longicatena] 
gi|493470964|ref|WP_006426035.1|	ABC transporter [Dorea longicatena] 
gi|493470966|ref|WP_006426036.1|	molybdate ABC transporter permease [Dorea longicatena] 
gi|493470967|ref|WP_006426037.1|	molybdenum ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493470968|ref|WP_006426038.1|	molybdenum cofactor biosynthesis protein [Dorea longicatena] 
gi|493470969|ref|WP_006426039.1|	molybdenum cofactor biosynthesis protein MoeA [Dorea longicatena] 
gi|493470970|ref|WP_006426040.1|	molybdenum cofactor biosynthesis protein C [Dorea longicatena] 
gi|493470971|ref|WP_006426041.1|	hypothetical protein [Dorea longicatena] 
gi|493470972|ref|WP_006426042.1|	molybdopterin-binding protein [Dorea longicatena] 
gi|493470973|ref|WP_006426043.1|	hypothetical protein [Dorea longicatena] 
gi|493470974|ref|WP_006426044.1|	acyltransferase [Dorea longicatena] 
gi|493470975|ref|WP_006426045.1|	MULTISPECIES: AMP-dependent synthetase [Dorea] 
gi|493470976|ref|WP_006426046.1|	hypothetical protein [Dorea longicatena] 
gi|493470977|ref|WP_006426047.1|	NADH-dependent butanol dehydrogenase [Dorea longicatena] 
gi|493470978|ref|WP_006426048.1|	ABC transporter [Dorea longicatena] 
gi|493470979|ref|WP_006426049.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470980|ref|WP_006426050.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470981|ref|WP_006426051.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470982|ref|WP_006426052.1|	hypothetical protein [Dorea longicatena] 
gi|493470983|ref|WP_006426053.1|	hypothetical protein [Dorea longicatena] 
