gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490978217|ref|WP_004839981.1|	thymidine kinase [[Ruminococcus] gnavus] 
gi|490978218|ref|WP_004839982.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978220|ref|WP_004839984.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978221|ref|WP_004839985.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978222|ref|WP_004839986.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978224|ref|WP_004839988.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978225|ref|WP_004839989.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978226|ref|WP_004839990.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978228|ref|WP_004839992.1|	radical SAM protein [[Ruminococcus] gnavus] 
gi|490978229|ref|WP_004839993.1|	ribonucleoside-triphosphate reductase [[Ruminococcus] gnavus] 
gi|490978230|ref|WP_004839994.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978232|ref|WP_004839996.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978233|ref|WP_004839997.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978235|ref|WP_004839999.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978237|ref|WP_004840001.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978239|ref|WP_004840003.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978240|ref|WP_004840004.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978241|ref|WP_004840005.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978243|ref|WP_004840007.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978244|ref|WP_004840008.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978245|ref|WP_004840009.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978247|ref|WP_004840011.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978246|ref|WP_004840010.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978248|ref|WP_004840012.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|490978249|ref|WP_004840013.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978250|ref|WP_004840014.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978251|ref|WP_004840015.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978252|ref|WP_004840016.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978253|ref|WP_004840017.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Lachnospiraceae] 
gi|490978254|ref|WP_004840018.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978255|ref|WP_004840019.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978256|ref|WP_004840020.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978258|ref|WP_004840021.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978259|ref|WP_004840022.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978260|ref|WP_004840023.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978261|ref|WP_004840024.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978262|ref|WP_004840025.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978263|ref|WP_004840026.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978264|ref|WP_004840027.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978265|ref|WP_004840028.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978266|ref|WP_004840029.1|	transposase [[Ruminococcus] gnavus] 
gi|490978267|ref|WP_004840030.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978268|ref|WP_004840031.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978269|ref|WP_004840032.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978270|ref|WP_004840033.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978271|ref|WP_004840034.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978272|ref|WP_004840035.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978273|ref|WP_004840036.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978274|ref|WP_004840037.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978275|ref|WP_004840038.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978276|ref|WP_004840039.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978277|ref|WP_004840040.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978278|ref|WP_004840041.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978279|ref|WP_004840042.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978280|ref|WP_004840043.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978281|ref|WP_004840044.1|	peptidylprolyl isomerase [[Ruminococcus] gnavus] 
gi|490978282|ref|WP_004840045.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978283|ref|WP_004840046.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978284|ref|WP_004840047.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978285|ref|WP_004840048.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978286|ref|WP_004840049.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978287|ref|WP_004840050.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978288|ref|WP_004840051.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978289|ref|WP_004840052.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978290|ref|WP_004840053.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978291|ref|WP_004840054.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978292|ref|WP_004840055.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978293|ref|WP_004840056.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978294|ref|WP_004840057.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978295|ref|WP_004840058.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978296|ref|WP_004840059.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978297|ref|WP_004840060.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978298|ref|WP_004840061.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978299|ref|WP_004840062.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Lachnospiraceae] 
gi|490978300|ref|WP_004840063.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978301|ref|WP_004840064.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978302|ref|WP_004840065.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978303|ref|WP_004840066.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978304|ref|WP_004840067.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978305|ref|WP_004840068.1|	DNA methylase [[Ruminococcus] gnavus] 
gi|490978306|ref|WP_004840069.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978307|ref|WP_004840070.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978308|ref|WP_004840071.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978309|ref|WP_004840072.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978310|ref|WP_004840073.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978311|ref|WP_004840074.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978312|ref|WP_004840075.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978313|ref|WP_004840076.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978314|ref|WP_004840077.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978315|ref|WP_004840078.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978316|ref|WP_004840079.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978317|ref|WP_004840080.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978318|ref|WP_004840081.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978319|ref|WP_004840082.1|	MULTISPECIES: DNA-binding protein [Lachnospiraceae] 
gi|490978320|ref|WP_004840083.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978321|ref|WP_004840084.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978322|ref|WP_004840085.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978323|ref|WP_004840086.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978324|ref|WP_004840087.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978325|ref|WP_004840088.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978326|ref|WP_004840089.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978327|ref|WP_004840090.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978328|ref|WP_004840091.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978329|ref|WP_004840092.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978330|ref|WP_004840093.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978331|ref|WP_004840094.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978332|ref|WP_004840095.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978333|ref|WP_004840096.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978334|ref|WP_004840097.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978335|ref|WP_004840098.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978336|ref|WP_004840099.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978337|ref|WP_004840100.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978338|ref|WP_004840101.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978339|ref|WP_004840102.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978340|ref|WP_004840103.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978341|ref|WP_004840104.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978342|ref|WP_004840105.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978343|ref|WP_004840106.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978344|ref|WP_004840107.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978345|ref|WP_004840108.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978346|ref|WP_004840109.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978347|ref|WP_004840110.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978348|ref|WP_004840111.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978349|ref|WP_004840112.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978350|ref|WP_004840113.1|	LysR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978351|ref|WP_004840114.1|	2,5-diketo-D-gluconic acid reductase [[Ruminococcus] gnavus] 
gi|490978352|ref|WP_004840115.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978353|ref|WP_004840116.1|	MULTISPECIES: 4Fe-4S ferredoxin [Clostridiales] 
gi|490978354|ref|WP_004840117.1|	MULTISPECIES: membrane protein [Lachnospiraceae] 
gi|490978355|ref|WP_004840118.1|	hypothetical protein [[Ruminococcus] gnavus] 
