gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493613086|ref|WP_006565389.1|	DNA polymerase III subunit beta [Anaerostipes caccae] 
gi|493613087|ref|WP_006565390.1|	MULTISPECIES: RNA-binding protein [Anaerostipes] 
gi|493613088|ref|WP_006565391.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613089|ref|WP_006565392.1|	MULTISPECIES: DNA gyrase subunit B [Anaerostipes] 
gi|493613090|ref|WP_006565393.1|	MULTISPECIES: DNA gyrase subunit A [Anaerostipes] 
gi|493613091|ref|WP_006565394.1|	MULTISPECIES: fumarate hydratase [Anaerostipes] 
gi|493613092|ref|WP_006565395.1|	fumarate hydratase [Anaerostipes caccae] 
gi|493613093|ref|WP_006565396.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613094|ref|WP_006565397.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613095|ref|WP_006565398.1|	fucose isomerase [Anaerostipes caccae] 
gi|493613096|ref|WP_006565399.1|	xylulokinase [Anaerostipes caccae] 
gi|493613097|ref|WP_006565400.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613098|ref|WP_006565401.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613099|ref|WP_006565402.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613100|ref|WP_006565403.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613101|ref|WP_006565404.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613102|ref|WP_006565405.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613103|ref|WP_006565406.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613104|ref|WP_006565407.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613105|ref|WP_006565408.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Anaerostipes] 
gi|493613106|ref|WP_006565409.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Anaerostipes caccae] 
gi|493613107|ref|WP_006565410.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613113|ref|WP_006565415.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613114|ref|WP_006565416.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613115|ref|WP_006565417.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613116|ref|WP_006565418.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613117|ref|WP_006565419.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613118|ref|WP_006565420.1|	MULTISPECIES: single-stranded DNA-binding protein [Anaerostipes] 
gi|493613119|ref|WP_006565421.1|	ribonuclease R [Anaerostipes caccae] 
gi|493613120|ref|WP_006565422.1|	MULTISPECIES: preprotein translocase subunit SecG [Anaerostipes] 
gi|493613121|ref|WP_006565423.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613122|ref|WP_006565424.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613123|ref|WP_006565425.1|	enolase [Anaerostipes caccae] 
gi|493613124|ref|WP_006565426.1|	phosphoglyceromutase [Anaerostipes caccae] 
gi|493613125|ref|WP_006565427.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613126|ref|WP_006565428.1|	MULTISPECIES: triosephosphate isomerase [Anaerostipes] 
gi|493613127|ref|WP_006565429.1|	MULTISPECIES: phosphoglycerate kinase [Anaerostipes] 
gi|493613128|ref|WP_006565430.1|	glyceraldehyde-3-phosphate dehydrogenase [Anaerostipes caccae] 
gi|493613129|ref|WP_006565431.1|	Na/Pi cotransporter [Anaerostipes caccae] 
gi|493613130|ref|WP_006565432.1|	histidinol phosphate phosphatase [Anaerostipes caccae] 
gi|493613131|ref|WP_006565433.1|	methyltransferase [Anaerostipes caccae] 
gi|493613132|ref|WP_006565434.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613133|ref|WP_006565435.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613134|ref|WP_006565436.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613135|ref|WP_006565437.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613136|ref|WP_006565438.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613137|ref|WP_006565439.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613138|ref|WP_006565440.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613139|ref|WP_006565441.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613140|ref|WP_006565442.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613141|ref|WP_006565443.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613142|ref|WP_006565444.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613143|ref|WP_006565445.1|	N-acetylglucosamine-6-phosphate deacetylase [Anaerostipes caccae] 
gi|493613144|ref|WP_006565446.1|	glucosamine-6-phosphate deaminase [Anaerostipes caccae] 
gi|493613145|ref|WP_006565447.1|	PTS glucose transporter subunit IIBC [Anaerostipes caccae] 
gi|493613146|ref|WP_006565448.1|	MULTISPECIES: PTS glucose transporter subunit IIA [Anaerostipes] 
gi|493613147|ref|WP_006565449.1|	transcription antiterminator BglG [Anaerostipes caccae] 
gi|493613149|ref|WP_006565450.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613150|ref|WP_006565451.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613151|ref|WP_006565452.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613152|ref|WP_006565453.1|	PTS N-acetylglucosamine transporter subunit IIABC [Anaerostipes caccae] 
gi|493613153|ref|WP_006565454.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613154|ref|WP_006565455.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613155|ref|WP_006565456.1|	MULTISPECIES: PTS mannose transporter subunit IID [Anaerostipes] 
gi|493613156|ref|WP_006565457.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613157|ref|WP_006565458.1|	MULTISPECIES: ketose-bisphosphate aldolase [Anaerostipes] 
gi|493613158|ref|WP_006565459.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613159|ref|WP_006565460.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Anaerostipes] 
gi|493613160|ref|WP_006565461.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613161|ref|WP_006565462.1|	MULTISPECIES: molecular chaperone GroEL [Clostridiales] 
gi|493613162|ref|WP_006565463.1|	MULTISPECIES: MFS transporter [Anaerostipes] 
gi|493613163|ref|WP_006565464.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613109|ref|WP_006565411.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613111|ref|WP_006565413.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613110|ref|WP_006565412.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613112|ref|WP_006565414.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613164|ref|WP_006565465.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613165|ref|WP_006565466.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613166|ref|WP_006565467.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613167|ref|WP_006565468.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613168|ref|WP_006565469.1|	multidrug transporter MatE [Anaerostipes caccae] 
gi|493613169|ref|WP_006565470.1|	cytochrome C2 [Anaerostipes caccae] 
gi|493613170|ref|WP_006565471.1|	transaldolase [Anaerostipes caccae] 
gi|493613171|ref|WP_006565472.1|	MULTISPECIES: PTS mannitol transporter subunit IIA [Anaerostipes] 
gi|493613172|ref|WP_006565473.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493613173|ref|WP_006565474.1|	mannitol dehydrogenase [Anaerostipes caccae] 
gi|493613174|ref|WP_006565475.1|	PTS mannitol transporter subunit IIB [Anaerostipes caccae] 
gi|493613175|ref|WP_006565476.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493613176|ref|WP_006565477.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613177|ref|WP_006565478.1|	LacI family transcriptional regulator [Anaerostipes caccae] 
gi|493613178|ref|WP_006565479.1|	MULTISPECIES: (2Fe-2S)-binding protein [Anaerostipes] 
