gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493773705|ref|WP_006722205.1|	magnesium-transporting ATPase [Collinsella intestinalis] 
gi|493773706|ref|WP_006722206.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773707|ref|WP_006722207.1|	membrane protein [Collinsella intestinalis] 
gi|493773708|ref|WP_006722208.1|	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase [Collinsella intestinalis] 
gi|493773709|ref|WP_006722209.1|	cysteine synthase [Collinsella intestinalis] 
gi|493773710|ref|WP_006722210.1|	Rrf2 family transcriptional regulator [Collinsella intestinalis] 
gi|493773711|ref|WP_006722211.1|	membrane protein [Collinsella intestinalis] 
gi|493773712|ref|WP_006722212.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773713|ref|WP_006722213.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773714|ref|WP_006722214.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773715|ref|WP_006722215.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773716|ref|WP_006722216.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773717|ref|WP_006722217.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773718|ref|WP_006722218.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773719|ref|WP_006722219.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773720|ref|WP_006722220.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773721|ref|WP_006722221.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773722|ref|WP_006722222.1|	DNA polymerase III subunit alpha [Collinsella intestinalis] 
gi|493773723|ref|WP_006722223.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773724|ref|WP_006722224.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773725|ref|WP_006722225.1|	crossover junction endodeoxyribonuclease RuvC [Collinsella intestinalis] 
gi|493773726|ref|WP_006722226.1|	Holliday junction DNA helicase RuvA [Collinsella intestinalis] 
gi|493773727|ref|WP_006722227.1|	Holliday junction DNA helicase RuvB [Collinsella intestinalis] 
gi|493773728|ref|WP_006722228.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773729|ref|WP_006722229.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773730|ref|WP_006722230.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773731|ref|WP_006722231.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773732|ref|WP_006722232.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773733|ref|WP_006722233.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773734|ref|WP_006722234.1|	hypothetical protein [Collinsella intestinalis] 
