gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489886411|ref|WP_003789861.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886412|ref|WP_003789862.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886414|ref|WP_003789864.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886435|ref|WP_003789885.1|	malate dehydrogenase [Actinomyces odontolyticus] 
gi|489886445|ref|WP_003789895.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Actinomyces odontolyticus] 
gi|489886447|ref|WP_003789897.1|	glutamyl-tRNA amidotransferase subunit A [Actinomyces odontolyticus] 
gi|489886452|ref|WP_003789902.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit C [Actinomyces] 
gi|489886454|ref|WP_003789904.1|	phospholipase [Actinomyces odontolyticus] 
gi|489886456|ref|WP_003789906.1|	DNA ligase [Actinomyces odontolyticus] 
gi|489886458|ref|WP_003789908.1|	cell division protein FtsK [Actinomyces odontolyticus] 
gi|489886459|ref|WP_003789909.1|	WhiB family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886462|ref|WP_003789912.1|	ATPase [Actinomyces odontolyticus] 
gi|489886464|ref|WP_003789914.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886466|ref|WP_003789916.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886468|ref|WP_003789918.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489886470|ref|WP_003789920.1|	thymidylate synthase [Actinomyces odontolyticus] 
gi|489886471|ref|WP_003789921.1|	dihydrofolate reductase [Actinomyces odontolyticus] 
gi|489886474|ref|WP_003789924.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489886476|ref|WP_003789926.1|	aspartate ammonia-lyase [Actinomyces odontolyticus] 
gi|489886477|ref|WP_003789927.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886479|ref|WP_003789929.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886481|ref|WP_003789931.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886483|ref|WP_003789933.1|	permease [Actinomyces odontolyticus] 
gi|489886485|ref|WP_003789935.1|	NAD(P)H dehydrogenase [Actinomyces odontolyticus] 
gi|489886487|ref|WP_003789937.1|	protein CrcB-like protein [Actinomyces odontolyticus] 
gi|489886490|ref|WP_003789940.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489886492|ref|WP_003789942.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886494|ref|WP_003789944.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886496|ref|WP_003789946.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489886499|ref|WP_003789949.1|	DEAD/DEAH box helicase [Actinomyces odontolyticus] 
gi|489886501|ref|WP_003789951.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886503|ref|WP_003789953.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886506|ref|WP_003789956.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886508|ref|WP_003789958.1|	hypothetical protein partial [Actinomyces odontolyticus] 
gi|489886509|ref|WP_003789959.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886511|ref|WP_003789961.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886513|ref|WP_003789963.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886514|ref|WP_003789964.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886516|ref|WP_003789966.1|	transposase [Actinomyces odontolyticus] 
gi|489886517|ref|WP_003789967.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886518|ref|WP_003789968.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886521|ref|WP_003789971.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886522|ref|WP_003789972.1|	type I restriction endonuclease subunit S [Actinomyces odontolyticus] 
gi|489886525|ref|WP_003789975.1|	type I restriction endonuclease [Actinomyces odontolyticus] 
gi|489886526|ref|WP_003789976.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886528|ref|WP_003789978.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886530|ref|WP_003789980.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886532|ref|WP_003789982.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886534|ref|WP_003789984.1|	gamma-aminobutyrate permease [Actinomyces odontolyticus] 
gi|489886537|ref|WP_003789987.1|	methyltransferase [Actinomyces odontolyticus] 
gi|489886539|ref|WP_003789989.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886541|ref|WP_003789991.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886542|ref|WP_003789992.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886544|ref|WP_003789994.1|	membrane protein [Actinomyces odontolyticus] 
gi|489886546|ref|WP_003789996.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886548|ref|WP_003789998.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886550|ref|WP_003790000.1|	hydrolase [Actinomyces odontolyticus] 
gi|489886551|ref|WP_003790001.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886553|ref|WP_003790003.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886555|ref|WP_003790005.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886556|ref|WP_003790006.1|	ribonuclease PH [Actinomyces odontolyticus] 
gi|489886558|ref|WP_003790008.1|	nucleoside-triphosphate diphosphatase [Actinomyces odontolyticus] 
gi|489886560|ref|WP_003790010.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886563|ref|WP_003790013.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886566|ref|WP_003790016.1|	LysR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886568|ref|WP_003790018.1|	beta-lactamase [Actinomyces odontolyticus] 
gi|489886569|ref|WP_003790019.1|	glutamate racemase [Actinomyces odontolyticus] 
gi|489886571|ref|WP_003790021.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886573|ref|WP_003790023.1|	ATP-dependent Clp protease ClpS [Actinomyces odontolyticus] 
gi|489886574|ref|WP_003790024.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886576|ref|WP_003790026.1|	nicotinate phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489886578|ref|WP_003790028.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886580|ref|WP_003790030.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886583|ref|WP_003790033.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886584|ref|WP_003790034.1|	glucosamine-6-phosphate deaminase [Actinomyces odontolyticus] 
gi|489886586|ref|WP_003790036.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886588|ref|WP_003790038.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886589|ref|WP_003790039.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886591|ref|WP_003790041.1|	ROK family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886593|ref|WP_003790043.1|	peptide ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489886595|ref|WP_003790045.1|	diguanylate cyclase [Actinomyces odontolyticus] 
gi|489886597|ref|WP_003790047.1|	peptide ABC transporter permease [Actinomyces odontolyticus] 
gi|489886599|ref|WP_003790049.1|	peptide ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489886608|ref|WP_003790058.1|	MULTISPECIES: integration host factor [Actinobacteria] 
gi|489886610|ref|WP_003790060.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886613|ref|WP_003790063.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886616|ref|WP_003790066.1|	uracil-xanthine permease [Actinomyces odontolyticus] 
gi|489886618|ref|WP_003790068.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489886621|ref|WP_003790071.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886623|ref|WP_003790073.1|	cell wall-binding protein [Actinomyces odontolyticus] 
gi|489886625|ref|WP_003790075.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886627|ref|WP_003790077.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886629|ref|WP_003790079.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886631|ref|WP_003790081.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489886633|ref|WP_003790083.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489886635|ref|WP_003790085.1|	iron ABC transporter [Actinomyces odontolyticus] 
gi|489886637|ref|WP_003790087.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886639|ref|WP_003790089.1|	pyridine nucleotide-disulfide oxidoreductase [Actinomyces odontolyticus] 
gi|489886641|ref|WP_003790091.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886643|ref|WP_003790093.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886645|ref|WP_003790095.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886648|ref|WP_003790098.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489886649|ref|WP_003790099.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489886655|ref|WP_003790105.1|	MULTISPECIES: single-stranded DNA-binding protein [Actinomyces] 
gi|489886657|ref|WP_003790107.1|	peptidase M23 [Actinomyces odontolyticus] 
gi|489886660|ref|WP_003790110.1|	cell division protein FtsX [Actinomyces odontolyticus] 
gi|489886663|ref|WP_003790113.1|	cell division protein FtsE [Actinomyces odontolyticus] 
gi|489886665|ref|WP_003790115.1|	peptide chain release factor 2 [Actinomyces odontolyticus] 
gi|489886667|ref|WP_003790117.1|	glutamate dehydrogenase [Actinomyces odontolyticus] 
gi|489886670|ref|WP_003790120.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886672|ref|WP_003790122.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886674|ref|WP_003790124.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489886676|ref|WP_003790126.1|	membrane protein [Actinomyces odontolyticus] 
gi|489886679|ref|WP_003790129.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886681|ref|WP_003790131.1|	type II secretion system protein F [Actinomyces odontolyticus] 
gi|489886682|ref|WP_003790132.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886685|ref|WP_003790135.1|	phosphotransferase [Actinomyces odontolyticus] 
gi|489886686|ref|WP_003790136.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886689|ref|WP_003790139.1|	glycosyl transferase family 2 [Actinomyces odontolyticus] 
gi|489886691|ref|WP_003790141.1|	glucose-1-phosphate thymidylyltransferase [Actinomyces odontolyticus] 
gi|489886693|ref|WP_003790143.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886698|ref|WP_003790148.1|	integrase [Actinomyces odontolyticus] 
gi|489886700|ref|WP_003790150.1|	transposase [Actinomyces odontolyticus] 
gi|489886703|ref|WP_003790153.1|	phosphohydrolase [Actinomyces odontolyticus] 
gi|489886705|ref|WP_003790155.1|	NUDIX hydrolase [Actinomyces odontolyticus] 
gi|489886706|ref|WP_003790156.1|	metal transporter CorA [Actinomyces odontolyticus] 
gi|489886708|ref|WP_003790158.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886712|ref|WP_003790162.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886714|ref|WP_003790164.1|	glycosyltransferase family 1 [Actinomyces odontolyticus] 
gi|489886716|ref|WP_003790166.1|	nucleotide sugar dehydrogenase [Actinomyces odontolyticus] 
gi|489886719|ref|WP_003790169.1|	glycosyltransferase family 1 [Actinomyces odontolyticus] 
gi|489886721|ref|WP_003790171.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886724|ref|WP_003790174.1|	glycosyltransferase family 1 [Actinomyces odontolyticus] 
gi|489886725|ref|WP_003790175.1|	dehydrogenase [Actinomyces odontolyticus] 
gi|489886727|ref|WP_003790177.1|	aminotransferase DegT [Actinomyces odontolyticus] 
gi|489886729|ref|WP_003790179.1|	acetylglucosamine-1-phosphate uridylyltransferase [Actinomyces odontolyticus] 
gi|489886731|ref|WP_003790181.1|	glycosyl transferase [Actinomyces odontolyticus] 
gi|489886733|ref|WP_003790183.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886734|ref|WP_003790184.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489886736|ref|WP_003790186.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489886738|ref|WP_003790188.1|	UDP-glucose 4-epimerase [Actinomyces odontolyticus] 
gi|489886740|ref|WP_003790190.1|	phosphoribosylaminoimidazole carboxylase [Actinomyces odontolyticus] 
gi|489886742|ref|WP_003790192.1|	phosphoribosylaminoimidazole carboxylase [Actinomyces odontolyticus] 
gi|489886744|ref|WP_003790194.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489886746|ref|WP_003790196.1|	chemotaxis protein CheY [Actinomyces odontolyticus] 
gi|489886747|ref|WP_003790197.1|	cyclase [Actinomyces odontolyticus] 
gi|489886749|ref|WP_003790199.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886751|ref|WP_003790201.1|	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Actinomyces odontolyticus] 
gi|489886752|ref|WP_003790202.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886758|ref|WP_003790208.1|	MULTISPECIES: ferredoxin [Actinomyces] 
gi|489886760|ref|WP_003790210.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886761|ref|WP_003790211.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886763|ref|WP_003790213.1|	GTP-binding protein TypA [Actinomyces odontolyticus] 
gi|489886764|ref|WP_003790214.1|	aldose 1-epimerase [Actinomyces odontolyticus] 
gi|489886766|ref|WP_003790216.1|	acyltransferase [Actinomyces odontolyticus] 
gi|489886769|ref|WP_003790219.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886771|ref|WP_003790221.1|	glutamine synthetase [Actinomyces odontolyticus] 
gi|489886773|ref|WP_003790223.1|	penicillin-binding protein [Actinomyces odontolyticus] 
gi|489886777|ref|WP_003790227.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886778|ref|WP_003790228.1|	regulatory protein [Actinomyces odontolyticus] 
gi|489886780|ref|WP_003790230.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489886781|ref|WP_003790231.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886784|ref|WP_003790234.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886786|ref|WP_003790236.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886789|ref|WP_003790239.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886791|ref|WP_003790241.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886793|ref|WP_003790243.1|	cytochrome C oxidase subunit II [Actinomyces odontolyticus] 
gi|489886795|ref|WP_003790245.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886797|ref|WP_003790247.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489886799|ref|WP_003790249.1|	sugar ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489886801|ref|WP_003790251.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886803|ref|WP_003790253.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886805|ref|WP_003790255.1|	membrane protein [Actinomyces odontolyticus] 
gi|489886807|ref|WP_003790257.1|	multidrug DMT transporter permease [Actinomyces odontolyticus] 
gi|489886810|ref|WP_003790260.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886812|ref|WP_003790262.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886814|ref|WP_003790264.1|	MFS transporter [Actinomyces odontolyticus] 
