gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978819|ref|WP_007704843.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978827|ref|WP_007704851.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978830|ref|WP_007704854.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978832|ref|WP_007704856.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978834|ref|WP_007704858.1|	phage portal protein [[Clostridium] asparagiforme] 
gi|494978837|ref|WP_007704861.1|	phage portal protein [[Clostridium] asparagiforme] 
gi|494978840|ref|WP_007704864.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978850|ref|WP_007704874.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494978852|ref|WP_007704876.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494978853|ref|WP_007704877.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978856|ref|WP_007704880.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978858|ref|WP_007704882.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494978862|ref|WP_007704886.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978865|ref|WP_007704889.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494978868|ref|WP_007704892.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494978887|ref|WP_007704911.1|	16S rRNA methyltransferase [[Clostridium] asparagiforme] 
gi|494978897|ref|WP_007704921.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978899|ref|WP_007704923.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978901|ref|WP_007704925.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978904|ref|WP_007704928.1|	helicase [[Clostridium] asparagiforme] 
gi|494978905|ref|WP_007704929.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978910|ref|WP_007704934.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978913|ref|WP_007704937.1|	aminotransferase [[Clostridium] asparagiforme] 
gi|494978915|ref|WP_007704939.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978917|ref|WP_007704941.1|	branched-chain amino acid aminotransferase [[Clostridium] asparagiforme] 
gi|494978920|ref|WP_007704944.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978923|ref|WP_007704947.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978925|ref|WP_007704949.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978928|ref|WP_007704952.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978931|ref|WP_007704955.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978934|ref|WP_007704958.1|	PadR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494978937|ref|WP_007704961.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978940|ref|WP_007704964.1|	dihydroxy-acid dehydratase [[Clostridium] asparagiforme] 
gi|494978942|ref|WP_007704966.1|	2-dehydro-3-deoxy-6-phosphogalactonate aldolase [[Clostridium] asparagiforme] 
gi|494978944|ref|WP_007704968.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978946|ref|WP_007704970.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978948|ref|WP_007704972.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978949|ref|WP_007704973.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978952|ref|WP_007704976.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978954|ref|WP_007704978.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978958|ref|WP_007704982.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978960|ref|WP_007704984.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978962|ref|WP_007704986.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494978965|ref|WP_007704989.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978968|ref|WP_007704992.1|	sugar ABC transporter permease [[Clostridium] asparagiforme] 
gi|494978970|ref|WP_007704994.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494978973|ref|WP_007704997.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978976|ref|WP_007705000.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978979|ref|WP_007705003.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978980|ref|WP_007705004.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494978983|ref|WP_007705007.1|	MULTISPECIES: anthranilate synthase subunit I [Clostridiales] 
gi|494978985|ref|WP_007705009.1|	MULTISPECIES: anthranilate synthase subunit II [Clostridiales] 
gi|494978988|ref|WP_007705012.1|	MULTISPECIES: anthranilate phosphoribosyltransferase [Clostridiales] 
gi|494978991|ref|WP_007705015.1|	MULTISPECIES: indole-3-glycerol-phosphate synthase [Clostridiales] 
gi|494978993|ref|WP_007705017.1|	N-(5'-phosphoribosyl)anthranilate isomerase [[Clostridium] asparagiforme] 
gi|494978996|ref|WP_007705020.1|	tryptophan synthase subunit beta [[Clostridium] asparagiforme] 
gi|494978998|ref|WP_007705022.1|	tryptophan synthase subunit alpha [[Clostridium] asparagiforme] 
gi|494979005|ref|WP_007705029.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979007|ref|WP_007705031.1|	RNA polymerase subunit sigma [[Clostridium] asparagiforme] 
gi|494979010|ref|WP_007705034.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979013|ref|WP_007705037.1|	peptidase C26 [[Clostridium] asparagiforme] 
gi|494979016|ref|WP_007705040.1|	ferredoxin [[Clostridium] asparagiforme] 
gi|494979018|ref|WP_007705042.1|	MULTISPECIES: pyruvate formate lyase-activating protein [Clostridiales] 
gi|494979021|ref|WP_007705045.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979025|ref|WP_007705049.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979027|ref|WP_007705051.1|	formate acetyltransferase [[Clostridium] asparagiforme] 
gi|494979031|ref|WP_007705055.1|	mannose-6-phosphate isomerase [[Clostridium] asparagiforme] 
gi|494979032|ref|WP_007705056.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979035|ref|WP_007705059.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979037|ref|WP_007705061.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979039|ref|WP_007705063.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979042|ref|WP_007705066.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979046|ref|WP_007705070.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979049|ref|WP_007705073.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979053|ref|WP_007705077.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979055|ref|WP_007705079.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979057|ref|WP_007705081.1|	mannonate dehydratase [[Clostridium] asparagiforme] 
gi|494979059|ref|WP_007705083.1|	dioxygenase [[Clostridium] asparagiforme] 
gi|494979060|ref|WP_007705084.1|	GntR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979061|ref|WP_007705085.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979063|ref|WP_007705087.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979065|ref|WP_007705089.1|	cyclase [[Clostridium] asparagiforme] 
gi|494979073|ref|WP_007705097.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979075|ref|WP_007705099.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979078|ref|WP_007705102.1|	molecular chaperone GroES [[Clostridium] asparagiforme] 
gi|494979085|ref|WP_007705109.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979088|ref|WP_007705112.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979089|ref|WP_007705113.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [[Clostridium] asparagiforme] 
gi|494979090|ref|WP_007705114.1|	DNA gyrase subunit A [[Clostridium] asparagiforme] 
gi|494979091|ref|WP_007705115.1|	DNA gyrase subunit B [[Clostridium] asparagiforme] 
gi|494979093|ref|WP_007705117.1|	MULTISPECIES: DNA replication protein RecF [Clostridiales] 
gi|494979095|ref|WP_007705119.1|	MULTISPECIES: RNA-binding protein [Clostridiales] 
gi|494979097|ref|WP_007705121.1|	MULTISPECIES: DNA polymerase III subunit beta [Clostridiales] 
gi|494979099|ref|WP_007705123.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Clostridiales] 
gi|494979101|ref|WP_007705125.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979103|ref|WP_007705127.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494979104|ref|WP_007705128.1|	MULTISPECIES: ribonuclease P [Clostridiales] 
gi|494979105|ref|WP_007705129.1|	membrane protein insertion efficiency factor [[Clostridium] asparagiforme] 
gi|494979106|ref|WP_007705130.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979107|ref|WP_007705131.1|	DNA-binding protein [[Clostridium] asparagiforme] 
gi|494979108|ref|WP_007705132.1|	tRNA modification GTPase [[Clostridium] asparagiforme] 
gi|494979109|ref|WP_007705133.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [[Clostridium] asparagiforme] 
